"ResourceID","Geometric Place Expression","Location Certainty","Geometry Extent Certainty","Geometry Type"
"18b57f2a-6110-4023-801d-7a6246096dc8","MULTIPOLYGON (((51.08336 35.4725, 51.08374 35.47208, 51.08422 35.47236, 51.08387 35.47277, 51.08336 35.4725)))","Medium","Medium","Perimeter Polygon"
"563567f7-eef0-4683-9e88-5e4be2452f80","MULTIPOLYGON (((55.05029 36.42485, 55.05035 36.42437, 55.05102 36.42443, 55.05094 36.42491, 55.05029 36.42485)))","Medium","Medium","Perimeter Polygon"
"5d510f1d-c85a-4371-aa03-0e5567f553f8","MULTIPOLYGON (((52.7309 35.25559, 52.73066 35.25505, 52.73129 35.25485, 52.73154 35.25539, 52.7309 35.25559)))","Medium","Medium","Perimeter Polygon"
"5cb696c7-3fd4-4ec0-b471-62a3e4574471","MULTIPOLYGON (((45.57927 34.51348, 45.57913 34.51289, 45.57983 34.51278, 45.58 34.51337, 45.57927 34.51348)))","Medium","Medium","Perimeter Polygon"
"d4feb830-10c7-4d80-a19e-e608f424be4c","MULTIPOLYGON (((51.81203 34.29898, 51.81259 34.29879, 51.81283 34.29925, 51.81226 34.29945, 51.81203 34.29898)))","Medium","Medium","Perimeter Polygon"
"7c2564a5-9a85-4336-be65-fcac4fb63572","MULTIPOLYGON (((47.43454 34.38407, 47.43536 34.38407, 47.43536 34.38482, 47.43453 34.38481, 47.43454 34.38407)))","Medium","Medium","Perimeter Polygon"
"1f78092c-e49c-480d-89f8-2cc62c99e2ad","MULTIPOLYGON (((60.94736 30.26107, 60.94741 30.26081, 60.94792 30.26089, 60.94787 30.26114, 60.94736 30.26107)))","Medium","Medium","Perimeter Polygon"
"6f54bb49-7637-4919-831e-38299b7e6d24","MULTIPOLYGON (((54.76144 36.28172, 54.76178 36.28121, 54.7623 36.28145, 54.76197 36.28195, 54.76144 36.28172)))","Medium","Medium","Perimeter Polygon"
"14601d36-0290-4623-87e6-527ce21efcf5","MULTIPOLYGON (((53.08309 35.39992, 53.08372 35.3998, 53.08388 35.40035, 53.08325 35.40047, 53.08309 35.39992)))","Medium","Medium","Perimeter Polygon"
"5f249c9e-6656-45bb-8596-11537ab8983d","MULTIPOLYGON (((54.34304 36.16841, 54.34341 36.16798, 54.34384 36.16822, 54.34348 36.16865, 54.34304 36.16841)))","Medium","Medium","Perimeter Polygon"
"6482256b-4d1f-439a-8c91-dcfa45be3597","MULTIPOLYGON (((54.04457 35.96089, 54.04497 35.96058, 54.04532 35.9609, 54.04494 35.96121, 54.04457 35.96089)))","Medium","Medium","Perimeter Polygon"
"05dec936-288a-4851-ab55-f09da7513757","MULTIPOLYGON (((55.65334 36.4096, 55.6529 36.40909, 55.65346 36.40877, 55.65389 36.40928, 55.65334 36.4096)))","Medium","Medium","Perimeter Polygon"
"7025afd3-63e2-4a25-b89b-c5399279458c","MULTIPOLYGON (((56.95511 30.53204, 56.95533 30.53176, 56.95563 30.53195, 56.95542 30.53222, 56.95511 30.53204)))","Medium","Medium","Perimeter Polygon"
"2e9b52a1-1086-414e-8c3b-270ae7a5a17d","MULTIPOLYGON (((54.00888 32.22801, 54.0094 32.22759, 54.00977 32.22793, 54.00926 32.22835, 54.00888 32.22801)))","Medium","Medium","Perimeter Polygon"
"9bcc9d11-fa7a-4bec-a0f0-aff391374b59","MULTIPOLYGON (((55.55869 33.01664, 55.55908 33.01635, 55.55949 33.01674, 55.55911 33.01703, 55.55869 33.01664)))","Medium","Medium","Perimeter Polygon"
"661387fd-7f89-4b0e-bdc2-1ac5394b67a1","MULTIPOLYGON (((54.70675 31.41189, 54.70666 31.41169, 54.70693 31.41151, 54.70714 31.41157, 54.7072 31.41183, 54.707 31.41198, 54.70675 31.41189)))","Medium","Medium","Perimeter Polygon"
