PRIMARY.NAME,ARCHES.ID,NAME.E41,NAME_TYPE.E55,GEOMETRIC_PLACE_EXPRESSION.SP5,LOCATION_CERTAINTY.I6,HERITAGE_CLASSIFICATION_TYPE.E55,SITE_OVERALL_SHAPE_TYPE.E55,MEASUREMENT_UNIT.E58,MEASUREMENT_NUMBER.E60,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,TOPOGRAPHY_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,INVESTIGATOR_NAME.E41,INVESTIGATOR_ROLE_TYPE.E55,ASSESSMENT_ACTIVITY_TYPE.E55,ASSESSMENT_ACTIVITY_DATE.E49,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,MODIFICATION_TYPE.E55,MODIFICATION_DATE.E49,MODIFICATION_DESCRIPTION.E62,CONSTRUCTION_TECHNIQUE_TYPE.E55,CONSTRUCTION_NOTE.E62,EFFECT_TYPE.S9,DAMAGE_TREND_TYPE.E55,OVERALL_DAMAGE_SEVERITY_TYPE.E55,RECOMMENDATION_TYPE.E55,INTERVENTION_ACTIVITY_TYPE.E55,PRIORITY_TYPE.E55,VULNERABILITY_TYPE.E55,THREAT_PROBABILITY_TYPE.E55,RISK_EXTENT_TYPE.E55,RISK_SEVERITY_TYPE.E55,RISK_LEVEL.I4,RISK_LEVEL_CERTAINTY.I6,MITIGATION_STRATEGY_TYPE.E55,MITIGATION_PRIORITY_TYPE.E55,OVERALL_CONDITION_TYPE.E55,OVERALL_PRIORITY_TYPE.E55,NEXT_ASSESSMENT_DATE_TYPE.E55,OVERALL_CONDITION_REMARKS_TYPE.E55,CULTURAL_PERIOD_TYPE.I4,CULTURAL_PERIOD_DETAIL_TYPE.E55,CULTURAL_PERIOD_CERTAINTY.I6,ARCHAEOLOGICAL_FROM_DATE.E61,FUNCTION_TYPE.I4,FUNCTION_CERTAINTY.I6,INTERPRETATION_TYPE.I4,INTERPRETATION_CERTAINTY.I6,DATE_INTERPRETATION_INFERENCE_MAKING_ACTOR_NAME.E41,MEASUREMENT_NUMBER.E60,MEASUREMENT_UNIT.E58,DIMENSION_TYPE.E55,MEASUREMENT_SOURCE_TYPE.E55,GRID_ID.E42,SITE_OVERALL_SHAPE_TYPE.E55,TOPOGRAPHY_TYPE.E55,COUNTRY_TYPE.E55,HERITAGE_FEATURE_USE_TYPE.E55,DESIGNATION_TYPE.E55,DESIGNATION_FROM_DATE.E61,DESIGNATION_TO_DATE.E61,GENERAL_DESCRIPTION_TYPE.E55,GENERAL_DESCRIPTION.E62,HERITAGE_CLASSIFICATION_TYPE.E55
EAMENA-F-0000001,39bc8e8d-1f13-44d9-bc20-0f718dd23fc3,,,"{u'type': u'Polygon', u'coordinates': [[[35.9115522158724, 31.84619782047504], [35.911584423335334, 31.846138838875675], [35.91167428781472, 31.846176646912937], [35.91163259832382, 31.846231614502557], [35.9115522158724, 31.84619782047504]]]}",High,Individual Feature; Individual Feature,Rectangular/Square,,,,,,Slopes,Contemporary Islamic (MENA); Islamic (Levant/Arabia),"Contemporary Islamic, Early 20th century (MENA); Islamic, Late (Ottoman) (Levant/Arabia)",Definite; Possible,Building; Building,High; High,Unknown; Unknown,Not Applicable; Not Applicable,,,Pascal Flohr,EAMENA Project Staff,Archaeological Assessment (Image Interpretation),2019-11-03T00:00:00,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Fair,Unknown,,,Contemporary Islamic (MENA); Islamic (Levant/Arabia),"Contemporary Islamic, Early 20th century (MENA); Islamic, Late (Ottoman) (Levant/Arabia)",Definite; Possible,,Unknown; Unknown,Not Applicable; Not Applicable,Building; Building,High; High,Pascal Flohr; Pascal Flohr,,,,,,Rectangular/Square,Slopes,Jordan,Unknown; Unknown,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000002,69affe30-79bd-433d-a747-35c8c56e9505,Tower,Alternative Reference,"{u'type': u'Polygon', u'coordinates': [[[35.90460321173055, 31.957594975319793], [35.90469440683706, 31.957606353786986], [35.90472659334524, 31.95768827870917], [35.90472122892721, 31.957729241142886], [35.904686360210015, 31.957749722352872], [35.904640762656754, 31.957772479247495], [35.90459248289449, 31.95776792786903], [35.904533474296166, 31.95775427373225], [35.90451201662405, 31.9577178626909], [35.90449324116094, 31.957672348868925], [35.904517381042076, 31.957626835024385], [35.90456834301336, 31.957599526706844], [35.90460321173055, 31.957594975319793]]]}",High,Individual Feature; Individual Feature,Circular,,,,,,Plain/Plateau,Iron Age (Levant/Mesopotamia),Iron Age 1 (Southern Levant),Probable,Large Circle,Medium,Military,High,,,Mariam Ibrahim ,Government Authority/Staff,Archaeological Assessment (Image Interpretation),2019-11-03T00:00:00,Not Applicable; Not Applicable,,,,,,,,,,,,,,,,,,,,,,,Fair,Unknown,,,Iron Age (Levant/Mesopotamia),Iron Age 1 (Southern Levant),Probable,,Military,High,Large Circle,Medium,Mariam Ibrahim,,,,,,Circular,Plain/Plateau,Jordan,Not Applicable; Not Applicable,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000003,a3084cf8-dd12-47dc-b4c9-361fd57f56a7,Rajeb Churh; كنيسة راجب,Designation; Toponym,"{u'type': u'Polygon', u'coordinates': [[[35.70749176523583, 32.24533233731046], [35.707504639806366, 32.245294225866544], [35.70735524081334, 32.2452547534089], [35.70734370726547, 32.24529785553845], [35.70749176523583, 32.24533233731046]]]}",High,Individual Feature; Individual Feature,Rectangular/Square,,,,,,Valley Terrace,Classical/Pre-Islamic,Byzantine (Levant/Mesopotamia),Possible,Church/Chapel,High,Religious,High,General Description,"<p class=""MsoNormal"" dir=""RTL""><span lang=""AR-JO"" style=""font-size:14.0pt;font-family:
&quot;Arabic Transparent&quot;,sans-serif;mso-ascii-font-family:&quot;Times New Roman&quot;;
mso-hansi-font-family:&quot;Times New Roman&quot;;mso-bidi-language:AR-JO"">تزين أرضية هذه الكنيسة&nbsp; فسيفساء ملونة في غاية الروعة والجمال وسر جمالها وروعتها كتابة
الإهداء السريانية &nbsp;التي تعتبر الوحيدة في
محافظة عجلون<o:p></o:p></span></p>",khaled zyout,Government Authority/Staff,Desk-based Assessment,2019-11-03T00:00:00,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,1998-01-01T00:00:00; 1998-01-01T00:00:00,2019-11-08T00:00:00; 2019-11-08T00:00:00,,,,,,Collapse/Structural Damage,Unknown,No Visible/Accessible/Known,Structural Strengthening/Reinforcement,Preventative and Mitigation Activities,Medium (Within 2 to 5 years),,,11-30%,2 - Moderate,Medium,3 - Likely,Shoring,High (Within 1 to 2 years),Fair,Unknown,,,Classical/Pre-Islamic,Byzantine (Levant/Mesopotamia),Possible,,Religious,High,Church/Chapel,High,د. محمد ابو عبيله,,,,,,Rectangular/Square,Valley Terrace,Jordan,Vacant / Not in use; Vacant / Not in use,Local Register; Local Register,1998-01-01T00:00:00; 1998-01-01T00:00:00,2019-11-08T00:00:00; 2019-11-08T00:00:00,General Description,"<p class=""MsoNormal"" dir=""RTL""><span lang=""AR-JO"" style=""font-size:14.0pt;font-family:
&quot;Arabic Transparent&quot;,sans-serif;mso-ascii-font-family:&quot;Times New Roman&quot;;
mso-hansi-font-family:&quot;Times New Roman&quot;;mso-bidi-language:AR-JO"">تزين أرضية هذه الكنيسة&nbsp; فسيفساء ملونة في غاية الروعة والجمال وسر جمالها وروعتها كتابة
الإهداء السريانية &nbsp;التي تعتبر الوحيدة في
محافظة عجلون<o:p></o:p></span></p>",Individual Feature; Individual Feature
EAMENA-F-0000004,38180857-be18-4162-9507-622a0ebc39b6,المأذنة,Designation,"{u'type': u'Point', u'coordinates': [35.70299796549126, 31.18200822349891]}",Definite,Individual Feature; Individual Feature,User defined,,,,,,Unknown,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,Minaret,Definite,Religious,Definite,,,Hamzeh Aljarajreh,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-06,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,Priority Assignment Remarks,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,1894-01-01T00:00:00,Religious,Definite,Minaret,Definite,Hamzeh Aljarajreh,,,,,,User defined,Unknown,Jordan,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000005,59263537-bd69-4d9c-9be7-9440e7a2e05b,church,Alternative Reference,,,Individual Feature; Individual Feature,,,,,,,,,,,,,,,,,mohammad mubarak,Government Authority/Staff,Archaeological Assessment/Ground Survey,2019-11-03,Not Applicable; Not Applicable,,,,,,,,,,,,,,,,,,,,,,,Very bad,Within 6 Months to a Year ,,,,,,,,,,,,,,,,,,,,Not Applicable; Not Applicable,,,,,,Individual Feature; Individual Feature
EAMENA-F-0000006,810cf334-439e-461a-9b57-32d23ed300ea,tomp,Alternative Reference,"{u'type': u'Polygon', u'coordinates': [[[35.879382763167634, 32.49128740209798], [35.87927547480706, 32.49113356072081], [35.87913599993828, 32.491269303126074], [35.879382763167634, 32.49128740209798]]]}",Low,Group of Features; Group of Features,,,,,,,,,,,,,,,,,awni.tashtoosh,Government Authority/Staff,Desk-based Assessment,2019-11-04,Unknown; Unknown,,,,,,,,,,,,,,,,,,,,,,,Unknown,Unknown,,Overall Condition Additional Remarks,,,,,,,,,,,,,,,,,,Unknown; Unknown,,,,,,Group of Features; Group of Features
EAMENA-F-0000007,2958ae81-3e01-466e-a268-594a381cd222,,,,,,,,,,,,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Byzantine (Levant/Mesopotamia),Possible,Church/Chapel,High,Religious,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Byzantine (Levant/Mesopotamia),Possible,,Religious,High,Church/Chapel,High,Khaled Zyout,,,,,,,,,,,,,,,
EAMENA-F-0000008,a5f3aa91-147b-4f1a-9276-c919b8b432de,cairn,,,,,,,,,,,,Chalcolithic (Levant),Unknown,Possible,Tomb/Grave/Burial,Low,Funerary/Memorial,Low,,,Samar,Government Authority/Staff,Aerial Survey,2019-11-03T00:00:00,Unknown; Unknown,Other; Other,2019-11-03T00:00:00; 2019-11-03T00:00:00,2019-11-03T00:00:00; 2019-11-03T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,Chalcolithic (Levant),Unknown,Possible,2019-11-03,Funerary/Memorial,Low,Tomb/Grave/Burial,Low,Samar Habahbeh,,,,,,,,,Unknown; Unknown,Other; Other,2019-11-03T00:00:00; 2019-11-03T00:00:00,2019-11-03T00:00:00; 2019-11-03T00:00:00,,,
EAMENA-F-0000009,c4b41d39-ae9a-4f3e-9e3d-9a1324bbf1ea,,,"{u'type': u'Point', u'coordinates': [35.57739868892207, 30.78184261621547]}",Definite,,Rectilinear,,,,,E35N30-43,Precipice/Edge,,,,,,,,,,Ahmad Marafi,Government Authority/Staff,Archaeological Assessment/Ground Survey,2018-11-04T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E35N30-43,Rectilinear,Precipice/Edge,Jordan,,,,,,,
EAMENA-F-0000010,9e21c646-51ec-4bea-9fa0-1e95a3adf7be,مأذنة ,Designation,"{u'type': u'Point', u'coordinates': [35.70535428321339, 31.18553230302551]}",Definite,Individual Feature; Individual Feature,User defined,,,,,,Unknown,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,Minaret,Definite,Religious,Definite,,,Hamzeh Aljarajreh,Government Authority/Staff,Condition Assessment,2019-11-04T00:00:00,Occupied / In Use; Occupied / In Use,,,,,,,,,,,,,,,,,,,,,,,Good,Unknown,,Priority Assignment Remarks,Islamic (Levant/Arabia),"Islamic, Late (Ottoman) (Levant/Arabia)",Definite,1883-1-1,Religious,Definite,Minaret,Definite,Hamzeh Aljarajreh,,,,,,User defined,Unknown,Jordan,Occupied / In Use; Occupied / In Use,,,,,,Individual Feature; Individual Feature
