"UNIQUEID"	"Assessment.Investigator.-.Actor"	"Investigator.Role.Type"	"Assessment.Activity.Type"	"Assessment.Activity.Date"	"GE.Assessment(Yes/No)"	"GE.Imagery.Acquisition.Date"	"Information.Resource.Used"	"Information.Resource.Acquisition.Date"	"Resource.Name"	"Name.Type"	"Heritage.Place.Type"	"General.Description.Type"	"General.Description"	"Heritage.Place.Function"	"Heritage.Place.Function.Certainty"	"Designation"	"Designation.From.Date"	"Designation.To.Date"	"Geometric.Place.Expression"	"Geometry.Qualifier"	"Site.Location.Certainty"	"Geometry.Extent.Certainty"	"Site.Overall.Shape.Type"	"Grid.ID"	"Country.Type"	"Cadastral.Reference"	"Resource.Orientation"	"Address"	"Address.Type"	"Administrative.Subdivision"	"Administrative.Subdivision.Type"	"Overall.Archaeological.Certainty.Value"	"Overall.Site.Morphology.Type"	"Cultural.Period.Type"	"Cultural.Period.Certainty"	"Cultural.Subperiod.Type"	"Cultural.Subperiod.Certainty"	"Date.Inference.Making.Actor"	"Archaeological.Date.From.(cal)"	"Archaeological.Date.to.(cal)"	"BP.Date.From"	"BP.Date.To"	"AH.Date.From"	"AH.Date.To"	"SH.Date.From"	"SH.Date.To"	"Site.Feature.Form.Type"	"Site.Feature.Form.Type.Certainty"	"Site.Feature.Shape.Type"	"Site.Feature.Arrangement.Type"	"Site.Feature.Number.Type"	"Site.Feature.Interpretation.Type"	"Site.Feature.Interpretation.Number"	"Site.Feature.Interpretation.Certainty"	"Built.Component.Related.Resource"	"HP.Related.Resource"	"Material.Class"	"Material.Type"	"Construction.Technique"	"Measurement.Number"	"Measurement.Unit"	"Dimension.Type"	"Measurement.Source.Type"	"Related.Geoarch/Palaeo"	"Overall.Condition.State"	"Damage.Extent.Type"	"Disturbance.Cause.Category.Type"	"Disturbance.Cause.Type"	"Disturbance.Cause.Certainty"	"Disturbance.Date.From"	"Disturbance.Date.To"	"Disturbance.Date.Occurred.Before"	"Disturbance.Date.Occurred.On"	"Disturbance.Cause.Assignment.Assessor.Name"	"Effect.Type"	"Effect.Certainty"	"Threat.Category"	"Threat.Type"	"Threat.Probability"	"Threat.Inference.Making.Assessor.Name"	"Intervention.Activity.Type"	"Recommendation.Type"	"Priority.Type"	"Related.Detailed.Condition.Resource"	"Topography.Type"	"Land.Cover.Type"	"Land.Cover.Assessment.Date"	"Surficial.Geology.Type"	"Depositional.Process"	"Bedrock.Geology"	"Fetch.Type"	"Wave.Climate"	"Tidal.Energy"	"Minimum.Depth/Max.Elevation(m)"	"Maximum.Depth/Min.Elevation(m)"	"Datum.Type"	"Datum.Description/EPSG.code"	"Restricted.Access.Record.Designation"
1	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.1"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Inkermann. Il y avait là des ruines romaines, sur une étendue de plus de dix hectares, à l'emplacement du village actuel et surtout autour de la gare. Au N. de la gare, on a trouvé des vestiges d'un petit édifice, avec colonnes engagées. Coffres funéraires, monnaies, poteries. Demaeght, Géographie comparée de la partie de la Maurétanie Césarienne correspondant à la province d'Oran, p. 55. — Statuette de nymphe, découverte près de la gare : Demaeght, Catalogue du Musée d'Oran, p. 12, no 28. Petites têtes de cheval, en terre cuite : La Blanchère, Musée d'Oran, p. 50 ; Demaeght, Catalogue, p. 114. Poteries, lampes, objets en métal : Demaeght, ibid., p. 101, 103-6, 112, 114, 115, 131, 132, 136, 137. - Ce centre romain, situé près du point où l'oued Riou débouche dans la plaine, devait être sur une grande voie qui, venant du S.-O., suivait la vallée du Chélif. Demaeght (Géographie, l. c.) a voulu l'identifier avec Gadaum castra, indiqué par l'Itinéraire d'Antonin (édition Parthey et Pinder, p. 16: Gadaum, selon le manuscrit de l'Escurial; la plupart des autres manuscrits donnent Cadaum ; conf. Géographe de Ravenne, édit. Pinder et Parthey, p. 160 : Cadum castra), à 25 milles de Mina et à 18 de Vagal. Entre Inkermann et les ruines de Mina (feuille 21, Mostaganem, n°36), on compte 42 kilomètres (plus de 28 milles) à vol d'oiseau ; entre Inkermann et Sidi ben Thiour, où était peut-être Vagal (feuille 12, Orléansville, n° 159), il y a, à vol d'oiseau, 20 kilomètres (13 milles et demi). Il serait donc plus vraisemblable de chercher Gadaum à quelques milles à l'O. d'Inkermann. Mercier (Bulletin archéologique du Comité des travaux historiques, 1888, p. 93) place ce lieu vers Saint-Aimé (conf. notre n° 5). - Outil en pierre, de type chelléen, recueilli à 1.500 mètres à l'E. d'Inkermann. Pallary, Association française pour l'avancement des sciences, Carthage, 1896, II, p. 496. - On ignore le nom antique de l'oued Riou. Quelques auteurs (Mac Carthy, Recue africaine, XXX, 1886, p. 15; Toussaint, Bull du Comité, 1898, p. CXIV) ont proposé d'y voir l'Agilaam, cours d'eau mentionné en Maurétanie Césarienne par le Géographe de Ravenne (p. 158); mais l'Agilaam est plus vraisemblablement le Chélif : voir feuille 11, Bosquet, no 3."	NA	NA	NA	NA	NA	"POINT(0.916350216921341 35.9625191284127)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1	NA	NA	NA	NA	NA	NA	NA	NA	"Inkermann"	"Toponym"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.2"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Silex taillés, près d'Aïn Kebira. Des tumulus sur les hauteurs voisines. Pallary, Assoc. française, l. c. (S. V. El Alef et Inkermann)."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.957767670853029 35.9286488162478)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.3"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Des tumulus, sur les contreforts du djebel Arbaïn Salah. Pallary, l. c. (S. V. El Alef)."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(1.00853660759798 35.9425817713313)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.4"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Retaïmia [Tehemia sur la carte au 50.000e]. Hache polie. Pallary, Assoc. française, Besançon, 1893, II , p. 685. - Près de Retaïmia, dans le djebel Djeurf, grotte, avec des pointes et des racloirs en silex (types moustériens): Pallary, Assoc. franç., Marseille, 1891, II, p. 606; Carthage, 1896, II, p. 496; musée d'Oran."	NA	NA	NA	NA	NA	"POINT(0.88754665497053 35.9383397036432)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4	NA	NA	NA	NA	NA	NA	NA	NA	"Retaïmia"	"Toponym"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.5"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Barrage ancien (époque indéterminée), en béton, haut de 5 mètres, large d'autant à la base, sur l'oued Djidiouia, à environ un kil. de Saint-Aimé. Mercier, Bull. du Comité, 1888, p. 93 ; Blanchère, Enquête administrative sur les travaux hydrauliques anciens en Algérie, p. 22. — M. Blanchère (l. c., p. 22-3) signale une conduite qui partait d'une source voisine du barrage actuel (ce barrage est à quelques kilomètres en amont de SaintAimé, entre la mechta Oueda et Si Abd el Kader mta ez Zeboudj : voir la carte) ; elle allait alimenter un centre situé contre la voie ferrée, aux limites des communes de Saint-Aimé et d'Inkermann, et dans lequel on pourrait reconnaître Gadaum (voir no 1). - Outils chelléens, près du barrage : Pallary, Assoc. franç., Marseille, II, p. 606. – Silex taillés, entre Saint-Aimé et Hamadena : ibid., Carthage, II, p. 497. – Aux abords de la Djidiouia, à 8 kil. environ en amont de Saint-Aimé, plusieurs grottes (régularisées par l'homme), avec des poteries et des fers de lance : Bleicher, Matériaux pour l'histoire primitive de l'homme, XI, 1876, p. 47; Pallary, l. c., Marseille, II, p. 606. — Ruines berbères, au sommet du chabet es Sofah el Metli, à 3 kil. à vol d'oiseau S.-O. de Saint-Aimé: Pallary, l. c., Carthage, II, p. 497."	NA	NA	NA	NA	NA	"POINT(0.841885476408696 35.9300938391526)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.6"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Nombreux tumulus circulaires en pierraille, sur les coteaux de la rive gauche de la Djidiouia, au S. de Saint-Aimé. Mercier, Bull. du Comité, 1888, p. 93."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.804282747481316 35.9058829823467)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.7"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Nombreux tumulus circulaires en pierraille, sur les coteaux de la rive gauche de la Djidiouia, au S. de Saint-Aimé. Mercier, Bull. du Comité, 1888, p. 93."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.839024276775074 35.9045507478825)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8	"Mohamed Kenawi"	"EAMENA Project Staff"	"Desk-based Assessment"	"2022-07-15"	"Yes"	NA	NA	NA	"AAA f.22.8"	"Alternative Reference"	"Archaeological Site"	"General Description"	"Nombreux tumulus, sur la crête du djebel Rhirane ed Deboa. Notice de M. Lamotte."	"Funerary/Memorial"	"Medium"	NA	NA	NA	"POINT(0.766413390433329 35.7853226202408)"	"Center Point"	"Negligible"	"Negligible"	NA	NA	"Algeria"	NA	NA	NA	NA	NA	NA	"Negligible"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Structure"	"Medium"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	"Unknown"	"Unknown"	"Not Applicable"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
