Condition Assessment	تقييم الحالة	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
						
Overall Site Condition	حالة الموقع عمومًا	Definitions	التعريف			
Good	جيد	A site or element shows virtually no evidence of active deterioration and appears to be structurally stable.	موقع أو عنصر لا يبدو عليه أية دلائل تدهور مستمر، ويبدو سليم ومتزن إنشائياً			
Fair	مقبول	A site or element shows little evidence of active deterioration or some features of interest are obscured by more recent additions/alterations; it appears to be structurally stable and shows small areas of disruption.	دليل ضعيف على وجود تدهور مستمر لموقع أثري أو بعض عناصره، أو أن بعض ملامحه تم التشويش عليها بإضافات أو تغييرات حديثة. ويبدو أن الموقع سليم ومتزن إنشائياً وإن ظهرت أضرار بمناطق صغيرة 			
Poor	ضعيف	A site or element shows moderate signs of active deterioration and/or signs of moderate structural instability, and/or moderate areas of disruption and /or damage to the majority of the original features of interest is apparent, some significant features are missing, some features of interest remain.	موقع أو عنصر تبدو عليه دلائل بسيطة لتدهور مستمر و/أو دلائل لضرر إنشائي محدود أثر في الإتزان الإنشائي و/أو مناطق محدودة للضرر، أو علامات على ضرر لغالبية الملامح الأصلية، أو بعض الملامح المهمة مفقودة بينما بعض الملامح المهمة باقية			
Very Bad	سيئ جداً	A site or element shows serious signs of active deterioration and/or signs of severe structural instability, and/or large areas of disruption and/or the majority of features of interest are so damaged as to be not surveyable or are missing.	موقع أو عنصر تبدو عليه دلائل بسيطة لتدهور مستمر و/أو دلائل لضرر إنشائي كبير أثر في الإتزان الإنشائي و/أو مناطق كبيرة للضرر، أو علامات على ضرر لغالبية الملامح الأصلية، أو أغلب الملامح المهمة مفقودة وليس من الممكن توثيقها			
Destroyed	مدمر	A site or element has been impacted very severely and it no longer retains integrity or sound archaeological data. This includes demolished buildings unless foundations, basements etc. exist which are of interest, for which use very bad.	"موقع أو عنصر قد تعرض لضرر بالغ، وفقد تكامليته، وفقد البيانات الأثرية التي يمكن الوثوق بها. ويشمل ذلك المباني المهدمة إلا إذا بقيت الأساسات أو البدروم (الطابق تحت الأرضي)، في هذه الحالة استخدم ""سيئ جداً"""			
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Damage/Disturbance Extent	مدى الضرر/ الاضطراب	Definitions	التعريف			
No Visible/Known	غير مرئي/ غير محدد	No damage can be discerned from available resources	ليس من الممكن التعرف على أي ضرر بناء على المصادر المتاحة	غير مرئي/ غير محدد	ok	غير مرئي/ غير معلوم
1-10%	%10-1	A minimal proportion of the horiztonal extent of the site has been visibly damaged	يمكن تحديد بالبصر الحد الأدنى من الضرر بالمدى الأفقي للموقع 	%10-1	ok	1-10%
11-30%	%30-11	A relatively small proportion of the horizontal extent of the site has been visibly damaged	يمكن تحديد بالبصر ضرر بسيط نسبياً بالمدى الأفقي للموقع	%30-11	ok	11-30%
31-60%	%60-31	A considerable proportion of the horizontal extent of the site has been visibly damaged	يمكن تحديد بالبصر ضرر لا يستهان به بالمدى الأفقي للموقع	%60-31	ok	31-60%
61-90%	%90-61	A substantial proportion of the horizontal extent of the site has been visibly damaged	يمكن تحديد بالبصر ضرر بالغ بالمدى الأفقي للموقع	%90-61	ok	61-90%
91-100%	%100-91	Nearly all of the horizontal extent of the site has been visibly damaged	يمكن تحديد بالبصر أن كل المدى الأفقي للموقع أو أغلبه قد تضرر	%100-91	ok	91-100%
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Disturbance Category	تصنيف سبب الاضطراب	Definitions	التعريف			
Threat Category	فئة التهديدات/المخاطر					
Agricultural/Pastoral	زراعي/ رعوي	Relating to the farming of land and/or the rearing of animals	له علاقة بزراعة الأرض، أو رعي الحيوانات بها			
Archaeological	أثري	Relating to the scientific investigation of an area/site/object	له علاقة بالبحث والتنقيب العلمي لمنطقة، أو موقع، أو قطعة			
Building and Development	البناء والتطوير	Relating to the expansion/enlargement/spread of activity, construction etc. Particularly in relation to urban expansion.	له علاقة بالامتداد، والتكبير، والانتشار لأنشطة الإنشاءات، وعادة ما ترتبط بالامتداد الحضري/العمراني	بناء وتطوير	no	
Defensive/Fortification	دفاعي/ تحصينات	Relating to the security or protection of people or an area, but not military in nature	له علاقة بالأمن أو بحماية الناس أو حماية منطقة، ولكن ليس ذا طبيعة حربية			
Domestic Use	استخدام منزلي	Relating to the habitation of people	له علاقة باستيطان وسكن الناس			
Funerary/Memorial	جنائزي/ تذكاري	Relating to activities concerning the memorialisation of individuals, events and/or the treatment of the dead	له علاقة بتخليد ذكرى أشخاص، أو أحداث، أو له علاقة بالتعامل مع الموت والموتى			
Hunting/Fishing	صيد بري/ صيد بحري	Relating to the exploitation of (mostly) non-domesticated species	له علاقة بالاستثمار في كائنات حية (عادة في غير الدواب أو الحيوانات المستأنسة)			
