Detailed Condition Assessment	تقييم مفصل للحالة	**This sheet has only those fields which are not already listed in the Condition Assessment Tab	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
						
Disturbance Date From	تاريخ الاضطراب (من)			اضطراب قديم	تاريخ الاضطراب (من)	من تاريخ
						
Disturbance Date To	تاريخ الاضطراب (حتى)			اضطراب حديث	تاريخ الاضطراب (حتى)	إلى تاريخ
						
Disturbance Date Occurred Before	اضطراب حدث قبل تاريخ 					
						
Disturbance Date Occurred On	اضطراب حدث في تاريخ					
						
Damage Trend	اتجاه الضرر أو مساره	Definitions	التعريف			
No longer Present	لم يعد قائماً	The disturbance has been observed before, but is no longer present.				
Stable	ثابت - مستقر	The disturbance has been observed before and is not getting worse or better.				
New	جديد	The disturbance is new, and has not been observed before.				
Disturbance Increasing	ازدياد الاضطراب	The disturbance has been observed before and is increasing (getting worse).		ازدياد الاضطراب	ok	زياد الاختلال
Disturbance Decreasing	انحسار الاضطراب	The disturbance has been observed before and is decreasing (getting better), for example because actions have taken place to improve it.		انحسار الاضصراب	انحسار الاضطراب	نقص الاختلال
Unknown	غير محدد	It is not known whether the disturbance is new, stable, decreasing or increasing, for example because the heritage feature is observed for the first time.		غير محدد	ok	مجهول
						
Damage Assessment Assessor	المتحقق من الضرر					
						
Threat and Risk Assessment	التهديد وتقييم الخطر					
						
Threat Event	نتجة التهديد					
						
Severity	مدى التأثير المدمر المحتمل	Definitions	التعريف			
Slight	قليل					
Moderate	متوسط					
Major	كبير					
Severe	شديد					
Destruction	مدمر					
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Vulnerability	العوامل التي تعرض الموقع للاضطراب 	Definitions	التعريف			
Construction Material	مواد بناء	The construction material is the reason why the threat exists.				
Excavation	حفائر	Excavation on or nearby the heritage feature is the reason why the threat exists.		حفريات	حفائر 	
Flammable or combustible material	مواد قابلة للإشتعال	Flammable or combustible material on or next to the heritage feature is the reason why the threat exists.				
Lack of Access to the Site	عدم إمكانية الدخول للموقع	Lack of access to the heritage feature is the reason why the threat exists.				
Lack of Evacuation Plan	عدم وجود خطة إجلاء	A lack of an evacuation plan from the heritage feature is the reason why the threat exists.				
Lack of Fencing	عدم وجود سور	A lack of fencing around the heritage feature is the reason why the threat exists.				
Lack of Fire Alarm	انعدام إنذار الحريق	A lack of a fire alarm on the heritage feature is the reason why the threat exists.				
Lack of Fire Extinguisher	عدم وجود طفايات الحريق	A lack of a fire extinguisher on the heritage feature is the reason why the threat exists.				
Lack of Local and Traditional Knowledge	انعدام المعرفة المتوارثة أو المحلية	A lack of local or traditional knowledge is the reason why the recorded threat(s) to the heritage feature exist(s).		انعدام المعرفة المتوارثة أو المحلية	ok	عدم وجود معرفة تقليدية أو محلية
Lack of Maintenance	انعدام الصيانة	A lack of maintenance is the reason why the threat exists.				
Lack of Regular Monitoring	عدم وجود مراقبة منتظمة	A lack of regular monitoring is the reason why the threat exists.				
Lack of Roofing	عدم وجود سقف	A lack of roofing is the reason why the threat exists.				
Lack of Security	عدم وجود نظام أمن وحماية	A lack of security is the reason why the threat exists.		عدم وجود نظام أمن وحماية	ok	عدم وجود نظام أمن
Location	الموقع	The location of the heritage feature is a direct reason for the threat.				
Other	أخرى	A reason not listed here is the reason why the threat exists.				
Poor Design and Construction	تصميم سيئ، إنشاء سيئ	Poor design and construction are the reasons why the threat exists.				
Poor Drainage	نظام تصريف مياه سيئ	Poor drainage of the area is the reason why the threat exists.				
Previous Intervention/Restoration	تدخل سابق/ ترميم سابق	Previous interventions or restorations have created the threat.				
Site Management	إدارة الموقع	Bad site management is the reason for the threat.				
Use of Incompatible Materials for Repair	إصلاح باستخدام مواد غير متوائمة	The use of incompatible materials for previous repair is the reason why the threat exists.				
