Environment Assessment	التقييم البيئي	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
						
Topography	الطبوغرافية	Definitions	تعريف			
Alluvial Fan	مروحة طميية	Sediment deposits (usually triangular/sub-triangular in shape), built up and/or crossed by water courses (including wadis, streams, rivers etc.). This definition also includes deltas; wetlands created by a build of sediment created by water courses flowing into another body of water (or more unsually land)	ترسبات (عادة ما تتخذ شكل المثلث أو ما يشبه المثلث)، تتراكم بها و/أو تعبرها مسارات المياه (تشمل الوديان، والأنهار، والجداول المائية، الخ)، ويشمل هذا المصطلح الدلتا، والمناطق المغمورة بالمياه التي تتكون بواسطة تراكم الترسبات بسبب مجرى المياه من جسم مائي إلى جسم مائي آخر (وفي حالات قليلة من جسم مائي إلى اليابسة) 	مروحة طميية	IT IS the same word!	
Lake Bed	قاع بحيرة	The floor/bottom of an inland body of water	القاع/ الأرضية لجسم مائي موجود في عمق اليابسة	قاع بحيرة	IT IS the same word!	
Lake Shore	شاطئ بحيرة	The area of land adjacent/alongside an inland body of water. The edge of this is usually defined by the presence of another topographical feature e.g. slopes	مساحة الأرض المتاخمة/ على امتداد جسم مائي موجود في عمق اليابسة. وعادة ما يحدد نهايته ملمح طبوغرافي آخر (مثل المنحدرات)	شاطئ بحيرة	IT IS the same word!	
Ocean/Sea Bed (Subtidal)	قاع البحر/ قاع المحيط	The floor/bottom of a maritime body of water	القاع/ الأرضية لجسم مائي بحري			
Ocean/Sea Shore	شاطئ البحر/ شاطئ المحيط	The area of land alongside a maritime body of water. The edge of this is usually defined by the presence of another topographical feature e.g. slopes	مساحة الأرض المتاخمة/ على امتداد جسم مائي بحري. وعادة ما يحدد نهايته ملمح طبوغرافي آخر (مثل المنحدرات)			
Bay/Inlet	خليج/جون	Indentation of the shoreline to form a semi-enclosed body of water				
Beach	شاطئ	Flat or sloping band of unconsolidated fine to coarse sediment (general sand/gravel, but including also pebble to boulder sizes) running along the coastline				
Coast (linear/straight shore)	شاطئ مستقيم	Generalized term to describe a straight or un-indented section of shoreline where the precise geomorphology is unclear				
Coastal cliff	جرف ساحلي	Vertical to near-vertical faces of exposed rock or sediment located at the shoreline and produced by wave erosion				
Delta	دلتا	Low-lying body of alluvial sediment, often triangular in planform, deposited where one or more freshwater watercourse meet the sea				
Estuary	خور أو مصب النهر	Semi-enclosed water body or indentation in th coastline created by the entry of one or more freshwater watercourses into the sea				
Intertidal Flat	منطقة المد والجزر	Extensive flat or gently sloping area of unconsolidated fine sediment (generally mud to sand) covered by water at high tide and exposed at low tide				
Island/Islet	جزيرة	Area of land surrounded by water				
Reef	شعب مرجانية متحجرة	Ridge of material, generally rock, coral or sand, protruding from the seabed, often with its summit lying close to the water surface				
Plain/Plateau	سهل/ أرض منبسطة	A broad and relatively flat area of land occurring in lowland and upland environments.	مساحة عريضة من الأرض،وغالباً ما تكون منبسطة، وتكون في بيئة تتميز بأراضي منخفضة، أو أراضي مرتفعة	سهل/ هضبة	no	
Precipice/Edge	جرف/ شفا حفرة	Outside limit/border/boundary of an area/topographical feature such as a hill (separated here into precipice/edge; slopes and summit). The limit of this feature can be very sharp i.e. a steep, vertical boundary or more gentle.	الحد الخارجي/ الحدود لمنطقة أو ملمح طبوغرافي مثل الهضبة (يتم التمييز بين الجرف/ شفا حفرة، والمنحدرات والقمة). وقد يكون حد هذا الملمح حاداً جداً، كأن يكون شديد الانحدار، أو رأسي، وقد يكون أقل حدة			
Slopes	منحدر	Topographic unit defined by the rise or fall of the lands surface.  This category can be used to describe any discrete area which has clearly identifiable changes in gradient e.g. the area has a higher elevation at one end compared to the other. Flat areas with very gentle undulations (i.e. changes in gradient which are hardly identifiable via imagery and/or by eye in the field) are excluded from this category.	ملمح طبوغرافي يتميز بالارتفاع أو الانحدار لسطح الأرض. ويمكن استخدام هذا المصطلح لوصف منطقة متفردة والتي بها تغيرات واضحة في الارتفاعات، كأن يكون للمنطقة منسوب مرتفع في أحد نهاياتها بالمقارنة بالنهايات الأخرى. ولا يشمل المناطق المستوية ذات الميول الخفيفة (مثل اختلاف المناسيب الذي يصعب تحديده من الصور و/أو العين المجردة في الموقع)			
Summit	قمة	The highest point/points of an area of upland terrain (e.g. mountains, hills etc.). This cannot be used to refer to the entire hill or mountain and solely refers to the top of one of these features.	أعلى نقطة أو نقاط في منطقة مرتفعة (كالجبال والهضاب). ولا يشمل ذلك الهضبة بكاملها، أوالجبل بأكمله، وانما يختص فقط بقمة مثل هذه الملامح			
Unknown	غير محدد	"It is not possible to identify the topographical context of the archaeological ""site"" you are looking at. This may be due to dense urban settlement obscuring any accurate interpretation of the landforms that are present, or alternatively may be due to poor imagery or reference to the source in a publication without any landscape details. "	ليس من الممكن تحديد السياق الجغرافي أو الأثري للموقع الذي تنظر إليه. وقد يكون ذلك بسبب النمو العمراني الكثيف، والذي يخفي الفهم الدقيق للملامج الطبوغرافية للمكان، أو قد ذلك بسبب سوء الصورة، أو المصدر المرئي، أو ذكر المورد في أحد المنشورات دون أية تفاصيل للمحيط والطبوغرافية	غير محدد	ok	غير معلوم
Valley Bed	قاع وادي	The bottom/floor of an elongated depression (caused by e.g. tectonic activity, fluvial action) of the surface of the earth. This definition includes and does not differentiate between gorges, canyons and wadis. 	قاع/ أرضية منخفض طويل (تكون نتيجة لنشاط تكتوني، أو نشاط نهري) لسطح الأرض. ويشمل هذا المصطلح الوديان، والمنحنيات الضيقة، والممرات الضيقة، ولا يفرق بينها			
Valley Terrace	سطح الوادي	Elongated, often bench like, landforms found along the slopes of an elongated depression in the landscape (i.e. valley). These represent the former level of the valley floor and can be formed by fluvial or glacial action etc. In the case of river valleys, they represent the former level of the floodplain. In some cases it may be impossible to distinguish between natural terraces and those which have been modified or built by human activity and this definition includes terraces which may have been modified by human activities.	تشكيل أرضي ذو استطالة، يوجد على امتداد المنحدرات للمنخفضات الطولية في الطبيعة (كمجاري السيول)، والتي تمثل المنسوب السابق لقاع الوادي ويمكن أن يكون قد تشكل بواسطة تغيرات نهرية أو جليدية الخ. وفي حالة وديان الأنهار فإنهم يمثلون المنسوب السابق للمساحة التي كان يصل إليها الفيضان. في بعض الأحيان يصعب التمييز بين الآثار الطبيعية وتلك التي تم بناؤها أو تعديلها بواسطة الإنسان. يشمل هذا المصطلح مدرجات الجبال والتي يمكن أن تكون تم تعديلها بواسطة الإنسان	مصطبة الوادي	no	
Watercourse Banks	ضفاف مجرى مائي	"The area of land adjacent/immediately alongside a flowing body of water (e.g. river, stream, ""wadi""). This area is the active edge of the water course i.e. where erosion etc. is occurring."	مساحة الأرض المتاخمة/ ملاصقة لانسياب المياه في جسم مائي (نهر، جدول، مجرى السيل). وهذه المساحة هي الحرف الفعال لمسار المياه، أي حيث يحدث التأكل وغير ذلك من التأثيرات			
Watercourse Bed	قاع مجرى مائي	The floor/bottom of a flowing body of water (e.g. river, stream, 'wadi').	قاع أو أرضية جسم مائي متدفق، مثل النهر أو الجدول أو مجرى السيل			
x						
Land Cover Type	نوع غطاء الأرض	Definitions	تعريف			
Aquatic Vegetation	نباتات مائية	Vegetation which primarily grows completely or partially underwater				
Bare	جرداء	Areas such as rocks or sand where there is no vegetation or other type of cover, natural or man=made				
Built-up	مبنية	Areas with man-made structures				
Crops	زراعية	Areas with vegetation which has been deliberately planted by people for consumption				
Flowing Water	مياه جارية	Areas of water which have a current and follows a course, such as rivers				
Grass	عشبية	Areas primarily covered with vegetation consisting of typically short plants with long, narrow leaves, growing wild or cultivated on lawns and pasture				
Lichen & Mosses/Sparse Vegetation	حزاز و أشنات/نباتات متناثرة	Areas with very little vegetation of any kind, or only lichen and mosses				
Open Water	مسطح مائي	Areas of water which cover wide spaces, such as lakes and oceans				
Shrubs	ماكي/شجيرات	Areas covered with shrubs, i.e. small woody plants which have multiple stems from the ground and are smaller than trees				
Snow/Ice	ثلج/جليد	Areas covered in frozen water				
Standing Water	مياه راكدة	Areas of water which are isolated from other bodies of water and do not have a current, such as ponds				
Trees	أشجار	Areas covered with trees				
x						
Land Assessment Date	تاريخ تقييم الأرض					
						
Geology	الجيولوجيا					
						
Bedrock Geology Type	النوع الجيولوجي للصخور	Definitions	تعريف			
Igenous (undefined)	نارية (غير محددة)	Rock formed by cooling and solidification of molten rock including within the Earth as well as from eruptions/extrusion of lava. Use this term where the rock is igneous, but the specific type (e.g. basal, granite) is unknown				
Basalt	بازيلت	Dark, fine-grained igeneous rock, generally formed by rapid cooling of lava				
Conglomerate	رصيص	Sedimentary rock containing large gravel sized clasts (>2mm) usually embedded within a matrix of finer grains				
Granite	جرانيت	Coarse-to medium grained igeneous rock, generally formed by slow cooling of molten rock within the Earth's surface 				
Limestone/Chalk/Dolomite	حجر جيري/طباشيري/دولميت	Sedimentary rock produced by the consolidation of carbonate material accumulated from the shells and skeletons  of carbonate-producing organisms (e.g. molluscs, corals, foraminifera)				
Marble	رخام	Metamorphic rock derived from carbonate rocks (e.g. limestone, dolomite)				
