Information Resource	مصدر المعلومات	Unnamed: 2	Unnamed: 3
			
Resource Type	نوع المصدر	Definitions	التعريف
Bibliography	المراجع	Sources from which information is communicated through text or words, such as books, articles, reports, websitesetc.	
Ancient Text	نص قديم	A written document dating from ancient history	
Archive/Collection	أرشيف/مجموعة مقتنية	A group of documents or objects, often historical and related to a specific topic or from a specific source	
Blog	مدونة ألكترونية	A regularly updated online source, often dedicated to a specific subject and usually written in an informal or conversational style	
Book	كتاب	A self-contained, written work, which in physical form is bound with covers, and is normally edited and published for distribution	
Book Chapter/Section	فصل أو جز ء كتاب	A defined section of a book, usually specified with its own title or number	
Database	قاعدة بيانات	An organised collection of structured information or data, typically stored digitally	
Encyclopedia	موسوعة	A book or set of books which gives information on many subjects, typically arranged alphabetically	
Film/Podcast	فيلم مرئي/حلقة صوتية	A video or audio work which has been deliberately produced and edited for distribution to an audience	
Government Document	وثيقة حكومية	A document produced by and/or for the government, for example, relating to laws and official regulations on the treatment of heritage	
Journal Article	مقال صحفي	A written work which is published in an academic periodical, i.e. a publication which is produced and distributed at regular intervals and is normally peer-reviewed	
News/Media Broadcast	أخبار/خبر إعلامي مذاع	An audio or video report produced and distributed to the public by a news organisation, on television, radio, or the internet	
Other Periodical Article	مقال في مجلة دورية	A written work which is published in periodicals that are not peer-reviewed (see Journal Article), such as magazines or newsletters	
Pamphlet	كُتيّب		
Personal Communication	اتصال شخصي	A written or verbal exchange between two people, often informal	
Published Report	تقرير منشور	A written report about the activities of a project, group, etc. which has been published in print or online	
Social Media	وسيلة تواصل اجتماعي	Applications or websites where users share information online, often informally	
Unpublished Paper/Presentation	مقال غير منشور/محاضرة أو عرض	A written work or audio-visual presentation which has been produced and perhaps presented to an audience but has not yet been published	
Unpublished Report	تقرير غير منشور	A written report about the activities of a project, group, etc. which has not been published in print or online	
Unpublished Thesis	أطروحة غير منشورة		
Website	موقع الكتروني	Collected documents and information accessed through an internet browser	
Cartography	الخرائط	Sources which are visual or symbolic representations of geographical space, such as maps, plans, elevations, etc.	
Elevation/Section	قطاع/مسقط (رأسي)	A drawing or photograph which specifically records the vertical face of a structure or the side of an excavated trench	
Map	خريطة	A visual or symbolic representation of a geographical area, often showing the shape and position of physical features of the landscape	
Plan	مخطط (أفقي)	A drawing or photograph which records a horizontal area	
Imagery	الصور	Sources which capture visual representations of physical landscapes, strutures, objects, etc. such as photographs, satellite imagery, etc. (but NOT including site plans or section drawings which come under Cartography)	
Aerial Mosaic	صورة جوية مُجمعة	An assemblage of aerial photographs which have been combined to create a larger image	
Aerial Photograph	صورة جوية	A photograph of the earth's surface which has been taken from an airborne vehicle, such as airplane, kite, or UAV	
Digital Model	موديل رقمي		
Drawing/Reconstruction	رسم/إعادة تركيب أو تصور	A likeness, diagram, or representation of an object or scene, produced manually (e.g. pencil on paper) or digitally. Ruined or missing parts may be filled in, based on evidence, extrapolation, or imagination.	
Photograph	صورة ضوئية	An image captured directly by a camera onto a light-sensitive surface or digitally	
Satellite Imagery	صورة قمر صناعي	An image captured of the earth by an imaging system which operates from a satellite.	
Satellite Imagery (Virtual Globe/Map)	صورة قمر صناعي (فضاء افتراضي/خريطة افتراضية)	Satellite imagery which is accessed via an online virtual globe or map software, e.g. Google Earth or Bing Maps, where metadata and information for individual images is generally unavailable	
Video/Moving Image	فيديو/شريط مرئي	An recording of moving visual images captured on film or digitally	
Shared Data	بيانات ومعلومات مشتركة	See 'Shared Dataset'	
