Imagery	الصورة	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
						
Catalogue ID	هوية المصنف/الكتالوج	Original source identifier for image/file				
						
Source	المصدر	Company/Institution/Source from which the image was obtained/purchased (and who may hold/claim copyright over it) - e.g. British Library, HEIR Oxford, Harris/Mapmart. Can list more than one - e.g. an Institution Name and a Collection Name within that Institution				
						
Creator(s)/Owner(s)	المصور/المالك	The original creator of the image - e.g. photographer, artist, owner of satellite (CNES, Digital Globe, etc.)				
						
Image Details	تفاصيل الصورة					
						
Imagery Platform Type	نوع المنصة المزودة للصورة	Definitions	التعريف			
Platform/Vehicle	وكالة/مركوب	The vehicle/agent that carries/operated the camera/sensor				
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
Other/Unlisted	أخرى/غير مدرجة	The platform or vehicle is not listed				
Not Applicable	لا يمكن تحديد	Not Applicable	غير قابل للتطبيق	لا يمكن تحديد	ok	غير قابل للتطبيق
Satellite	قمر صناعي					
GeoEye-1	GeoEye-1					
KH-4A	KH-4A					
KH-4B	KH-4B					
KH-7	KH-7					
Landsat 1	Landsat 1					
Landsat 2	Landsat 2					
Landsat 3	Landsat 3					
Landsat 4	Landsat 4					
Landsat 5	Landsat 5					
Landsat 7	Landsat 7					
Landsat 8	Landsat 8					
Pléiades 1	Pléiades 1					
Pléiades 1A	Pléiades 1A					
Pléiades 1B	Pléiades 1B					
Quickbird-2	Quickbird-2					
WorldView-1	WorldView-1					
WorldView-2	WorldView-2					
WorldView-3	WorldView-3					
WorldView-4	WorldView-4					
Camera Operator/Vehicle	مشغل آلة التصوير/مركوب					
Hand-operated (Aerial)	يدوية (جوية)					
Hand-operated (Ground)	يدوية (أرضية)					
Kite	طائرة ورقية					
UAV (Unmanned Aerial Vehicle)	وسيلة جوية غير محددة					
						
Imagery Sensor Type	نوع نطاق لون الصورة	Definitions	التعريف			
Sensor/Camera Model	وضوح نطاقات/ألوان الطيف	The specific sensor or camera model which was used to capture the image				
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
Other/Unlisted	آخر/غير مدرج	The imagery sensor is not listed				
Not Applicable	لا يمكن تحديد	Not Applicable	غير قابل للتطبيق	لا يمكن تحديد	ok	غير قابل للتطبيق
