Archaeological Assessment	التقييم الأثري	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
#Archaeological Certainty	مدى التأكد الاثري	Definitions	تعريف			
Negligible	ضئيل	There is very weak evidence to suggest that the site/feature is archaeological i.e. a placename exists, but there is no corresponding imagery data. There has been no field visit to confirm that the site is not archaeological i.e. natural, but is highly questionable whether the site/feature is of archaeological interest.	هناك أدلة ضعيفة جداً على أن الموقع/ الملمح أثري، مثال: يوجد اسم المكان، ولكن لا توجد معلومات عن صور. لم تتم أية زيارات للموقع للتحقق مما إذا كان الموقع غير أثري. مثال: طبيعي، ولكن لا يوجد ما يستدعي الافتراض بأن الموقع/الملمح له أهمية أثرية.	ضئيل	yes	تافه
Low	ضعيف	There is weak evidence to suggest that the site/feature is archaeological. The site/feature may be unclear on imagery or alternative explanations may be probable. This is probably not a site of archaeological interest, although there has been no fieldwork to verify this.	هناك أدلة ضعيفة على أن الموقع/ الملمح أثري، فقد يكون الموقع/الملمح غير واضح في الصور. من المرجح أن هذا الموقع ليس له أهمية أثرية بالرغم من أخه لم تتم زيارة ميدانية.			
Medium	متوسط	There is evidence to suggest that the site/feature is archaeological. The area has multiple sources of evidence which support each other (e.g. multiple image sets) or is clear enough in a single evidence source to suggest that it is possibly a site of archaeological interest. The area will probably be easy to delimit, but alternative non-archaeological explanations may be possible. There has been no field visit to confirm this interpretation.	هناك أدلة على أن الموقع/ الملمح أثري. المنطقة بها عدد من مصادر الأدلة التي يدعم بعضها بعضاً (مثال: مجموعات صور عديدة) أو أن هناك دليل واحد ولكنه واضح بما فيه الكفاية للدلالة على احتمال أن يكون للموقع أهمية أثرية. وفي الغالب أن المنطقة يسهل تحديدها، ولكن قد تكون هناك تفسيرات بديلة وغير أثرية. لم تتم زيارة ميدانية لتأكيد هذا التفسير			
High	عالي	There is strong evidence to suggest that the site/feature is archaeological. The area has multiple sources of evidence that support each other (e.g. multiple image sets) or is clear enough in a single evidence source to suggest that it is a site of archaeological interest. The area will probably be easy to delimit and there are no obvious non-archaeological explanations possible. There has been no field visit to confirm this interpretation.	هناك أدلة على أن الموقع/ الملمح أثري. المنطقة بها عدد من مصادر الأدلة التي يدعم بعضها بعضاً (مثال: مجموعات صور عديدة) أو أن هناك دليل واحد ولكنه واضح بما فيه الكفاية للدلالة على احتمال أن يكون للموقع أهمية أثرية. وفي الغالب أن المنطقة يسهل تحديدها، ولكن لا توجد تفسيرات بديلة غير أثرية واضحة. لم تتم زيارة ميدانية لتأكيد هذا التفسير	عال	same comemnt as before regarding high word	
Definite	مؤكد	There is definitive evidence to suggest that the site/feature is archaeological. The site has been visited and it is confirmed that it is a site of archaeological interest. (Published literature/ Field-visit only) 	هناك أدلة مؤكدة تثبت أن الموقع/الملمح أثري. ولقد تمت زيارة الموقع وتأكيد أن موقع له قيمة أثرية. (أدبيات منشورة/ زيارة للموقع فقط)			
						
#Morphology	مورفولوجي (البنية والشكل)	Definitions	تعريف			
Negative/Cut/Dug Feature	"سالب/قطع ""حفرة""/معلم محفور"	A feature which is defined by the natural or man-made creation of a concavity in a surface	ملمح يتم تحديده بسطح مقعر طبيعي أو من صنع الإنسان	"سالب/قطع ""حفرة""/معلم محفور"	ok	سالب/ معلم مقتطع/ معلم محفور
Positive/Built Feature	 معلم/مبنى ظاهر فوق سطح الأرض	A feature which is built/constructed/upstanding from the surface	ملمح تم بناؤه، أوإقامته بحيث يبرز عن سطح الأرض	موجب/ معلم مُشيد	OK, but for low-medium user, not esay to understand, I would say: معلم/مبنى ظاهر فوق سطح الأرض	موجب/ معلم منشأ
