#Archaeological Assessment	التقييم الأثري	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
#Interpretation	التفسير	Definitions	تعريف			
Aircraft	طائرة	A vehicle which can fly				
Altar	مذبح	A block or surface used to make sacrifices or offerings in a religious context	كتلة أو سطح يستخدم لتقديم القرابين في سياق ديني			
Amphitheatre	"مسرح مزدوج ""امفيساتر"""	An open building, usually circular or oval, with tiered seating and a central space for sporting events and other public entertainment and spectacles	بناء مفتوح، وفي الغالب يكون دائرياً أو بيضاوياً، به مقاعد منتظمة في دوائر أو منحنيات حول فضاء متوسط للفعاليات الرياضية وغير ذلك من الفعاليات العامة للترفيه والاستعراض	"مسرح مزدوج ""امفياتر"""	ok but chnage last word to: امفيساتر	مسرح مفتوح
Anchorage	مرفأ	An area of water offshore where watercraft can anchor, generally identified archaeologically by the prescence of anchors on the seafloor and/or listed as such in ancient sources and charts				
Animal Pen	حظيرة حيوانات	An enclosure specifically for the keeping of animals				
Aqueduct	قناة مائية علوية	Artifical, man-made channel or bridge, designed to carry/convey water across long distances and obstacles	قناة أو جسر من صنع الإنسان مصمم لحمل وتوصيل المياه عبر مسافة كبيرة وعقبات مختلفة			
Ballast	"صابورة ""ثقل توازن في قاع السفينة"""	Heavy material (e.g. rocks or stones), placed in a ship/boat to maintain its stability				
Barrack	ثكنة	A building designed for the housing of soldiers	مبنى مصمم لإقامة الجنود			
Barrage/Dam	سد/عائق	Artificial barrier constructed across a body of water, e.g. river, lake, estuary, designed to prevent flooding, aid irrigation or control water supply, access and flow	حاجز من صنع الإنسان منشأ مقابل جسم مائي مثل النهر أو البحيرة أو مصب نهر، مصمم لمنع الفيضان، ويساعد في الري والتحكم في التزويد بالماء وتدفق الماء	سد/عائق	ok	سد/ خزان
Basilica (Roman)	بازيليكا (رومانية)	A Roman building used as a courthouse or for other official, public activities or events, usually with one apsed end. Not to be used for churches	مبنى روماني كان يستخدم كمحكمة أو وظائف وفعاليات رسمية وجماعية أخرى، وعادة ما تكون إحدى نهاياته نصف دائرية. لا يستخدم هذا المصطلح للكنائس			
Basin/Tank	حوض/ خزان	A man-made receptacle for holding liquids, often associated with agricultural processing (e.g. oil or wine). This includes cupmarks/cupholes	وعاء من صنع الإنسان لحفظ السوائل، وعادة ما يرتبط بالتصنيع الزراعي، مثل صناعة الزيت أو النبيذ. ويشمل ذلك النحت الصخري علي هيئة وعاء أو علامات دائرية			
Bath-house	حمام	A building designed for the purpose of bathing/washing, but can also house various other activities related to health, entertainment, or religion	مبنى مصمم لغرض الاستحمام/ الغسل، ولكن من الممكن أيضاً أن تتم فيه نشاطات أخرى لها علاقة بالصحة، أو الترفيه، أو الدين			
Battlefield	ساحة معركة	A location where a battle/conflict took place				
Boundary/Barrier	حدود/ حاجز	A linear feature designed to mark the edge of a territory or to control the movement of people and animals across the landscape; can be a continuous wall or ditch, or a series of boundary markers. This definition includes clausurae	ملمح طولي مصمم لتحديد حدود مساحة أرض معينة، أو للتحكم في حركة الناس أو الحيوانات في منطقة ما، ومن الممكن أن يكون جداراً مستمراً، أو خندقاً، أو سلسلة من علامات تحديد الحدود، ويشمل ذلك الحواجز العرضية الدفاعية			
Bridge	جسر	A structure designed to enable one to cross over a barrier or obstacle, such as a body of water, chasm, etc.	منشأ مصمم لكي يسمح للإنسان بالعبور عبر حاجز وعقبة، مثل جسم مائي، وغيره من العقبات			
Building	مبنى	A structure with walls and a roof enclosing an area, but for which no specific purpose can definitely be identified	منشأ عبارة عن أربعة جدران وسقف لاحتواء فراغ معين، إلا أنه من غير الممكن التحديد المؤكد لوظيفة معينة له			
Building/Enclosure	مبنى/ مساحة مسيجة	A walled structure enclosing a certain area, but for which it is not possible to tell if it was roofed or not.	منشأ مكون أربعة جدران تحيط بفراغ معين، ولكن من غير الممكن معرفة ما إذا كان له سقف في السابق أم لا	مبنى/ مساحة مطوقة	original is better	
Bunker	مستودع محصن	A structure designed to protect people or objects/materials from attacks, such as bombing etc.	مبنى مصمم لحماية الناس أو الأشياء/المواد من الهجوم، مثل القصف وغيره من أشكال الهجوم	مستودع محصن	ok	غرفة محصنة
