"grid_id";"nb_hp";"grid_num"
"004db4f1-dc2c-4dc1-a69b-c167fe891fe8";90;"E10N33-12"
"7f87b5b7-c6db-45ce-873c-fc0cb9e8eccd";55;"E10N33-14"
"62ec57f4-0bdd-4d21-932f-0b2141fe2bb6";15;"E10N33-32"
"61d85ffc-e461-4360-998d-37a02840cf1f";3;"E10N34-14"
"6995cca3-f7c4-4820-b20f-70aaef93deeb";23;"E10N36-12"
"85db112a-0964-4697-999d-c5b76e275370";26;"E10N36-14"
"937c0e89-b867-4f86-8d2b-e9552a64f06a";27;"E10N36-32"
"34cabd0d-5e47-43fe-9427-9af94c3307dc";18;"E10N36-34"
"86be86d0-4724-4763-ac11-0a21c8c2ce73";12;"E10N24-41"
"eb6868ef-0641-4374-8e80-ee39309660ad";15;"E10N24-43"
"e049b112-9e6a-41c5-8992-6cfe07d02a79";8;"E10N25-23"
"ad6f884e-7e26-4d80-92ff-acf59083fd2d";3;"E10N25-41"
"2873f68c-1e38-496c-8e0f-f2997f53a4db";1;"E10N25-43"
"58f77bf8-ee70-432e-a907-d87f26ac6620";11;"E10N30-43"
"8d597bae-d0aa-4024-b36d-cfbe0039e97a";2;"E10N31-21"
"3abaa031-3e2c-48c9-af7c-51acc1458c3a";122;"E10N31-43"
"2310a318-a39a-41dd-8c08-232d1dcda77d";137;"E10N32-21"
"a0b8f61e-0d39-4dc8-bd56-b281e539fd29";23;"E10N32-23"
"047da15f-221e-446d-a504-f844904123da";41;"E10N32-43"
"1b15272f-f0af-40b5-8651-6d55e8b68644";23;"E10N33-21"
"140be200-1e29-408e-a0ca-56b2a4ccff43";38;"E10N33-23"
"cde051fb-0fb3-45c4-811e-36a1ced698f3";16;"E10N33-41"
"d1dd78aa-3870-4267-ba8f-584389a6fe93";12;"E10N33-43"
"8c73a493-39ef-4b25-aff5-39e0f3daa16d";1;"E10N34-41"
"15a08a2d-7e74-4dfa-bb4b-4768681739a0";4;"E10N35-23"
"c68e05fb-b259-4ca9-9bd0-419629ddd584";17;"E10N36-23"
"dbe1aad1-edff-4010-9fe1-3c92d0134748";5;"E10N24-22"
"3c61c57b-2d40-431d-a546-ddea781be493";4;"E10N24-44"
"f03677f9-004d-4ad4-b9b0-f6756ce00d53";2;"E10N25-22"
"98dcf5d3-a24e-4ce3-8e26-6e05f8df171a";1;"E10N25-42"
"4533fa16-dd5f-4afc-9fb3-54553370a89a";2;"E10N31-44"
"2590f9ba-0129-4004-a2b3-06dc38b8efa6";47;"E10N32-22"
"79ed06ca-8b92-40b2-be63-85d4326e4cc5";17;"E10N32-44"
"256a2c3f-0505-49b5-9e71-5578301d6d4d";6;"E10N33-22"
"72628aa1-5c9d-437e-ba10-922ef94dc9a9";6;"E10N33-24"
"b883593f-5c58-4d5f-9135-15e0d3c0a8fc";163;"E10N33-42"
"70d5bff5-b11e-435f-b07b-9cefcce526f0";271;"E10N33-44"
"a5675466-c50a-4a38-b54e-7ce8a2b9aa48";16;"E10N34-42"
"5ece1649-548e-49da-aa83-cfff97e4c62b";4;"E10N34-44"
"877a1a0d-81b9-4cfd-890a-562ad164ec4f";39;"E10N35-22"
"f961fcab-9a27-458a-ae06-5fe47443797f";1;"E10N35-24"
"4c6027b9-0edb-440d-9e9f-3a00ef66c68a";20;"E10N35-42"
"b691c4b8-bb25-48c0-a755-236f6fee4939";1;"E10N35-44"
"7b40a432-e159-46e2-983b-fdb9eb067929";21;"E10N36-42"
"4f43c386-6e62-4a76-9a30-c243e9dfb50f";5;"E11N24-11"
"4f6e8fd0-bbde-4660-8407-c8ae82f94028";2;"E11N24-13"
"2e5ca132-d339-4554-8c2f-33c0905aa9a9";1;"E11N31-31"
"730e592b-1873-47bf-ae5c-f1e36df2b9a5";3;"E11N31-33"
"cd1c4502-f31c-48c7-9747-f11ce990a4de";1;"E11N32-11"
"9b7f2e8b-a79a-4759-b7ac-3137449b2493";21;"E11N33-11"
"a2770029-1ee5-45f9-b477-8b890295da3d";4;"E11N33-13"
"8c35f3a2-25c7-42cc-8886-17a4d478e42e";2;"E11N33-31"
"099fc18f-57c3-4f04-b47c-bee9c0e5b24c";15;"E11N33-33"
"4bf6ee4f-dc74-43dd-97d8-21bd07f8e8af";13;"E11N34-31"
"f8645633-eeea-4382-aff8-6dcfb8fd9032";81;"E11N35-11"
"dcfd3384-4ffb-4a46-915d-3c715c69e1ac";23;"E11N35-13"
"4265bf45-f704-4076-b01b-fb28cab64806";69;"E11N35-31"
"c481b160-4778-4196-bef7-669066aa8db6";10;"E11N36-33"
"a19f11e5-f481-41f1-ba5a-3cb1c1e068ce";2;"E11N26-12"
"55aba333-2b1d-4f10-8a6c-89292fad83ca";98;"E11N31-34"
"a89cc198-77eb-43ee-b5ab-2eb129b71ecf";4;"E11N32-12"
"4abecbc6-c1a5-4f96-aa53-8bf7c4ec0f02";4;"E11N32-34"
"5e68b48e-8150-442b-a340-698cf8ce7798";4;"E11N33-12"
"f321c6e2-e5eb-4703-aafc-53e650860909";2;"E11N33-14"
"f056a8e5-8a19-4018-95c5-e62c19ba8a54";1;"E11N25-41"
"0614e9ce-5476-4424-8260-628e0d9d6511";66;"E11N31-43"
"95f57037-f36d-4339-a122-8cfedfcd5128";35;"E11N33-21"
"5fd049aa-4d0b-4fe6-a660-241d61877a0a";1;"E11N25-24"
"5dfa121a-e39a-4219-bf8c-6bf3b77ac28a";56;"E29N31-22"
"fb4a48f5-3eb8-4964-baae-298e346d1c07";10;"E30N31-23"
"14665721-94cb-4c54-8e8d-a2d132fde3d4";2;"E11N25-44"
"10b1c8c7-24ab-462e-8f9f-444b2dff6231";4;"E11N26-42"
"77800f44-c91c-46d9-ad24-a1376d1fc344";5;"E11N31-44"
"59eb1571-a7b0-46f2-bbe4-d04acdc34bde";2;"E11N32-22"
"66f2af10-0abc-4b4a-978d-c08971dbef57";12;"E11N32-44"
"12890d2a-575b-487d-a5b4-ed86b30d690f";4;"E11N33-22"
"0a12fd97-30eb-4f2d-93f0-b5e8580afcb0";34;"E26N31-32"
"ab8b7fd7-2738-475d-b2d9-80c2bf89c3d1";9;"E26N31-41"
"81861173-2978-4642-84f6-548b722f96db";1;"E26N26-24"
"da03146e-cd74-40d9-84c8-4d26e33f4f18";47;"E26N31-24"
"5c95832c-311b-4275-9120-060f4b03b937";220;"E27N31-13"
"0fc20169-8e98-40c2-92fb-5cb15f1adf63";144;"E27N31-14"
"bab498fb-33b6-4f8d-9609-47f08805041e";1;"E27N31-34"
"7485a6ba-de72-4b74-9186-01bc6ae4bc0c";5;"E28N28-21"
"cba21db4-1791-4b9f-a51d-3b3394b8bd65";166;"E29N30-43"
"b027f2fb-7c92-4706-b998-c6f61d2315f0";11;"E30N29-14"
"477d257c-8534-4619-9ac6-e07eceaba627";4;"E30N30-34"
"ddca9294-de91-40c4-a816-4e5b3c66a05f";10;"E30N31-14"
"b8ee4d5c-f896-4ead-ab10-e48569439de2";1;"E30N24-41"
"44e285a7-4fa2-418e-9454-675e66ff85eb";7;"E30N25-21"
"d3545702-e0cf-4daf-9179-21cc41568d31";20;"E30N25-23"
"a1e2a8ad-f673-49c6-b774-8a7d862b98de";24;"E30N25-41"
"e73cbf28-ec7b-44f1-8a86-f8e2c0629bdf";1;"E30N29-21"
"50d72db8-e6d5-42c1-b006-bcc092e878f6";9;"E30N29-41"
"c4a76cad-d878-449c-9fdb-0bc6a99a54d8";3;"E30N31-21"
"9ffca902-a562-45b8-9a2b-ef55e1322ad8";2;"E30N31-41"
"fccb0765-0776-48b5-ba0a-aeb2e8521e59";39;"E30N27-42"
"43616bd0-90d7-4c6f-802f-4c07d9559215";1;"E30N29-22"
"69b0937f-d2b3-479a-977c-132aeb4d701e";27;"E30N29-24"
"5b104c69-bfe1-4239-863b-273d760b0b2a";7;"E30N29-42"
"79f87709-53b8-4ff2-b764-9f02cf62d413";1;"E30N30-42"
"a1074cd2-de2b-4abf-8560-c1b7da8ef409";1;"E30N30-44"
"eeaad6d9-2701-4e4b-b177-96dc1a6c5630";1;"E30N31-22"
"a1d5b51e-9000-4067-a90d-50e76d5627ec";1;"E30N31-24"
"c92ce3e5-5175-44e4-9b6e-eaf359d49800";1;"E31N27-11"
"e346a7e0-6821-4a18-9a27-326d9a52de3d";15;"E31N27-13"
"3fa43e37-e872-4305-a463-c0a7d6506f25";2;"E31N29-13"
"12b55401-e9bf-4e3f-b264-b21dbf42558b";4;"E31N29-31"
"a3512636-d431-4999-ae3d-2790f3252f1f";9;"E31N29-33"
"8ab6284a-3fe3-4f0a-b7bd-eb0ddd4c6295";1;"E31N30-31"
"79ab449d-ea2c-443d-a42b-dba1df0ddb82";2;"E31N30-12"
"868ea06e-c683-4894-94fd-93c1062bbc03";1;"E31N30-14"
"f98c8488-1de7-451a-bda0-c8edf3ccbdc9";1;"E31N30-32"
"05e8b4fc-6b82-44a4-9434-fcea474b7c56";2;"E31N30-34"
"0e5fd00b-df36-4f80-b5e8-52d757d8de62";1;"E31N31-32"
"e97a6072-eff2-40f5-bc54-5db190c39c97";42;"E31N29-21"
"ef6f287e-d126-4acf-8ccb-8031087158c8";363;"E31N29-23"
"f046a95c-d9e8-47d5-ae53-7b4723ed7bd9";222;"E31N29-41"
"74842710-4f30-4ea6-ae65-085f3dfde64d";313;"E31N29-43"
"535298e7-9b36-4c85-840d-486c9ddead1d";978;"E31N30-21"
"1a55ec6b-84ee-4e36-b981-37e3e98a12f8";8;"E31N30-41"
"7419ac7c-1d28-4962-987e-d405d5f3078e";24;"E31N30-43"
"18f1114b-c9aa-4b16-b44c-a724f286e8af";99;"E32N23-44"
"36fd6401-37f2-4797-bec3-b686c9c03a0d";2;"E31N31-21"
"37d1cdce-7a04-4f5f-a438-cec7acfb599b";3;"E31N31-23"
"42bd68fc-5f59-4909-98d6-37d2aeb14be9";64;"E31N29-24"
"4afe30ce-9123-4032-91e0-5f3701c6b5b6";72;"E31N29-42"
"16936f41-4090-4923-a030-2885f4b113f8";860;"E31N29-44"
"d57a6d92-5e71-4cf9-8c55-aeb78602f5dd";2023;"E31N30-22"
"fbee44b1-3e99-4d56-a7b9-a58b93bfadb9";1;"E31N30-42"
"a125114b-b0d4-41a4-8cb5-94a6096be454";9;"E31N30-44"
"27119174-611f-44d5-a4e6-cfab34d464fc";11;"E31N31-22"
"c220de26-9d79-4b09-a8c9-4e0feeee3c8a";8;"E31N31-24"
"84df8961-d954-4160-9f49-e783e97d80ba";133;"E32N29-13"
