"nb_hp","grid_num"
1,"E35N32-14"
635,"E35N32-14"
101,"E51N25-34"
1,"EAMENA-0179582"
1,"EAMENA-0179587"
2,"E04N35-24"
8,"E34N31-41"
3,"E34N23-44"
36,"E34N24-24"
106,"E34N24-42"
253,"E34N24-44"
52,"E34N25-22"
1,"E34N25-24"
2,"E34N29-24"
9,"E34N29-42"
451,"E35N30-43"
46,"E35N29-44"
19,"E06N35-24"
70,"E34N24-22"
1,"EAMENA-0179606"
1,"X: 177296.97040 Y: 180238.83104"
1,"X: 182339.42116 Y: 188230.85254"
1,"EAMENA-0179666"
4,"E10N35-31"
4,"E01N31-13"
1,"E01N34-13"
14,"E01N36-32"
30,"E07N34-42"
23,"E01N35-41"
17,"E01N34-42"
1,"E02N24-31"
78,"E02N36-31"
1,"E02N32-32"
27,"E02N35-32"
12,"W00N27-23"
6,"E02N34-43"
19,"W00N27-41"
10,"E02N36-44"
38,"E03N35-33"
20,"E03N34-34"
13,"W00N27-43"
14,"E03N36-24"
5,"E04N35-13"
3,"W00N26-44"
42,"E09N37-12"
44,"W00N27-22"
5,"E04N36-23"
30,"W00N27-24"
2,"W00N27-44"
1,"W00N28-24"
4,"E05N34-33"
5,"E00N26-31"
4,"E08N35-23"
3,"E00N26-33"
58,"E00N29-11"
43,"E00N29-13"
5,"E05N36-41"
27,"E05N35-42"
3,"E00N29-31"
59,"E00N29-14"
3,"E06N34-31"
21,"E00N29-32"
54,"E06N36-23"
2,"E07N34-13"
1,"E00N33-44"
98,"E07N36-14"
25,"E03N36-12"
5,"E01N33-32"
2,"E26N31-31"
65,"E02N36-32"
1,"E03N29-44"
33,"E04N35-44"
1,"E05N24-11"
29,"E05N35-14"
12,"E05N35-32"
83,"E05N36-23"
52,"E06N36-11"
137,"E06N35-14"
68,"E06N36-14"
38,"E07N34-43"
1,"E08N33-33"
52,"E08N35-33"
71,"E08N34-34"
139,"E08N35-12"
156,"E08N35-32"
27,"E08N35-34"
40,"E08N36-32"
184,"E08N34-43"
174,"E08N35-21"
1,"E08N35-41"
1,"E08N35-43"
2,"E08N36-21"
9,"E08N36-23"
4,"E08N36-41"
1,"E08N33-24"
1,"E08N34-24"
1,"E08N34-42"
17,"E09N32-24"
15,"E10N32-41"
145,"E08N34-44"
94,"E08N35-22"
2,"E08N35-44"
2,"E08N36-24"
82,"E08N36-42"
34,"E08N36-44"
1,"E09N33-31"
1,"E09N33-33"
1,"E09N34-33"
1,"E09N35-11"
2,"E09N35-13"
1,"E09N35-31"
128,"E09N35-33"
5,"E09N36-11"
16,"E09N36-13"
11,"E09N36-31"
122,"E09N36-33"
10,"E09N37-11"
1,"E09N26-12"
103,"E09N30-12"
2,"E09N33-14"
23,"E09N33-32"
1,"E09N33-34"
13,"E09N34-32"
2,"E09N35-14"
2,"E09N35-32"
10,"E09N35-34"
162,"E09N36-12"
2,"E09N36-14"
108,"E10N32-34"
2,"E10N35-43"
6,"E09N36-32"
14,"E09N30-21"
2,"E09N32-21"
5,"E09N32-23"
1,"E09N33-21"
32,"E09N33-23"
48,"E09N33-41"
3,"E09N33-43"
1,"E09N35-21"
1,"E09N35-23"
1,"E09N35-41"
4,"E09N35-43"
11,"E09N36-21"
2,"E09N36-23"
4,"E09N36-41"
1,"E09N36-43"
1,"E09N30-24"
2,"E09N32-22"
3,"E09N32-42"
1,"E09N33-22"
15,"E09N33-24"
228,"E09N33-42"
118,"E09N33-44"
3,"E09N35-24"
100,"E09N35-42"
3,"E09N35-44"
1,"E09N36-22"
5,"E09N36-24"
2,"E09N36-42"
2,"E09N36-44"
90,"E09N37-22"
18,"E09N37-24"
1,"E10N24-31"
