Disturbance Effect	أثر الاضطراب	Definitions	التعريف			
Access Restriction	منع الدخول	The limiting of movement into and around an archaeological site. This can be due to activities such as inundation, as well as occupation/use of the site for military purposes.	تحديد الحركة داخل وحول موقع أثري. وقد يكون سبب ذلك لأنشطة معينة كالغمر، أو بسبب احتلال أو استخدام الموقع لأغراض عسكرية			
Alteration of Terrain	تغير الأرض	Changes in the shape/form of landforms or the topography of a site as the result of activities, such as the bulldozing/dumping of non-local material. 	تغير في شكل سطح الأرض وطبوغرافية الموقع كنتيجة لأنشطة مثل الجرف أو تجميع مخلفات ومواد من خارج الموقع			
Artefact Displacement	تغير أماكن اللقى الأثرية	The dispersal/spread of archaeological material/objects across the surface or subsurface of an archaeological site. This is often the result of ploughing.	تناثر أو انتشار المواد والقطع الأثرية على سطح الأرض أو تحت السطح مباشرة في موقع أثري، وعادة ما تكون نتيجة لحرث الأرض	تغير أماكن اللقى الأثرية	ok	تغير أماكن القطع
Burning	حريق	The damage caused to archaeological sites/features via fire. This can include both damage caused by the flames of the fire, as well as smoke damage.	الضرر الناتج عن الحريق لموقع أثري أو ملمح أثري. وقد ينتج الضرر بسبب ألسنة اللهب أو الدخان الناتج عن الحريق			
Chemical Leaching	استنزاف كيميائي	The drainage/percolation of harmful chemicals/waste materials into the soils of an archaeological site.	الصرف أو الرشح لمواد كيمياوية ضارة، أو لمخلفات كيمياوية خلال التربة بموقع أثري			
Collapse/Structural Damage	إنهيار/ ضرر إنشائي	Damage causing archaeological sites or features to fall in/subside or to become structually unsound, or the structural integrity of the site or feature to be compromised. This may include the partial or full demolition/destruction of a site or feature. This category includes structural deformation, inclination and swelling.	ضرر يؤدي إلى إنهيار أو هبوط لموقع أثري أو ملمح أثري، أو يؤدي لأن يصبح غير سليم إنشائياً، أو أن يتم التفريط في التكاملية الإنشائية لملمح أو موقع أثري. وقد يشمل ذلك الإنهيار أو الهدم الكلي أو الجزئي لموقع أو ملمح			
Compacting	دمج	The pressing or packing down of archaeological sites/artefacts/soils and so the material becomes flattened and/or compressed.	الضغط أو الدك لتربة موقع أثري أو قطع أثرية مما ينتج تسطيح/إفراد المواد الأثرية أو ضغطها			
Covered	مغطى/طمر	Deposits burying/concealing features of archaeological significance, this can include the effects of sedimentation, rock falls, dumping of non-local material and/or the erection of new buildings or structures. It also covers sites that are only partially covered. This could also be caused by vegetation/tree cover.	ركام يغطي أو يخفي ملامح لها أهمية أثرية، وقد يشمل ذلك تأثير الترسيب، أو سقوط صخور، أو تجميع مخلفات ومواد من خارج الموقع، أو إنشاء مباني جديدة. ويشمل ذلك المواقع المغطاة جزئياً	طمر	we shall use both words. 	مغطى
Cracked/Broken/Missing Parts	مشروخ/ مكسور/ فاقد لأجزاء	Cracks will occure as a result of stress to structures. Cracks that occure within a limited/small area will not cause structural instability, however from fractures rainwater enters the structure and also plants and vegetation are often starts to grow-out resulting into structural damage and destabilization. Recording and monitoring of cracks is an important step to understand whether they are enlarging or any deformation is in progress. 				
Earth Displacement	إزاحة سطح التربة	The movement of earth/soil, not necessarily leading to the alteration of landforms and/or the burial of archaeological sites.	حركة الأرض/ التربة، ولا تؤدي بالضرورة إلى تغير شكل سطح الأرض و/أو دفن الموقع الأثري	إزاحة سطحية	إزاحة سطح التربة	إزاحة أرضية
Erosion/Deterioration (micro-bio)	تآكل/تهالك (أحياء-دقيقة)	The process of archaeological material being worn away/weathered, often due to natural causes. (e.g. exposure to wind, rain, sunlight, as well as salt crystalization, insects and pests damage, and growth of micro-organisms)	تأثر المواد الاثرية بالمناخ وعوامل التعرية مما يؤدي لأن تبلى هذه المواد وتتآكل			
Lack of Adehsion	انسلاخ/فقد للالتصاق	When an applied substance no longer adheres or sticks properly to the surface to which it was applied, e.g. Detachment of Plaster (renders) or preparatory layer and paint layer or surface finishing		انسلاخ/فقد للالتصاق	ok	فقد للالتصاق
Lack of Cohesion	فقد للتماسك	When the elements or particles of the same substance no longer stick together, e.g. Crumbling or powdering of renders and surface finishing				
Loss/Removal of Archaeological Material	فقد/ إزاحة مادة أثرية	The removal of archaeological material from a site, often resulting from activities such as looting.	إزالة المادة الأثرية من الموقع، وعادة ما تكون نتيجة لأعمال نهب وسرقة	فقد/ إزاحة مادة أثرية	ok	فقد/ إزالة مواد آركيولوجية
Loss of Intangible Heritage Linked to Heritage Resource	فقد التراث غير الملموس المرتبط بالمورد التراثي	The loss of intangible heritage, such as traditional techniques and craftsmanship, which are directly and specifically linked to a particular heritage place				
Relocation of Archaeological Features	نقل معالم أثرية إلى مكان آخر	The deliberate removal and relocation of archaeological features from one site to another. This may be done to protect archaeological features (e.g. prevent its destruction via inundation etc.) or for other reasons.	النقل المتعمد للملامح الأثرية من موقع لآخر. وقد يتم ذلك لحماية الملامح الأثرية، مثل منع الضرر الذي قد ينتج عن الغمر وغيره من الأنشطة، وقد يكون لأسباب أخرى	نقل معالم أثرية إلى مكان آخر	ok	نقل الملامح الأثرية
Structural Alteration	تغيير في البنية	Damage or alteration to an archaeological site/feature where the result does not cause the feature to become structurally unsound/compromised.	ضرر أو تغيير في الموقع الأثري أو الملمح الأثري لا يؤدي إلى ضرر إنشائي أو إلى أن يصبح الملمح غير سليم إنشائياً			
Surface Loss	فقد للسطح	Loss of the upper layer of the feature.				
Visual Impact	التاثير البصري	An effect or impact on the visual integrity of the heritage place, including a potential or perceived loss of aesthetic value				
Water Damage	ضرر بسبب الماء	The effects of water on archaeological features and sites, this includes rising damp, structural decay, rotting, rusting etc.	تأثير الماء على الموقع الأثري والملامح الأثرية، ويشمل ذلك الرطوبة الناتجة عن الخاصية الشعرية، والتدهور الإنشائي، والتعفن، والصدأ، إلى غير ذلك			
Not Applicable	لا يمكن تحديد	"Only to use when the cause is ""No Visible/Known""."		لا يمكن تحديد	ok	غير قابل للتطبيق
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
