"ea.uuid"	"ea.name"	"ea.duration.taq"	"ea.duration.tpq"	"periodo"
"989f89d1-5780-4a62-807e-bf21fc0c658b"	"Pre-dynastic (Egypt)"	"-4400"	"-3000"	""
"a0b2afe4-e3d3-4565-901c-4bd00ae360b7"	"Chalcolithic (Northern Iran)"	"-5200"	"-3300"	""
"0c046759-a686-410e-94de-fc9ff3f4bb7a"	"Predynastic Egypt"	""	""	""
"d763fbfa-1dad-438e-a6b1-d2291c453446"	"Chalcolithic (Levant)"	"-5200"	"-3000"	""
"a3a761f2-2923-44ed-b725-7e8bcceb8d35"	"Chalcolithic (Khuzestan, Iran)"	"-6000"	"-3100"	""
"5de9594e-4f42-488b-80bb-1c300c1cdf30"	"Chalcolithic (Central Zagros, Iran)"	"-5500"	"-3000"	""
"45e937f2-f483-4f23-a756-277b120a441a"	"Chalcolithic (Mesopotamia)"	"-5900"	"-3000"	""
"ec975d99-e9c3-467e-b896-fb179bcac712"	"Chalcolithic (Arabia)"	"-6000"	"-3200"	""
"5a2c038d-393f-4601-99c7-0e4abe5788cc"	"Chalcolithic (Southern Iran)"	"-5000"	"-2900"	""
"ca643895-075f-4d2c-a405-24ce3daa1003"	"Palaeolithic (North Africa)"	"-700000"	"-10000"	""
"c989a7b9-559e-4923-8c67-f366fe44524f"	"Palaeolithic (Levant/Mesopotamia/Arabia)"	"-14000000"	"-18000"	""
"15f0bdc7-1a1e-44b0-ac24-bf904a45eaa0"	"Palaeolithic (Iran)"	"(Unknown)"	"-18000"	""
"93312b9f-fc30-4acc-b887-54a35bb344ef"	"Contemporary Islamic (MENA)"	"1900"	"Present"	""
"b9605ab4-aba0-4030-819a-0ca38e75c87e"	"Epipalaeolithic (Levant/Mesopotamia)"	"-18000"	"-10000"	""
"93a51828-4408-4086-a9c0-8fb74cd8263a"	"Epipalaeolithic (Arabia)"	"-18000"	"-6500"	""
"2564f0bc-89c2-44b2-8036-8deb03237324"	"Epipalaeolithic (North Africa)"	"-10000"	"-7000"	""
"eea3956d-406a-46b2-96c6-ebcbbf9f65b2"	"Epipalaeolithic (Iran)"	"-18000"	"-8500"	""
"14e3a478-1933-4343-9025-0ba1cc3dd0ec"	"Predynastic Egypt"	""	""	""
"80552db6-5d92-3851-898c-7496e4d662a0"	"Unknown"	"For where you have an accurate reading, but no record what method was used"	NA	""
"6fd0bf51-554c-4572-81ca-c6f25543c77f"	"Bronze Age (Northwest Iran)"	"-3100"	"-1250"	""
"e1dd7811-cdcc-43eb-a912-b9deec663bcc"	"Bronze Age (Khuzestan, Iran)"	"-3100"	"-1100"	""
"da90352a-0c22-49f5-bac8-21dd36e09bb2"	"Bronze Age (Northeast Iran)"	"-3100"	"-1500"	""
"47ba6821-311f-41a9-ba55-cf2d3e65824d"	"Bronze Age (Southern Mesopotamia)"	"-3100"	"-900"	""
"4550d0f3-24c2-4ada-9fbe-52e5974db973"	"Bronze Age (Arabia)"	"-3200"	"-1500"	""
"fb5d9c7e-ca5e-4324-97ac-bab673391ecd"	"Bronze Age (Levant)"	"-3600"	"-1200"	""
"f3754560-6586-42dd-ad7e-9bf98f215a10"	"Bronze Age (Central Zagros, Iran)"	"-2900"	"-1200"	""
"d95b0772-75cd-4878-8363-0aed370a10d3"	"Bronze Age (Southern Iran)"	"-2900"	"-1000"	""
"71144f54-34d1-4618-8a30-21c245d5718a"	"Bronze Age (Northern Mesopotamia)"	"-3100"	"-1200"	""
"8698d5aa-ebd3-46c6-a1f9-dd632bde21c2"	"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)"	"-330"	"640"	""
"6610a4fa-19fe-4a77-92aa-c51ce172a707"	"Classical/Protohistoric/Pre-Islamic (North Africa)"	"-500"	"640"	""
"5a0c2fcb-1401-42e6-bdec-d0d8bc402524"	"South Arabian Period (Southern Arabia)"	"-800"	"640"	""
"d53b2f66-2731-476e-be40-8351742f6a18"	"Islamic (Levant/Arabia)"	"640"	"1900"	""
"e51d7e51-7b1a-4de7-ab94-990b7bc65714"	"Islamic (Iraq)"	"640"	"1900"	""
"1339bc8d-247f-4c72-994c-28aa61e4fe0d"	"Islamic (Iran)"	"640"	"1900"	""
"1e2f5c3e-f319-418c-bf64-2e668ecd36b2"	"Islamic (North Africa)"	"640"	"1900"	""
"71f45ce8-7489-4ab3-b207-5b0722a998a2"	"Dynastic Egypt"	"-3000"	"-350"	""
"8fd86562-4e30-4a3f-91d6-867ba506929e"	"Neolithic (Egypt)"	"-7000"	"-4400"	""
"754621a3-1dad-49c2-b224-3f037511d522"	"Neolithic (Arabia)"	"-6500"	"-3000"	""
"bfe456bc-c7f5-4105-a83f-e8ba6f41ce5e"	"Neolithic (Maghreb)"	"-7000"	"-1000"	""
"a7f9113a-2c4c-496a-b722-3593696a6aee"	"Neolithic (Iran)"	"-8500"	"-5000"	""
"c686668b-01cc-407a-b2db-d3404a783a77"	"Neolithic (Levant/Mesopotamia)"	"-10000"	"-5000"	""
"ce7f6688-212a-47b1-8c2b-d95ce219c8e9"	"Iron Age (Levant/Mesopotamia)"	"-1200"	"-330"	""
"5bd42869-3320-49db-8d6d-0ada8e52c66d"	"Iron Age (Arabia)"	"-1500"	"-100"	""
"d71f6c3d-5df3-482d-9b8f-57f2fe135b14"	"Iron Age (Iran)"	"-1400"	"-330"	""
"bea17415-14f7-4945-bfb9-d4e6a0f773d9"	"Iron Age (Maghreb)"	"-1000"	"-500"	""
