Geoarchaeology Assessment	تقييم جيوأركيولوجي	Unnamed: 2	Unnamed: 3	Alternative suggested translation	mk comments	Old Term replaced by AB or MK
						
Geoarchaeology Certainty Observation	مدى التأكد من الملاحظة الجيوأركيولوجية					
						
Overall Geoarchaeological Certainty Value	درجة التأكد من الملاحظة الجيوأركيولوجية	Definitions	التعريف			
Negligible	ضئيل	There is very weak evidence to suggest that the site/feature has any geological/geoarchaeological significance and it is highly questionable whether the site/feature is of geoarchaeological interest. E.g. informal reports of landforms which may or may not be recent features, or sediments which are likely to have been recently deposited		ضئيل	ok	تافه
Low	ضعيف	There is weak evidence to suggest that the site/feature has any geological/geoarchaeological significance and it is highly questionable whether the site/feature is of geoarchaeological interest.  The site/feature may be unclear on imagery or alternative explanations may be probable. This is probably not a site of geoarchaeological interest, although there has been no fieldwork to verify this. E.g. Landforms which may or may not be recent features but which are clearly visible on satellite imagery or other data sources				
Medium	متوسط	There is evidence to suggest that the site/feature has any geological/geoarchaeological significance. The area has multiple sources of evidence which support each other (e.g. multiple image sets or data types) or is clear enough in a single evidence source to suggest that it is possibly a site of geological/geoarchaeological interest. The area will probably be easy to delimit, but alternative explanations may be possible. There has been no field visit to confirm this interpretation or age. E.g. Landforms which are clearly visible on satellite imagery or other data sources and whose shape and form suggest creation by processes no longer operating at present but which could have occured relatively recently				
High	عالي	There is strong evidence to suggest that the site/feature is archaeological. The area has multiple sources of evidence that support each other (e.g. multiple image sets, multiple data types) or is clear enough in a single evidence source to suggest that it is a site of archaeological interest. The area will probably be easy to delimit and there are no obvious possible. There has been no field visit to confirm this interpretation. E.g. Landforms which are clearly visible on satellite imagery or other data sources and whose shape and form indicate creation by processes no longer operating at present or recent past		عال	no	
Definite	مؤكد	There is definitive evidence to suggest that the site/feature has geological/geoarchaeological signifiance.  The site has been visited and it is confirmed that it is a site of geological/geoarchaeological interest. (Published literature/ Field-visit only)				
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
						
Source of Evidence	مصدر الأدلة					
						
Source of Evidence Type	نوع مصدر الأدلة	Definitions	التعريف			
Aerial/Satellite Image	صورة جوية/قمر صناعي	Image of the Earth's surface taken from above by a spaceborne (satellite) or airborne (aircraft, UAV) camera or image sensor. Defintion here encompasses optical and multispectral images				
Core/Borehole	مجسات سبر بالحفارة	Vertical sample of sediment obtained by drilling or pushing a sampling device vertically into the ground or seabed surface. Provides an indication of stratigraphy as well as physical samples for further analysis 				
Ground Penetrating Radar (GPR)	ذبذبة رادار أرضية (GPR)	Radar system which images sediment layers and rocks buried under the ground surface, providing information about sediment thickness, stratigraphy and buried features/structures. Data traditionally collected and displayed as 2D (vertical) cross sections, but 3D systems also now exist.				
Micropaleontological Analysis	تحليل بيولوجي دقيق	Sampling and analysis of microfossils (i.e. require a microscope to see) of plants or animals from rocks or sediments, generally for the purpose of reconstructing past environments and environmental change. Analysis can be done of microfossils from both terrestiral and marine environments				
Open Face Section	قطاع أو مسقط مكشوف	Vertical exposure (cross section) on the Earth surface which reveals buried sediments or rock. Can occur naturally (e.g. through coastal or cliff erosion), or by human action (e.g. quarrying, trenching). Provides an indication of stratigraphy, physical samples for further analysis and in some cases, show the shape of buried landforms 				
Optically Stimulated Luminescence dating	التأريخ بالتحفيز البصري للإشعاع الضوئي	Absolute dating method for sediments (and some types of archaeological material) based on measuring the luminescence caused by trapping of electrons within a mineral 				
Other Absolute Dating Method	طرق أخرى للتأريخ المطلق	Any other dating method which provides a numerical date but does not match one of the other terms here				
Radiocarbon Dating	التأريخ بواسطة الكربون	Absolute dating method for organic material based on the radioactive decay of the carbon-14 isotope				
Relative Dating	الـتأريخ النسبي	Dating method which aims to determine the sequential order of past events based on comparison of the stratigraphic position of sediments, rocks or fossils 				
Seafloor Bathymetry	قياس أعماق قاع البحر	Digital Elevation Model of the seabed surface generated by any method, for instance, including swath systems (multibeam echosounder, interferometric sonar), single-beam echosounder, LiDAR, Satellite Derived Bathymetry				
Seismic Profile (Marine)	قطاع ذبذبي (بحري)	Boat deployed acoustic system which images sediment layers and rocks buried under the seabed, providing information about sediment thickness, stratigraphy and buried features/structures. Data traditionally collected and displayed as 2D (vertical) cross sections, but 3D systems also now exist. Also known as a sub-bottom profiler				
Sidescan Sonar	سونار مسح جانبي	Boat-deployed acoustic system which images the seabed surface and provides data in the form of a 2D image. Imagery gives an indication of features on the seafloor and a qualitative impression of sediment type				
Surface Sampling	عينة سطحية	Sediment sample taken from the land or seabed surface by any method. 				
Surface Visual Observations	معاينة بصرية سطحية	Observations of the land or seabed surface made with the naked eye				
Synthetic Aperture Radar	رادار تركيبي الفتحة	Air- or spaceborne radar system which images the land surface and provides data in the form of a 2D image. 2D imagery gives an indication of features on the land surface, additional processing can be used to derive 3D elevation models from the 2D imagery				
