Geometry Type	نوع الشكل الهندسي	Definitions	تعريف				
Access Point	المدخل إلى الموقع	The geometry indicates the official or recommended entrance to the site or the point where access is easiest.					
Buffer Polygon	حدود حرم الموقع	The polygon indicates the extent of a buffer, usually a zone of protection beyond the known limits of the site					
Center Line	خط التقسيم	A line which divides the site in half					
Center Point	نقطة مركز الموقع	A point which indicates the geometric centre of the site					
Façade Point	نقطة لظوهر قائمة	A point which indicates the position of the façade or front of a structure					
Perimeter Polygon	شكل مضلع لامتداد معروف لمبنى ما	A polygon which marks the known horizontal extent of the site or feature being recorded		**merged with footprint polygon			
Property Boundary	شكل منتظم أو مضلع لحدود مبان حديثة	A line or polygon which indicates the edge(s) of the modern property according to its legal ownership, which may differ from the original/ancient boundaries of the site					
Site Datum Point	الإحداثية المساحية للموقع	Location of the site datum used for surveying					
Simplified Polygon	شكل هندسي مبسط	A polygon which simplifies the shape of an area with very irregular or difficult to draw boundaries		**Changed from circumscribed polygon			
Vicinity Point	الموقع بالنسبة إلى أقرب إحدائية مساحة	A point marking the approximate location of a site or feature based on available evidence but when the exact location is not precisely known					
x							
