Heritage Place Function	وظيفة الموقع التراثي	Definitions	تعريف			
Agricultural/Pastoral	زراعي/ رعوي	Relating to the farming of land and/or the rearing of animals	له علاقة بزراعة الأرض، أو رعي الحيوانات بها			
Defensive/Fortification	دفاعي/ تحصينات	Relating to the security or protection of people or an area, but not military in nature	له علاقة بالأمن أو بحماية الناس أو حماية منطقة، ولكن ليس ذا طبيعة حربية			
Domestic	سكني	Relating to the habitation of people	له علاقة باستيطان وسكن الناس			
Entertainment/Leisure	ترفيه/ تسلية	Relating to activities which are largely for pleasure or enjoyment	له علاقة بأنشطة يغلب عليها الجانب الترفيهي			
Funerary/Memorial	جنائزي/ تذكاري	Relating to activities concerning the memorialisation of individuals, events and/or the treatment of the dead	له علاقة بتخليد ذكرى أشخاص، أو أحداث، أو له علاقة بالتعامل مع الموت والموتى			
Hunting/Fishing	صيد بري/ صيد بحري	Relating to the exploitation of (mostly) non-domesticated species	له علاقة بالاستثمار في كائنات حية (عادة في غير الدواب أو الحيوانات المستأنسة)			
Hydrological	مائي/ هيدرولوجي	Relating to the management and movement of water	له علاقة بإدارة وحركة المياه			
Industrial/Productive	صناعي/ إنتاجي	Relating to the production of goods or other commodities, at large or small scale	له علاقة بانتاج البضائع، على نطاق كبير أو صغير			
Infrastructure/Transport	بنية تحتية/ مواصلات	Relating to the organisation and provision of facilities and services, particularly those associated with the movement of people, animals and goods, which are necessary for a society to function	له علاقة بتنظيم وإتاحة الخدمات، خصوصاً تلك المتعلقة بحركة الناس والحيوانات والبضائع، والتي يحتاجها كل مجتمع في حياته اليومية			
Maritime	بحري	Relating to the sea, in particular shipping and/or the exploitation of maritime resources where these resources cannot be further defined.	له علاقة بالبحر، خصوصاً الشحن والاستثمار في مصادر بحرية، في الحالات التي لا يمكن فيها تحديد المصادر			
Military	حربي	Relating to an organised and/or official group of armed forces	له علاقة بقوات حربية منظمة أو رسمية			
Public/Institutional	عام/مؤسسي	Relating to facilities and services which are intended for use by the community as a whole. Often, but not necessarily officially provided or sanctioned e.g. markets, courthouses, official/government etc.	له علاقة بالخدمات للمجتمع ككل. والتي عادة، وليس دائماً، تكون رسمية، مثال الأسواق، المحاكم، الإدارات الحكومية، وغيرها			
Religious	ديني	Relating to activities of a ritual nature	له علاقة بأنشطة تعبدية			
Status/Display/Monumental	وجاهة/ مظهر/ نصب	Relating to structures which serve no functional purpose except to express a statement, usually relating to wealth, status, power etc.	له علاقة ببناء لا يخدم وظيفة محددة وإنما يعبر عن وضع أو مكانة معينة، وعادة ما يكون له علاقة بالثروة أو السلطة			
Trade/Commercial	تجارة/ تجاري	Relating to facilities and or services which are predominantly economically orientated or mercantile in nature.	له علاقة بخدمات لها طبيعة اقتصادية وتجارية			
Unknown	غير معلوم	Unknown	غير معلوم	غير محدد	Both are ok together	
						
