Grouping	التصنيف الأشمل	Cultural Period	العصر	Start Date	End Date	Sub-Period	عصر فرعي	Unnamed: 8	Unnamed: 9
PALAEOLITHIC	العصر الحجري القديم	Palaeolithic (Levant/Mesopotamia/Arabia)	العصر الحجري القديم (الشام/ بلاد الرافدين/ الجزيرة العربية)	-14000000	-18000	Palaeolithic, Lower (Levant/Arabia/Mesopotamia)	العصر الحجري القديم، سفلي (الشام/ الجزيرة العربية/ بلاد الرافدين)	-14000000	-250000
						Palaeolithic, Middle (Levant/Arabia/Mesopotamia)	العصر الحجري القديم، متوسط (الشام/ الجزيرة العربية/ بلاد الرافدين)	-250000	-45000
						Palaeolithic, Upper (Levant/Arabia/Mesopotamia)	العصر الحجري القديم، علوي (الشام/ الجزيرة العربية/ بلاد الرافدين)	-45000	-18000
		Palaeolithic (Iran)	العصر الحجري القديم (إيران)	(Unknown)	-18000	Palaeolithic, Lower (Iran)	العصر الحجري القديم، سفلي (إيران)	(Unknown)	-250000
						Palaeolithic, Middle (Iran)	العصر الحجري القديم، متوسط (إيران)	-250000	-45000
						Palaeolithic, Upper (Iran)	العصر الحجري القديم، علوي (اإيران)	-45000	-18000
		Palaeolithic (North Africa)	العصر الحجري القديم (شمال أفريقيا)	-700000	-10000	Paleolithic, Lower (North Africa)	العصر الحجري القديم، سفلي (شمال أفريقيا)	-700000	-250000
						Paleolithic, Middle (North Africa)	العصر الحجري القديم، متوسط (شمال أفريقيا)	-250000	-70000
						Paleolithic, Upper (North Africa)	العصر الحجري القديم، علوي (شمال أفريقيا)	-70000	-10000
EPIPALAEOLITHIC	العصر الحجري القديم الأوسط	Epipalaeolithic (Levant/Mesopotamia)	العصر الحجري القديم الأوسط (الشام/ بلاد الرافدين)	-18000	-10000	Epipalaeolithic, Early (Levant/Mesopotamia)	العصر الحجري القديم  الأوسط، مبكر (الشام/ بلاد الرافدين)	-18000	-12500
						Epipalaeolithic, Late (Levant/Mesopotamia)	العصر الحجري القديم  الأوسط، متأخر (الشام/ بلاد الرافدين)	-12500	-10000
		Epipalaeolithic (Arabia)	العصر الحجري القديم الأوسط (الجزيرة العربية)	-18000	-6500	Epipalaeolithic, Early (Arabia)	العصر الحجري القديم  الأوسط، مبكر (الجزيرة العربية)	-18000	-9000
						Epipalaeolithic, Late (Arabia)	العصر الحجري القديم  الأوسط، متأخر (الجزيرة العربية)	-9000	-6500
		Epipalaeolithic (Iran)	العصر الحجري القديم الأوسط (إيران)	-18000	-8500	Epipalaeolithic, Early (Iran)	العصر الحجري القديم  الأوسط، مبكر (إيران)	-18000	-12500
						Epipalaeolithic, Late (Iran)	العصر الحجري القديم  الأوسط، متأخر (إيران)	-12500	-8500
		Epipalaeolithic (North Africa)	العصر الحجري القديم الأوسط (شمال أفريقيا)	-10000	-7000	Epipalaeolithic (North Africa)	العصر الحجري القديم  الأوسط (شمال أفريقيا)	-10000	-7000
NEOLITHIC	العصر الحجري الحديث	Neolithic (Levant/Mesopotamia)	العصر الحجري الحديث (الشام/ بلاد الرافدين)	-10000	-5400	Neolithic, Early/Aceramic/Pre-Pottery (Levant/Mesopotamia)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار (الشام/ بلاد الرافدين)	-10000	-6500
						Neolithic, Early/Aceramic/Pre-Pottery  A (Levant/Mesopotamia)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار أ (الشام/ بلاد الرافدين)	-10000	-8550
						Neolithic, Early/Aceramic/Pre-Pottery  B (Levant/Mesopotamia)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار ب (الشام/ بلاد الرافدين)	-8550	-6800
						Neolithic, Early/Aceramic/Pre-Pottery  C (South Levant)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار ج (جنوب الشام)	-6800	-6500
						Neolithic, Late/Ceramic/Pottery (Levant/Mesopotamia)	العصر الحجري الحديث، متأخر/ خزف/ فخار (الشام/ بلاد الرافدين)	-6800	-5400
						Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia)	العصر الحجري الحديث، متأخر/ خزف/ فخار، مبكر (الشام/ بلاد الرافدين)	-6800	-6000
						Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia)	العصر الحجري الحديث، متأخر/ خزف/ فخار، متأخر (الشام/ بلاد الرافدين)	-6000	-5400
		Neolithic (Arabia)	العصر الحجري الحديث (الجزيرة العربية)	-6500	-3000	Neolithic, Early (Arabia)	العصر الحجري الحديث، مبكر (الجزيرة العربية)	-6500	-6000
						Neolithic, Middle (Arabia)	العصر الحجري الحديث، وسيط (الجزيرة العربية)	-6000	-4000
						Neolithic, Late (Arabia)	العصر الحجري الحديث، متأخر (الجزيرة العربية)	-4000	-3000
		Neolithic (Iran)	العصر الحجري الحديث (إيران)	-8500	-5000	Neolithic, Early/Aceramic/Pre-pottery (Central Zagros, Iran)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار (وسط زاغروس/ خوزستان، إيران)	-8500	-7000
						Neolithic, Late/Ceramic (Central Zagros/Khuzestan, Iran)	العصر الحجري الحديث، متأخر/ خزف (وسط زاغروس/ خوزستان، إيران)	-7000	-6000
						Neolithic, Early/Aceramic/Pre-pottery (Khuzestan, Iran)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار (خوزستان، إيران)	-7600	-7000
						Neolithic, Early/Aceramic/Pre-pottery (Southern Zagros, Iran)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار (جنوب زاغروس، إيران)	-7100	-6300
						Neolithic, Late/Ceramic (Southern Zagros, Iran)	العصر الحجري الحديث، متأخر/ خزف (جنوب زاغروس/ خوزستان، إيران)	-6300	-5000
						Neolithic, Early/Aceramic/Pre-pottery (Northeast Iran)	العصر الحجري الحديث، مبكر/ بدون خزف/ قبل الفخار (شمال شرق إيران)	-7000	-6200
						Neolithic, Late/Ceramic (Northern Iran)	العصر الحجري الحديث، متأخر/ خزف (شمال إيران)	-6200	-5200
						Neolithic, Late/Ceramic (Southeast Iran)	العصر الحجري الحديث، متأخر/ خزف (جنوب شرق إيران)	-5500	-5000
		Neolithic (Maghreb)	العصر الحجري الحديث (المغرب)	-7000	-1000	Neolithic, Early (Maghreb)	العصر الحجري الحديث، مبكر (المغرب)	-7000	-3000
						Neolithic, Late (Maghreb)	العصر الحجري الحديث، متأخر (المغرب)	-3000	-1000
						Neolithic, Late (Mauritania)	العصر الحجري الحديث، متأخر (موريتانيا)	-2200	-300
		Neolithic (Egypt)		-7000	-4400	Neolithic, Early (Egypt)	العصر الحجري الحديث، مبكر (مصر)	-7000	-5300
			العصر الحجري الحديث (مصر)			Neolithic, Late (Egypt)	العصر الحجري الحديث، متأخر (مصر)	-5300	-4400
CHALCOLITHIC	العصر النحاسي	Chalcolithic (Levant)	العصر النحاسي (الشام)	-5400	-3000	Chalcolithic, Early (Levant)	العصر النحاسي، مبكر (الشام)	-5400	-4500
						Chalcolithic, Late (Levant)	العصر النحاسي، متأخر (الشام)	-4500	-3600
		Chalcolithic (Mesopotamia)	العصر النحاسي (بلاد الرافدين)	-5900	-3000	Chalcolithic, Early/Ubaid (Mesopotamia)	العصر النحاسي، مبكر/ فترة العبيد (بلاد الرافدين)	-5900	-4200
						Chalcolithic, Late/Uruk (Mesopotamia)	العصر النحاسي، متأخر/ الوركاء (بلاد الرافدين)	-4200	-3000
						Chalcolithic, Late 1 (Northern Mesopotamia)	العصر النحاسي، متأخر 1 (شمال بلاد الرافدين)	-4500	-4200
						Chalcolithic, Late 2 (Northern Mesopotamia)	العصر النحاسي، متأخر 2 (شمال بلاد الرافدين)	-4200	-3800
						Chalcolithic, Late 3 (Northern Mesopotamia)	العصر النحاسي، متأخر 3 (شمال بلاد الرافدين)	-3800	-3600
						Chalcolithic, Late 4 (Northern Mesopotamia)	العصر النحاسي، متأخر 4 (شمال بلاد الرافدين)	-3600	-3300
						Chalcolithic, Late 5 (Northern Mesopotamia)	العصر النحاسي، متأخر 5 (شمال بلاد الرافدين)	-3300	-3000
		Chalcolithic (Khuzestan, Iran)	العصر النحاسي (خوزستان، إيران)	-6000	-3100	Chalcolithic, Early Susiana (Khuzestan, Iran)	العصر النحاسي، مبكر عيلام (خوزستان، إيران)	-6000	-5700
						Chalcolithic, Middle Susiana (Khuzestan, Iran)	العصر النحاسي، وسيط عيلام (خوزستان، إيران)	-5700	-4700
						Chalcolithic, Late Susiana (Khuzestan, Iran)	العصر النحاسي، متاخر عيلام (خوزستان، إيران)	-4700	-3900
						Chalcolithic, Susa I (Khuzestan, Iran)	العصر النحاسي، شوشان1 (خوزستان، إيران)	-3900	-3700
						Chalcolithic, Susa II/Uruk (Khuzestan, Iran)	العصر النحاسي، شوشان 2/ الوركاء (خوزستان، إيران)	-3700	-3100
		Chalcolithic (Central Zagros, Iran)	العصر النحاسي (وسط زاغروس، إيران)	-5500	-3000	Chalcolithic, Early (Central Zagros, Iran)	العصر النحاسي، مبكر (وسط زاغروس، إيران)	-5500	-5000
						Chalcolithic, Middle (Central Zagros, Iran)	العصر النحاسي، وسيط (وسط زاغروس، إيران)	-5000	-3800
						Chalcolithic, Late (Central Zagros, Iran)	العصر النحاسي، متأخر (وسط زاغروس، إيران)	-3800	-3000
		Chalcolithic (Northern Iran)	العصر النحاسي (شمال إيران)	-5200	-3300	Chalcolithic, Transitional (Northern Iran)	العصر النحاسي، انتقالي (شمال إيران)	-5200	-4300
						Chalcolithic, Early (Northern Iran)	العصر النحاسي، مبكر (شمال إيران)	-4300	-4000
						Chalcolithic, Middle (Northern Iran)	العصر النحاسي، وسيط (شمال إيران)	-4000	-3700
						Chalcolithic, Late (Northern Iran)	العصر النحاسي، متأخر (شمال إيران)	-3700	-3300
		Chalcolithic (Southern Iran)	العصر النحاسي (جنوب إيران)	-5000	-2900	Chalcolithic, Early-Middle Bakun/Yahya VI-VB (Southern Iran)	"العصر النحاسي، مبكر  - وسيط باكون/ يحيى ""VI-VB"" (جنوب إيران)"	-5000	-4400
						Chalcolithic, Late Bakun/Yahya VA (Southern Iran)	"العصر النحاسي، باكون متأخر/ يحيى ""VA"" (جنوب إيران)"	-4400	-4000
						Chalcolithic, Lapui/Yahya VA (Southern Iran)	"العصر النحاسي، لبوئي/ يحيى ""VA"" (جنوب إيران)"	-4000	-3500
						Chalcolithic, Early Banesh/Yahya IVC (Southern Iran)	"العصر النحاسي، بانش مبكر/ يحيى ""IVC"" (جنوب إيران)"	-3500	-3350
						Chalcolithic, Middle Banesh/Yahya IVC (Southern Iran)	"العصر النحاسي، بانش وسيط/ يحيى ""IVC"" (جنوب إيران)"	-3350	-2900
		Chalcolithic (Arabia)	العصر النحاسي (الجزيرة العربية)	-6000	-3200	Chalcolithic, Early (Arabia)	العصر النحاسي، مبكر (الجزيرة العربية)	-6000	-5000
						Chalcolithic, Middle (Arabia)	العصر النحاسي، وسيط (الجزيرة العربية)	-5000	-4000
						Chalcolithic, Late (Arabia)	العصر النحاسي، متأخر (الجزيرة العربية)	-4000	-3200
		Pre-dynastic (Egypt)	عصر ما قبل الأسرات (مصر)	-4400	-3000	Pre-dynastic, Early (Egypt)	عصر ماقبل الأسرات، مبكر (مصر)	-4400	-3500
						Pre-dynastic, Late (Egypt)	عصر ماقبل الأسرات، متأخر (مصر)	-3500	-3000
BRONZE AGE	العصر البرونزي	Bronze Age (Levant)	العصر البرونزي (الشام)	-3600	-1200	Early Bronze Age (Southern Levant)	العصر البرونزي المبكر (جنوب الشام)	-3600	-2000
						Early Bronze Age 1 (Southern Levant)	العصر البرونزي المبكر 1 (جنوب الشام)	-3600	-3000
						Early Bronze Age 2 (Southern Levant)	العصر البرونزي المبكر 2 (جنوب الشام)	-3000	-2800
						Early Bronze Age 3 (Southern Levant)	العصر البرونزي المبكر 3 (جنوب الشام)	-2800	-2500
						Early Bronze Age 4 (Southern Levant)	العصر البرونزي المبكر 4 (جنوب الشام)	-2500	-2000
						Early Bronze Age (Northern Levant)	العصر البرونزي المبكر (شمال الشام)	-3400	-2000
						Early Bronze Age, 1-3 (Northern Levant)	العصر البرونزي المبكر 1 - 3 (شمال الشام)	-3400	-2500
						Early Bronze Age, 4 (Northern Levant)	العصر البرونزي المبكر 4 (شمال الشام)	-2500	-2000
						Middle Bronze Age (Levant)	العصر البرونزي الوسيط (الشام)	-2000	-1600
						Middle Bronze Age 1 (Levant)	العصر البرونزي الوسيط 1 (الشام)	-2000	-1800
						Middle Bronze Age 2 (Levant)	العصر البرونزي الوسيط 2 (الشام)	-1800	-1600
						Late Bronze Age (Levant) 	العصر البرونزي المتأخر (الشام)	-1600	-1200
						Late Bronze Age 1 (Levant)	العصر البرونزي المتأخر 1 (الشام)	-1600	-1400
						Late Bronze Age 2 (Levant)	العصر البرونزي المتأخر 2 (الشام)	-1400	-1200
		Bronze Age (Northern Mesopotamia)	العصر البرونزي (شمال بلاد الرافدين)	-3100	-1200	Early Bronze Age (Northern Mesopotamia)	العصر البرونزي المبكر (شمال بلاد الرافدين)	-3100	-2000
						Early Bronze Age, Early (Northern Mesopotamia)	العصر البرونزي المبكر، مبكر (شمال بلاد الرافدين)	-3100	-2600
						Early Bronze Age, Late (Northern Mesopotamia)	العصر البرونزي المبكر، متأخر (شمال بلاد الرافدين)	-2600	-2000
						Middle Bronze Age/Old Assyrian (Northern Mesopotamia)	العصر البرونزي الوسيط/ آشوري قديم (شمال بلاد الرافدين)	-2000	-1600
						Middle Bronze Age 1 (Northern Mesopotamia)	العصر البرونزي الوسيط 1 (شمال بلاد الرافدين)	-2000	-1800
						Middle Bronze Age 2 (Northern Mesopotamia)	العصر البرونزي الوسيط 2 (شمال بلاد الرافدين)	-1800	-1600
						Late Bronze Age (Northern Mesopotamia) 	العصر البرونزي المتأخر (شمال بلاد الرافدين)	-1600	-1200
						Late Bronze Age 1/Mittani (Northern Mesopotamia)	العصر البرونزي المتأخر 1/ ميتاني (شمال بلاد الرافدين)	-1600	-1400
						Late Bronze Age 2/Middle Assyrian (Northern Mesopotamia)	العصر البرونزي المتأخر 2/ ميتاني (شمال بلاد الرافدين)	-1400	-1200
		Bronze Age (Southern Mesopotamia)	العصر البرونزي (جنوب بلاد الرافدين)	-3100	-900	Bronze Age, Jemdat Nasr (Southern Mesopotamia)	العصر البرونزي، جمدة نصر (جنوب بلاد الرافدين)	-3100	-2900
