Geometries	أشكال هندسية	Unnamed: 2	Unnamed: 3	Unnamed: 4	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
							
Geometric Place Expression	التعبير هندسيًا عن شكل الموقع						
Add a New Feature	أضف ظاهرة جديدة						
Add Point	أضف نقطة						
Add Line	أضف خط						
Add Polygon	أضف خط كثير الأضلاع						
							
Site Location Certainty	مدى التأكد من مكان الموقع 	Definitions	تعريف				
Negligible	ضئيل	The site/feature has no accurate spatial information associated with it. For example, it is mentioned within the literature as being within a general region, but there is no additional information or imagery to corroborate this.	لا توجد معلومات فراغية عن الموقع/الملمح. فمثلاً، قد يكون مذكوراُ في أحد المصادر على أنه موجود ضمن منطقة بشكل عام، ولكن دون معلومات تفصيلية أو صور تعزز ذلك.		ضئيل	yes better	تافه
Low	ضعيف	The site/feature is possibly identifiable on imagery or you have an approximate location (e.g. to within less than a kilometre) from sketch maps or descriptions, however, there is concern over the precision of the location due to poor imagery, rectification issues and/or limited data.	هذا الموقع/ الملمح يمكن تحديده على الصور، أو أن لديك علم بالموقع التقريبي (مثال: ضمن أقل من كيلومتر واحد) من خرائط غير دقيقة، أو وصف، إلا أنه هناك إشكالية في دقة الموقع بسبب عدم وضوح الصور، أو اشكاليات خاصة بتصحيح البيانات، أو محدودية البيانات.				
Medium	متوسط	The site/feature is identifable on imagery, although there may be some concern over its 'shifting location' in different imagery sets. This may be due to poor imagery, rectification issues and/or limited data.	"يمكن تحديد الموقع/ الملمح على الصور، إلا أن هناك إشكالية خاصة ب""اختلاف الموقع"" بين الصور المختلفة للموقع. قد يكون ذلك بسبب عدم وضوح الصور، أو اشكاليات خاصة بتصحيح البيانات، أو محدودية البيانات."				
High	عالي	The site/feature can be clearly identified from imagery (preferably multiple images). There is no concern over its 'shifting location' and its location may or may not be corrorobated by placename or cartographic data. 	"يمكن تحديد الموقع/ الملمح على الصوربشكل واضح (يفضل عدة صور). ولا توجد إشكالية بخصوص ""اختلاف الموقع""، وقد يكون موقعه تم تعزيزه أو لم يتم تعزيزه بواسطة أسماء الأماكن والبيات المساحية."		عال	As mentioned before, it is better, but will not be understod by low-medium users. 	
Definite	مؤكد	The site/feature has been identified in the field, either through primary fieldwork and/or published data and can be clearly seen and identified on the imagery OR exact co-ordinates have been provided/published (and you have no reason to doubt their accuracy), even if the site cannot be seen on the imagery	تم تحديد الموقع/الملمح في الموقع، إما من خلال العمل في الموقع و/أو بيانات منشورة ويمكن بسهولة تحديدها على الصور، أو الإحداثيات المحددة تم الحصول عليها، أو أنها منشورة (ولا يوجد سبب في الشك في دقتها)، حتى وإن لم يكن من الممكن رؤية الموقع على الصور.				
							
							
							
