Cartography	الخرائط	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK Comments	Old Term replaced by AB or MK
						
Map Source Type	نوع مصدر الخريطة	The institution/place from which the map was sourced				
Aerial Photographic Archive for Archaeology in the Middle East (APAAME)	أرشيف الصور الجوية للآثار في الشرق الأوسط (APAAME)					
American Center of Oriental Research (ACOR)	المركز الأميركي لبحوث الاستشراق (ACOR)					
Bodleian Library	المكتبة البوديلية - أوكسفورد					
British Institute, Amman (BIA)	المعهد البريطاني، عمان (BIA)					
Directorate-General of Antiquities and Museums (DGAM)						
Fragile Crescent Project, Durham University (FCP)	Fragile Crescent Project, Durham University (FCP)					
Monuments of Syria	Monuments of Syria					
UNOSAT						
Unesco						
University of Texas Libraries	مكتبات جامعة تكساس					
Unknown	لا يمكن تحديد			لا يمكن تحديد	ok	مجهول
						
Creator Appellation	اسم الناشر	The creator/publisher of the map, can be more than one				
						
Series Type	نوع السلسلة	The name of the series				
Levant	Levant					
Southern Levant	Southern Levant					
K501	K501					
K737	K737					
Not Applicable	لا يمكن تحديد			لا يمكن تحديد	ok 	غير قابل للتطبيق
Unknown	غير محدد			غير محدد	ok 	مجهول
						
Place of Publication	مكان النشر	City/Country of publication				
						
Projection Type	نوع الاسقاط الخرائطي					
						
Projection/Grid	نظام الترقيم	Projection/Grid System Used				
Not Applicable	لا يمكن تحديد			لا يمكن تحديد	ok	غير قابل للتطبيق
Unknown	غير محدد			غير محدد	ok	مجهول
WGS84	WGS84					
Palestine Grid	Palestine Grid					
						
Scale Type	نوع مقاس الرسم	Definitions	التعريف			
Unknown/No Scale	غير محدد/بدون مقياس رسم	The image has a fixed scale but it is unknown or unlisted				
Not to Scale	لا تتفق مع أي قياس رسم	The image is not produced or drawn to a fixed scale				
Other/Non-Standard	آخر/غير معياري	The scale is not listed here				
1:10	1:10					
1:12	1:12	1 inch: 1 foot				
1:20	1:20					
1:25	1:25					
1:50	1:50					
1:100	1:100					
1:120	1:120	1 inch: 10 feet				
1:200	1:200					
1:250	1:250					
1:500	1:500					
1:1,000	1:1,000					
1:1,200	1:1,200	1 inch: 100 feet				
1:2,000	1:2,000					
1:2,400	1:2,400	1 inch: 200 feet				
1:2,500	1:2,500					
1:4,000	1:4,000					
1:4,800	1:4,800	1 inch: 400 feet				
1:5,000	1:5,000					
1:6,000	1:6,000	1 inch: 500 feet				
1:9,000	1:9,000	1 inch: 750 feet				
1:9,600	1:9,600	1 inch: 800 feet				
1:10,000	1:10,000					
1:12,000	1:12,000	1 inch: 1000 feet				
1:15,840	1:15,840	1 inch: 0.25 miles				
1:20,000	1:20,000					
1:24,000	1:24,000	1 inch: 2000 feet				
1:25,000	1:25,000					
1:31,680	1:31,680	1 inch: 0.5 miles				
1:50,000	1:50,000					
1:62,500	1:62,500					
1:63,360	1:63,360	1 inch: 1 mile				
1:80,000	1:80,000					
1:100,000	1:100,000					
1:125,000	1:125,000					
1:126,720	1:126,720	1 inch: 2 miles				
1:250,000	1:250,000					
1:316,800	1:316,800	1 inch: 5 miles				
1:500,000	1:500,000					
1:633,600	1:633,600	1 inch: 10 miles				
1:1,000,000	1:1,000,000					
1:1,267,200	1:1,267,200	1 inch: 20 miles				
1:2,000,000	1:2,000,000					
1:2,500,000	1:2,500,000					
1:3,168,000	1:3,168,000	1 inch: 50 miles				
1:5,000,000	1:5,000,000					
1:6,336,000	1:6,336,000	1 inch: 100 miles				
1:10,000,000	1:10,000,000					
1:20,000,000	1:20,000,000					
1:25,000,000	1:25,000,000					
1:50,000,000	1:50,000,000					
						
Tile Square Details	تفاصيل المربع					
						
Sheet Number	رقم اللوحة					
						
Tile Square Appellation	اسم المربع					
						
Sheet Name	رقم اللوحة					
						
Edition	الإصدار - الطبعة					
						
Date of Creation	تاريخ الإنشاء					
