Resource Summary	ملخص المورد	Unnamed: 2	Unnamed: 3	Ahmed Buzaian suggested translation	MK Comments	Old Term replaced by AB or MK
						
Resource Name(s)	اسم (أسماء) المورد					
						
Name Type	نوع الاسم	Definitions	تعريف			
Alternative Reference	مصادر ومراجع بديلة	Used to indicate a reference number/site id given to a site in a published or unpublished gazetteer or survey database.  The source of the reference must also be listed as an Information Resource and linked to the record.		إشارة أو مرجع بديل	مصادر ومراجع بديلة	مصادر مختلفة أخرى
Designation	اسم دليلي/عالمي	Where a site is designated in an official list or register (e.g. UNESCO World Heritage Site), the name/reference under which it is registered should be listed. World Heritage Sites should be entered using the format “World Heritage List” plus the list number, e.g. World Heritage List 287. If the site name listed on the World Heritage List differs from the usual toponyms, list it as a separate entry, also with the Designation Type, e.g. “Rock-Art Sites of Tadrart Acacus”. The type of designation must be listed under the resource's 'Designation' field				
Toponym	اسم المكان	All known names, historical and modern, and in any language should be listed, including alternative spellings, if applicable.		اسم المكان	Yes, better	اسم علم/اسم مكان
						
Heritage Place Type	نوع الموقع التراثي	Definitions	تعريف			
Archaeological Site	الموقع الأثري	A place or area of archaeological/heritage significance where human activity is represented by material culture. This is the 'default' category to which records should be assigned if you are unsure about its classification.				
Archaeological Feature/Component	الظاهرة/المكون	A place, area, or feature of archaeological/heritage significance which comprises part of a larger place/area/feature of significance, such as a Landscape or Archaeological Site. Records given this classification should always be related to a 'parent' record.				
Landscape/Seascape	لاندسكيب	An area which contains one or more places, areas, and/or features of shared or similar archaeological/heritage significance, but which may be physically separated and spread over a large area				
Urban Heritage	موقع تراثي حضري	A place, area, or feature of archaeological/heritage significance which is located within a contemporary urban area, and which is often (but not necessarily) still in current use				
Structural Heritage	مبنى تراثي	"A building or other construction of archaeological/heritage significance, which is still, at least partially, standing. This term should be used only when the entire record is documenting this type of heritage, not for cases where structures just happen to present as part of a larger or more complex site. E.g. an ancient city may have many individual buildings which can be recorded as ""Structural Heritage"" if given individual records, but the city itself is made of many different types of features, and should be recorded overall as an ""Archaeological Site""."				
						
Designation Type	نوع الإسناد	Definitions	تعريف			
Managed Site	موقع تتم إدارته	Under governmental/state management, not further specified.				
