parent_uuid	parent_concept	uuid	concept
		efad6dd3-b912-43d2-a5d7-88800a7a02de	8600 BC
		523f78a2-272d-4341-9235-674e67051906	Colonnaded Street
		4623c45c-448a-48d3-ae31-307636f080f2	4150 BC
		050a4c3c-5d2b-4bb3-8660-9474c6b7a0b9	Theodolite/Dumpy Level
		8c7b67e1-3fd1-49bf-a428-98eac7fbbeaf	Landscaping
		1d95e7be-bf5b-4c65-8d61-5d6b826f78c6	Lacustrine
		e02391aa-a3e8-4959-8939-6f34ea385828	Disturbance Cause Certainty Type
		c3c92878-b409-4b94-b4ce-bee89da2029e	Low
		bdd3ac8b-05c0-4819-b7f6-20d1f2262024	Medium
		36a4b930-82e2-48fd-a0c0-7e7e2caa4d6c	High
		0ab58f9d-4057-4259-b62f-45c25370598b	Not Applicable
		42b9542f-4678-457d-98f9-8235383bce1c	Definite
		d7fed410-5642-442e-aa73-5ca725f9a45b	Negligible
		bc5ace44-8e06-4fcc-b638-35cf3f255a70	Lighthouse
		419c2b8a-54e4-4a9e-a552-ba9c98474583	Civil Unrest
		5c5eebdf-1665-470d-b3b6-ea7e65d68327	Dredging
		9a87436a-4305-485f-9dfd-0a68613ad709	Designation/Registration
		567f3161-fc73-4889-b7c0-ecae41b20705	Education/Athletics Building
		1d13f97f-724c-4341-8bd4-bfe307670f93	Valley Bed
		ed366efb-4136-4f6d-9ea8-eba2e02b455e	3650 BC
		b9a7030f-55f8-4133-8d3d-d30cfd8971b9	Site Overall Interpretation Type
		8f3b2c74-04f5-4061-acc0-293c8d916e5c	Pendant
		6c794795-79ad-48cf-8edb-fb48af7725c9	Amphitheatre
		628cda7c-479b-4104-9d87-c3eed9d8879f	Burnt Area
		bd3611b4-e5a5-4e57-8a4b-d401978297c1	Ship/Wreck
		47e4c877-b463-4350-b23d-681d6e81bf1f	Church/Chapel
		f44a0b55-895c-4aae-9334-e662efcc3794	Grove/Garden/Orchard
		48699044-9be2-4300-9088-116519c1a4d8	Canal
		ba6a377a-cabe-49ff-9b6a-2fc0a9e4ea7b	Waymarker
		26abafb6-3b06-42ba-80e7-cd985692a62b	Gateway/Arch/Intersection 
		e3568227-d5ac-44d1-afb2-2da97b1b2367	Railway Station Stop
		eb8ab0e2-ef1c-412d-8dc4-f98d320d502d	Qanat/Foggara
		89929e39-c23d-45c3-89d1-e660f063b262	Sarcophagus/Coffin
		0d9d1320-f145-4b78-b744-569087d0dd79	Production/Processing (Metal)
		988bb962-d21b-40f3-85e4-924118cad5c6	Ramparts/Fortification/Defensive Earthwork
		a5def8e3-5854-411d-86ba-73932f1c40b7	Bunker
		a3574103-9dca-45d8-95f0-8675396975f2	Mill (water)
		f4db6da0-72d1-4389-acb7-0140178f93d4	Channel
		40e42f4a-9b7c-438b-bd50-5ba1b5d8d4a1	Storage Facility
		95e901e2-b716-4fe7-b6e6-9bcc569197f4	Large Circle
		cd9eceae-52d8-4e5d-a7fd-81c6fadad2c1	Water wheel
		aabf6287-f09e-49a1-9a44-615360ab4fbc	Midden/Waste Deposit
		a3276bc6-f80f-4cb8-ac61-1d9b24db080a	Enclosure
		dd48ea6a-b329-4a51-8c2d-00fdf9c8e7be	Settlement/Habitation Site
		109672a2-7c2f-4e81-9291-f0982432e302	Hearth/Oven
		c2e23193-5d54-454d-9d95-5e6659cc43ce	Farm/Farm Building
		0e3cf703-5313-430f-b7cd-19ee184c11a1	Tomb/Grave/Burial
		ee63e5b2-be91-4a72-a8b9-136143f458e4	Megalithic Feature
		0a1d11f2-58a0-4c32-bf0a-5e5131ffebf3	Temple/Sanctuary
		45405966-9cd4-49ca-a17c-e72bf520616b	Inscription/Rock Art/Relief
		4c067a1c-12a4-4402-97af-4adab3475a5c	Production/Processing (Animal/'Kill site')
		d3077dc0-7bba-4930-bdc1-eb777844f8df	Dolmen
		e82622e4-8c96-473b-ae06-a88ab1ad2438	Synagogue
		acf23194-9176-4b41-996f-9af7e187c938	Kiln/Forge/Furnace
		00aa50bf-5667-4ecd-ae09-fa90219082c5	Palace/High Status Complex
		024918c5-dafc-41b9-8d33-ad34cc8d229e	Barrage/Dam
		e4f54572-0ba1-4509-ae11-5dc0152d441f	Port/Harbour
		28545b87-bc62-482f-a5a1-1ad3d8a4b2ff	Production/Processing (Unclassified)
		cd7896a2-fd68-40d4-a4b4-6b77fdacbdc3	House
		5283f9b6-6d06-492a-b0e4-c98de2d4cbde	Circus/Hippodrome
		6a4efdd8-3ea4-462f-9029-ad466c30b83b	Altar
		58e468de-c504-4c99-9833-5784b148402d	Camp (temporary)
		dca51433-085f-4dcb-a459-c1e575b15a18	Monastic Complex
		b38dab50-dc37-4df0-9f0b-82a62a62f510	Market
		bd769bf3-6d45-47c9-b041-9d7db2643428	Caravanserai/Khan
		49441a24-fa09-4501-b4c2-90baa888889d	Mill/Quern/Grindstone Element
		f473b494-78b6-4e64-9d4c-676517205de6	Column/Obelisk
		8ecc426d-c354-457f-b1d0-bc5abb0b007d	Kite
		082d9469-ef0a-4ba5-bc3f-6711bf30008c	Fort/Fortress/Castle
		4db7da14-e905-4090-8c3f-62c53b9ed462	Basin/Tank
		321dc790-6d80-49bf-a384-30e4fbba8a17	Hunting Hide/Trap
		663b1801-07a1-4f28-b58e-66e8427ef301	Cistern
		f3234120-3d03-4bd2-aba4-25a8ff70d10d	Bridge
		36a0c627-d694-47a4-aacd-fef5da284519	Production/Processing (Salt)
		2f2dc479-4d35-4cdb-8ba3-846894fa939c	Sub-surface Material
		71882f6d-2f13-4273-b700-93057d16cb86	Mosque/Imam/Marabout
		d6ec6365-5e76-4650-94e0-eee22d52b584	Mine/Quarry/Extraction
		ba14e497-4198-49d0-83ad-5caf6592e613	Threshing Floor
		8ae9c887-f752-4fe6-b0b8-675ed070824b	Building/Enclosure
		4e1f7794-cda9-4469-b0de-533c6845d2fc	Bath-house
		75781fa6-f3ac-4c9d-9168-9f2b7128aa19	Gathering Area
		2eedd22e-0cda-412b-9d57-8dfbcc8ab460	Railway
		f48447dd-1764-4ba8-834d-1cd88db4fa6b	Sculpture/Statue
		0ac87275-3b42-48a5-80f8-a022c31be077	Mosque/Madrasa Complex
		ddea4149-00a0-4979-a422-1c6060036cb6	Latrine/Toilet
		f1146abf-6e42-4804-8d6f-878489ee5ce7	Tell
		83e8f227-d672-4adf-932d-94406f421911	Significant Building
		bc1ccb4e-2071-498c-bd8e-176164207528	Clearance Pile
		4d1d998d-bf9f-4c87-88f4-219aaa0d3950	Press Element
		7d36e25f-d544-48ad-84e9-d74907a612c7	Barrack
		971bcfe8-f6c4-4e8d-b376-5e5ce77cd727	Basilica (Roman)
		16f6434c-e3f7-4473-be97-e7b7381af79c	Production/Processing (Knapping Floor/Stone Processing)
		e6aad88c-64e6-4184-a772-7898a17e0e28	Crossbar Arrangement (Gate)
		6edd401a-6fd8-4e6f-9040-03a0188acebd	Managed Site
		555e6881-6bbf-497e-8254-8fc1d79c3720	Reservoir/Birka
		9579ecc8-cb04-4021-95b3-0f72c4538642	Building
		e4884bb9-29b4-44fe-9c68-6f46d3cea74c	Aqueduct
		cbec8497-1757-41d1-b74f-1991b743869b	Wheel/Jellyfish
		ad68eed9-9c28-40c7-bfd9-378e8aaf8808	Emplacement/Foxhole
		058e571b-c8f3-4029-b33b-3844aa258453	Unknown
		67cd25cf-469f-450f-940e-cdbc7e0ee19e	Education/Athletics Building
		8b338cbf-5f0a-4fc7-9ae7-4db31fc28f14	Wadi Wall
		7a189648-ee2e-42f2-b288-63920ebaec79	Watchtower/Observation Post
		c88b0060-ee2b-461a-bcdd-5d5a82a39733	Mill (wind)
		c22ac3cf-6eb1-468b-9d13-3f627030a33c	Flooring/Mosaic/Paving
		dc94d4fc-76f5-4730-9173-20424415a1ce	Road/Track
		ec76ab51-bab8-4824-b03a-044a969d9887	Well
		73f544eb-412f-42a7-a165-2e096df743f9	Theatre/Odeon
		a3929b97-4e7f-452b-8b70-a99529d22b37	Production/Processing (Pottery)
		1648caf4-3a77-4f2e-a40c-e32f1785202a	Field System
		68feeff4-3ebb-47fe-86c8-24ec46210001	Standing Stone
		3b478743-6651-40b3-b9ae-4c7a1e4e0d93	Production/Processing (Glass)
		098a8316-7aae-4488-bc79-6f9afe4b3717	Production/Processing (Agricultural)
		03f26f61-0289-4fa2-8ade-6b01c72edb47	Boundary/Barrier
		fc327941-ac76-4244-9823-74e82a6a06e2	Fountain
		f6e73bfe-c5a0-49ef-ad79-c29d271b7191	Corner
		62b96260-e6a5-4ec0-8c7d-7fd24fdf1689	Late Bronze Age 2 (Levant)
		a1fc0523-c800-4211-af53-ad57ae4eef9a	Epipalaeolithic, Late (Arabia)
		b02d607f-493e-4a2d-9970-3bb47521cacd	Natural
		44999ffc-4a68-434f-b006-0fbbc0192a5a	Property Boundary
		baac589e-01a6-4abc-9f42-919365839366	Predynastic (Egypt)
		64f1a461-9de0-4305-9f9f-267f4a7b36a6	Predynastic, Early (Egypt)
		75cc3817-9908-4312-8a45-6a86c8f099e5	Predynastic, Late (Egypt)
		8483c409-3321-4ca6-bbe7-97634fccf864	Cave/sinkhole
		ad016107-9530-4291-8f48-f7de454352e5	Aeolian
		553d0f13-1007-463a-9ced-46785cc6c3c9	Satellite Imagery
		19a03fb3-7801-450c-ada5-235298afc23a	Panchromatic
		e30210d4-289e-45cf-b273-9f684d9a3090	Multispectral - 8-Band
		44ca556e-f3cc-45cc-9d97-926c7a34d724	RGB + Near Infrared
		02aafa82-b454-4a19-b55f-c7bee9512544	Multispectral
		1c3732c4-2f6e-48b3-94b3-eeff73a6f059	RGB + Pan-sharpened
		a9ed1eff-8e59-4a09-9a99-0d13ae2356c4	Reconstructed
		3aba888b-b1b8-4bc3-9b80-8337d71bc56b	Chalcolithic (Northern Iran)
		2f4bcf9f-ae39-4965-a71c-654374a1fb15	30 BC
		b4a75155-0112-475e-8f4b-5f07aa1ba86e	Contemporary Islamic
		cc1a3549-e711-42c2-abd5-f48283c3952d	Contemporary Islamic (MENA)
		aeb9b265-8bc0-4d55-96ef-cad2452ff80e	Structural Alteration
		1324c992-ab76-4694-87c4-15dd7c7ef8c8	5600 BC
		a9bf99c9-05ad-4cf9-86d1-9b3b73259849	AD 670
		8b9a2111-a421-4be7-a0ad-508d949094e6	Manuel Fiol
		13e840ea-3697-4813-a7ea-a8ede8437bfe	Mill (water)
		efcba07c-b0ac-4dcc-a2c7-189c59c86b01	3200 BC
		24cd5081-f8d8-42e6-be95-4fa1099e236a	9550 BC
		eb99aa5e-e5ec-4370-a2c6-c694c872bfcd	Feature Evidence Interpretation Type
		39fc48d2-ebf8-4a56-93a5-3b905ec717a7	Bath-house
		d8097c98-69c7-4238-9e43-277066ad1dce	Latrine/Toilet
		7fb60ec3-ad52-487d-ba54-b2775ac32c8c	Aircraft
		0accf57b-fe89-4813-a946-95eba866d6e9	Aqueduct
		af46d10f-ba21-43d4-abcb-53bd21628a20	Megalithic Feature
		800df6e3-7096-4fc5-aefd-47cd0c39f56c	Tomb/Grave/Burial
		3fb24db5-3c48-445d-8907-9a447a124d94	Column/Obelisk
		d5c390df-a2fb-46f2-b42b-29adce322876	Threshing Floor
		e07931fa-0303-4c23-ab77-749e9b9def7d	Synagogue
		1eb88f8c-8fd4-4d7a-a9d4-c112c1fd3dc3	Kiln/Forge/Furnace
		b94bd343-1eaf-42a8-a305-f9b4c01c3e9e	Port/Harbour
		197f2fdf-6fe6-4364-bfbc-09c7c92365de	Slipway
		a8bba68d-4ffd-4365-b287-0d2d41ec150b	Channel
		9e0df1b5-78ce-4425-a267-8f9016a931b3	Monastic Complex
		93f587b2-a760-4f07-9430-c1ec74d0ece3	Production/Processing (Salt)
		313dc0d5-d26c-4a18-8b04-f2d35037ede6	Amphitheatre
		2e12454d-f725-476c-bf18-8685e4ad11b2	Quay/Wharf
		4cdc12aa-6ff1-4901-abd9-52ac6ffe538b	Building/Enclosure
		aca2d54d-a6d5-44e5-b39a-fa382f7e6e74	Building
		e467fb30-be56-4b11-856d-564f26bafff9	Animal Pen
		e7218c8a-93d0-463e-9c3a-3f028c217515	Emplacement/Foxhole
		a45b8f45-6507-43b1-ba5c-1c06e0735d9f	Cemetery
		e1e28abe-17fb-4f05-a614-1ab765686a4b	Market/Commercial Unit
		976fdd9d-1713-4498-a3df-3a26125e7103	Church/Chapel
		873a2f8b-5b3b-47fa-a52b-4056966c2258	Maritime Transport Container
		c8a6f45d-0248-40c8-a036-16b711a10dd0	Theatre/Odeon
		370959fb-7ab7-460d-8d14-9efd65e4896e	Farm Building
		ffb07ab8-4753-4278-9363-fb9f6b42698c	Production/Processing (Pottery)
		2cd2b75c-6ee7-47d1-82b9-361d797afd4d	Production/Processing (Metal)
		3b392f8e-13b3-4a60-aa50-814ddeeec10a	Bridge
		0bba7190-06d1-4031-809b-e6d50d95e337	Production/Processing (Glass)
		0d2eae49-271b-42fd-bae9-5527958ed518	Cistern
		7bc93db7-4281-414e-b30f-2f9957214234	Significant Building
		2c60a7af-3c6b-4049-99a6-489e6221539e	Storage Facility
		c09e9013-52a4-4ed8-94e4-d6db92493dcd	Wheel/Jellyfish
		cbd0832f-f72e-4410-9eb2-8cf06334b02e	Basilica (Roman)
		f92bb44f-50d8-4e2e-82d4-66e82fcb06b1	Mosque/Madrasa Complex
		6c99688b-3003-46ab-b2f2-48e7431c3ecf	Railway
		31ad7dc1-f8a5-4b06-a112-ebe6bbbaa076	Water wheel
		221b60ed-cd22-431f-b471-6ba2a7de4256	Gateway/Arch/Intersection
		900888d2-7644-4250-b302-a9a48b17a517	Ringed Tomb
		c0efdea5-61a7-41d3-849e-47dcb675faaa	Waymarker
		b5cb7d7c-9564-4e73-b08f-ff8d697483ab	Kite
		ccf2bdb2-db32-4601-902e-7c8a9c4496a5	Unknown
		3d46ed19-2875-4588-8fd9-0debf2b9a97b	Water Control Mechanism/Feature
		4a69994d-0f42-4c9c-a7a4-4e3c536f421e	House/Dwelling
		5f15d6a7-2795-44d9-98a3-e94cc40ebe82	Palace/High Status Complex
		7235c980-6999-4178-9c7d-dad45fe8e164	Grove/Garden/Orchard
		ab7b5917-9c4d-4e22-99d6-6fe909719d8d	Hunting Hide/Trap
		0ccccecc-96cd-4fe1-a01b-c2e0cf20755b	Flooring/Mosaic/Paving
		dc03869d-688b-4ce7-a9ad-f4d2c4d67aa1	Large Circle
		9bfe1396-fcf0-44d3-8c52-1b68109d28d7	Funerary Complex
		2e4ac775-f36e-428e-b9b2-8cbcd350114b	Sarcophagus/Coffin
		23d5dd0b-e7f8-43cd-89ed-4e3dea753a3c	Settlement/Habitation Site
		00114fa5-03e0-473a-b79f-78fc8e80edd5	Hearth/Oven
		53b3f5f1-60c1-4972-a4a2-4c5ada589bdb	Bunker
		37b77443-635d-4691-8029-83bc5090cf61	Government/Administrative Building
		da355018-8d3b-4ab2-97a9-ae025f5ebaf2	Caravanserai/Khan
		731301a0-9496-4ea7-a974-d7877de1fb33	Railway Station Stop
		e7c86b74-048d-4818-84e3-939d295486f0	Hostelry
		6cdc8062-d9b2-4a89-bf13-e80eb9e6861e	Sub-surface Material
		b0b1f8a6-c9de-496c-a678-ed9dfdfe689e	Trilith (South Arabian)
		0d4bcf17-cb1b-4524-8c28-edc758168f59	Camp (temporary)
		ff95a3d8-c6ba-478d-8040-5641fd3a952a	Mill/Quern/Grindstone Element
		39949c72-4303-4f05-9076-84028bc78b55	Dolmen
		957589d8-b6db-4602-9f98-637d2c9265dc	Well
		570558c2-80ab-4706-b8e5-f72d22727e89	Ship/Wreck
		7b705580-c8df-48ef-8eba-fe6678a4d786	Barrage/Dam
		7a01d40f-e637-4459-9b56-b5a2949ebadc	Mine/Quarry/Extraction
		d279330e-6edf-49bd-93b2-d2221ce66da8	Production/Processing (Unclassified)
		b50300d9-eb02-4dd0-b244-69e276c85611	Natural Harbour
		453636ad-1580-4c69-ad9f-de8fa92acf9a	Anchor
		68ed0302-64b3-433c-a284-2dd444f2eabf	Ramparts/Fortification/Defensive Earthwork
		00737676-9382-4529-abaa-e89e519f51f4	Wadi Wall
		bd683b8e-f0af-499f-95ea-5615bf236333	Qanat/Foggara
		16c5b3fb-40ed-4e24-b819-79713de60da5	School/University
		213ae5c1-10f4-447c-aa23-9bef51925dd9	Barrack
		2818b114-25a8-4903-87dd-6c40a8798d06	Enclosure
		052ce672-7132-45bf-a870-02c97cb8c9bc	Ballast
		786b6223-d3f1-4d31-8569-9f589e2288c0	Minaret
		86130c57-ae9c-44a0-86c7-179ae81da38a	Pier/Jetty/Breakwater/Mole
		cd12b45a-3e3d-407c-adfb-fc10ca3aa121	Shipyard/Boat construction
		961687a7-2ea9-4906-9d5d-aa100d3461e1	Mill (wind)
		30eab99b-4879-4a1b-aeb1-117609a794f6	Pontoon/Mooring
		f82d2300-cbea-4938-bc66-b9b77882e794	Mosque/Imam/Marabout
		0baebf5d-a2c8-4fd4-96fb-fc31b00c0e2e	Tent Base/Footing
		3f6fc20d-c2a8-4291-b536-046a034e0be9	Fort/Fortress/Castle
