level3	uuid
Information Resource Type	0800e7a9-5250-11ea-a3f7-02e7594ce0a0
Information Carrier	09b9c67f-5250-11ea-a3f7-02e7594ce0a0
Information Carrier Format Type	09b9c682-5250-11ea-a3f7-02e7594ce0a0
Related Site	11da5279-80a5-11ea-a6a6-02e7594ce0a0
Relationship from Date	11da527d-80a5-11ea-a6a6-02e7594ce0a0
Relationship Comments	11da527e-80a5-11ea-a6a6-02e7594ce0a0
Relationship to Date	11da527f-80a5-11ea-a6a6-02e7594ce0a0
Place of publication	14e4ffc3-5251-11ea-a3f7-02e7594ce0a0
Biblio Place Appellation	14e4ffc6-5251-11ea-a3f7-02e7594ce0a0
Creator Appellation 	22877ce5-52f2-11ea-a3f7-02e7594ce0a0
Figure	33721083-5252-11ea-a3f7-02e7594ce0a0
Catalogue ID	341f9905-5253-11ea-a3f7-02e7594ce0a0
Shared Data Source Creator Appellation	349cac15-52f8-11ea-a3f7-02e7594ce0a0
Information Resource	35b99cb6-379a-11ea-9989-06f597a7d5ce
Pages	363f4abf-5252-11ea-a3f7-02e7594ce0a0
Publisher 	39bf3871-5252-11ea-a3f7-02e7594ce0a0
Publisher Appellation	39bf3874-5252-11ea-a3f7-02e7594ce0a0
Title	3d0dfc7f-5251-11ea-a3f7-02e7594ce0a0
Acquisition Assignment 	3d7ddeb7-5253-11ea-a3f7-02e7594ce0a0
Imagery Sensor Type	3d7ddeba-5253-11ea-a3f7-02e7594ce0a0
Imagery Platform Type	3d7ddebb-5253-11ea-a3f7-02e7594ce0a0
Imagery Camera Sensor Resolution Type	3d7ddebc-5253-11ea-a3f7-02e7594ce0a0
Imagery Camera Sensor Type	3d7ddebd-5253-11ea-a3f7-02e7594ce0a0
Imagery Bands Type	3d7ddec2-5253-11ea-a3f7-02e7594ce0a0
Time-span Resource Creation Event	3de4f413-52f7-11ea-a3f7-02e7594ce0a0
Date of Creation	3de4f416-52f7-11ea-a3f7-02e7594ce0a0
Time-span Resource Acquisition Event	4077fafd-5253-11ea-a3f7-02e7594ce0a0
Date of Acquisition	4077fb00-5253-11ea-a3f7-02e7594ce0a0
Right Description	47ecc2cd-5253-11ea-a3f7-02e7594ce0a0
Right Type	47ecc2d0-5253-11ea-a3f7-02e7594ce0a0
Bibliography	49c2fb32-5250-11ea-a3f7-02e7594ce0a0
INFORMATION ID	4c403a80-8a3d-11ea-a6a6-02e7594ce0a0
Date of Publication	4eaf16fd-5251-11ea-a3f7-02e7594ce0a0
Time-span Publication Event	4eaf1700-5251-11ea-a3f7-02e7594ce0a0
Source	4f95a75d-52f1-11ea-a3f7-02e7594ce0a0
Source Appellation	4f95a760-52f1-11ea-a3f7-02e7594ce0a0
Resource Type	54c62e2e-524f-11ea-a3f7-02e7594ce0a0
Geometric Place Expression	587447d2-b0c2-11ea-9b1f-02e7594ce0a0
Location	587447d5-b0c2-11ea-9b1f-02e7594ce0a0
Grid ID	587447dd-b0c2-11ea-9b1f-02e7594ce0a0
Address	587447df-b0c2-11ea-9b1f-02e7594ce0a0
Country Type	587447e2-b0c2-11ea-9b1f-02e7594ce0a0
Modern Country Territory	587447e7-b0c2-11ea-9b1f-02e7594ce0a0
Shared Data	641b3858-52f7-11ea-a3f7-02e7594ce0a0
Volume	6a5d14c7-5251-11ea-a3f7-02e7594ce0a0
Author	6c0d426a-c5aa-11ea-9026-02e7594ce0a0
URL	7f41dcde-518c-11ea-a3f7-02e7594ce0a0
Cartography	8439ef28-52f5-11ea-a3f7-02e7594ce0a0
Imagery Sampled Resolution Type	8ab38e85-52f2-11ea-a3f7-02e7594ce0a0
Processing Type	8e38fc39-52f2-11ea-a3f7-02e7594ce0a0
Imagery	90181f02-5252-11ea-a3f7-02e7594ce0a0
Issues	99e55b37-5251-11ea-a3f7-02e7594ce0a0
Restricted Access Record Designation	9fb54d2d-c6a6-11ea-a292-02e7594ce0a0
Editor	a5994993-5251-11ea-a3f7-02e7594ce0a0
Related Detailed Condition Assessment	aa018e31-8098-11ea-a6a6-02e7594ce0a0
Resource Relationships	aa018e34-8098-11ea-a6a6-02e7594ce0a0
Relationship Comments	aa018e42-8098-11ea-a6a6-02e7594ce0a0
Source	aa8a789b-5251-11ea-a3f7-02e7594ce0a0
Source Appellation	aa8a789e-5251-11ea-a3f7-02e7594ce0a0
Description	b528b064-5189-11ea-a3f7-02e7594ce0a0
Time-span Mapping Publication Event	bf22c079-52f1-11ea-a3f7-02e7594ce0a0
Date of File	bf22c07c-52f1-11ea-a3f7-02e7594ce0a0
File Upload	c712066a-8094-11ea-a6a6-02e7594ce0a0
URL Access Date	d25a68cc-5228-11ea-a3f7-02e7594ce0a0
Tile Square Appellation	d2c1d525-52f6-11ea-a3f7-02e7594ce0a0
Tile Sqaure Details	d4afc9d7-52f6-11ea-a3f7-02e7594ce0a0
Projection Type	d7b3f06d-52f6-11ea-a3f7-02e7594ce0a0
Series Type	e48c6f2d-52f5-11ea-a3f7-02e7594ce0a0
Scale Type	e7884aa3-52f5-11ea-a3f7-02e7594ce0a0
Editor Appellation	eaad4114-c5ab-11ea-9026-02e7594ce0a0
Edition	edecaffb-52f5-11ea-a3f7-02e7594ce0a0
Shared Data Source Sharer	f2322125-52f7-11ea-a3f7-02e7594ce0a0
Shared Data Source Affiliation	f2322128-52f7-11ea-a3f7-02e7594ce0a0
Shared Data Source Appellation	f2322129-52f7-11ea-a3f7-02e7594ce0a0
Creator Appellation 	f3124fb3-52f5-11ea-a3f7-02e7594ce0a0
