db.concept.name	db.concept.uuid
Address	34cfea6d-c2c0-11ea-9026-02e7594ce0a0
Address Type	34cfea8f-c2c0-11ea-9026-02e7594ce0a0
Administrative Division 	34cfea78-c2c0-11ea-9026-02e7594ce0a0
Administrative Division Type	34cfea87-c2c0-11ea-9026-02e7594ce0a0
AH Date From	41afc438-c5fb-11ea-9026-02e7594ce0a0
AH Date To	5435f2ee-c5fb-11ea-9026-02e7594ce0a0
Alternative Temporal Reference Systems	651d5cc6-c5df-11ea-9026-02e7594ce0a0
Archaeological Assessment 	34cfe9b3-c2c0-11ea-9026-02e7594ce0a0
Archaeological Certainty Observation	34cfe9a4-c2c0-11ea-9026-02e7594ce0a0
Archaeological From Date	34cfea83-c2c0-11ea-9026-02e7594ce0a0
Archaeological Timespace	34cfe9cb-c2c0-11ea-9026-02e7594ce0a0
Archaeological To Date	34cfea6c-c2c0-11ea-9026-02e7594ce0a0
Assessment Activity	34cfea5b-c2c0-11ea-9026-02e7594ce0a0
Assessment Activity Date	34cfea81-c2c0-11ea-9026-02e7594ce0a0
Assessment Activity Type	34cfea4d-c2c0-11ea-9026-02e7594ce0a0
Assessment Investigator - Actor	34cfea8a-c2c0-11ea-9026-02e7594ce0a0
Assessment Summary	34cfea2e-c2c0-11ea-9026-02e7594ce0a0
Bedrock Geology	34cfea2b-c2c0-11ea-9026-02e7594ce0a0
Bedrock Geology Type	34cfea9d-c2c0-11ea-9026-02e7594ce0a0
BP Date From	b7314be2-c5fa-11ea-9026-02e7594ce0a0
BP Date To	173ff15a-c5fb-11ea-9026-02e7594ce0a0
Built Component	3d218500-c385-11ea-9026-02e7594ce0a0
Cadastral Reference	34cfea95-c2c0-11ea-9026-02e7594ce0a0
Condition Assessment	34cfe9b9-c2c0-11ea-9026-02e7594ce0a0
Condition State	34cfea6f-c2c0-11ea-9026-02e7594ce0a0
Construction Technique	34cfea6b-c2c0-11ea-9026-02e7594ce0a0
Country Type	34cfea43-c2c0-11ea-9026-02e7594ce0a0
Cultural Period Belief	38cff734-c77b-11ea-a292-02e7594ce0a0
Cultural Period Certainty	38cff738-c77b-11ea-a292-02e7594ce0a0
Cultural Period Type	38cff73b-c77b-11ea-a292-02e7594ce0a0
Cultural Sub-period Belief 	38cff731-c77b-11ea-a292-02e7594ce0a0
Cultural Sub-period Certainty	38cff73a-c77b-11ea-a292-02e7594ce0a0
Cultural Sub-period Type	38cff73c-c77b-11ea-a292-02e7594ce0a0
Damage Extent Type	34cfea8e-c2c0-11ea-9026-02e7594ce0a0
