#Arrangement	الترتيب	Definitions	تعريف			
Adjoining	متاخم	2 or more features of the same form which share a boundary	ملمحان أو أكثر لهما نفس الشكل ويشتركان في أحد الحدود			
Concentric	مشترك في المركز	2 or more features of the same form which share the same centre, often arranged with the larger features of the same form encircling the smaller ones.	ملمحان أو أكثر لهما نفس الشكل ويشتركان في المركز، وعادة ما يكون بحيث تحتوي الملامح الأكبر لنفس الشكل الملامح الأصغر			
Clustered	متجمع	2 or more features of the same form closely grouped together, without any specific centre or focus	ملمحان أو أكثر لهما نفس الشكل متجمعان بشكل متقارب، بدون أي مركز محدد أو بؤرة معينة			
Converging	منبثق	2 or more features of the same form, usually linear (e.g. walls), which lead to or radiate out from a single feature or location - e.g. the 'tails' of a desert kite leading towards and enclosure, or track/paths which lead to/from a settlement from different directions				
Dispersed	متفرق	2 or more features of the same form loosely grouped together, without any specific centre or focus	ملمحان أو أكثر لهما نفس الشكل متجمعان بشكل متباعد، بدون أي مركز محدد أو بؤرة معينة			
Discrete	متداخل أو قريب	A single form feature with other discernible archaeological form features in the immediate vicinity, close by or adjoining in some way.	ملمح له شكل محدد مع ملامح أثرية غير واضحة المعالم في محيطه المباشر، أوقريبة منه، أو متصلة به بشكل أو آخر	متداخل أو قريب	ok	متداخل
Isolated	منعزل	A single form feature with no other discernible archaeological form features in the immediate vicinity.	ملمح له شكل محدد بدون أية ملامح أثرية غير واضحة المعالم في محيطه المباشر			
Linear	طولي	2 or more features of the same form positioned in an elongated arrangement. NB this does not necessarily mean straight	ملمحان أو أكثر لهما نفس الشكل يقعان على أمتداد واحد. ملاحظة: هذا لا يعني أن يكون هذا الامتداد مستقيماً			
Multiple	متعدد	To be used only for complex sites, where there are several different types of arrangements of features or structures	يستخدم فقط للمواقع المعقدة، حيث يوجد أنواع مختلفة من الترتيبات والملامح والمنشآت			
Nucleated	ذو نواة	2 or more features of the same form which are closely grouped together and focused around a specific/central feature	ملمحان أو أكثر لهما نفس الشكل متجمعان بشكل متقارب حول ملمح مركزي محدد			
Parallel	متوازي	2 or more linear features of the same form which run in the same direction without meeting	ملمحان طوليان أو أكثر لهما نفس الشكل ولهما نفس الاتجاه دون أن يلتقيا			
Perpendicular	متعامد	2 features of the same form positioned at right angles, whether or not they are also adjoining	ملمحان أو أكثر مجمعان بشكل متعامد، بغض النظر عما إذا كانا متصلين أم لا			
Overlapping	متراكبة	2 or more features of the same form positioned over/under each other	ملمحان أو أكثر لهما نفس الشكل يقع أحدهما فوق/تحت الآخر			
Rectilinear	مستقيم الخطوط	3+ features of the same form arranged in a combination of perpendicular and parallel arrangements	ثلاثة ملامح أو أكثر لها نفس الشكل مرتبة بشكل يشمل علاقات متوازية ومتعامدة	مستقيم الخطوط	ok	مستقيمة الخطوط
Unknown	غير محدد	Unknown	غير معلوم	غير محدد	ok	مجهول
