#Estimated number of forms	تقدير عدد الأشكال			تقدير عدد الأشكال	ok	عدد الأشكال الذيتم تقديره
1	1					
2 to 5	2 إلى 5					
6 to 10	6 إلى 10					
11 to 20	11 إلى 20					
21 to 50	21 إلى 50					
51 to 100	51 إلى 100					
100 to 500	100 إلى 500					
500+	تزيد عن 500					
Unknown	غير معلوم			غير معلوم	ok	مجهول
**Emphasis on estimated - we do not want or expect anyone to count up individual features.	** التأكيد على عملية التقدير - لا نتوقع أن يقوم أحد ما برصد عدد الظواهر المستقلة على حدة			** التأكيد على عملية التقدير - لا نتوقع أن يقوم أحد ما برصد عدد الظواهر المستقلة على حدة	ok	**  الأعداد تقديرية - ولا نتوقع أن يقوم أحد بالرصد الدقيق لعدد الملامح المستقلة 
