Archaeological Assessment	التقييم الأثري	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
Circular	دائري	An enclosed feature which is round in shape	ملمح ذو شكل دائري مغلق			
Curvilinear	منحني	A linear feature which curves	ملمح طولي على شكل منحنى			
Irregular	غير منتظم	An enclosed or unenclosed feature with no identifiable geometric form	ملمح ذو شكل مغلق أو مفتوح، ليس له شكل هندسي محدد			
Multiple	متعدد الأشكال	To be used only for complex sites, where there are several different types of features or structures of different shapes	يستخدم للمواقع المعقدة، التي تشمل أنواع متعددة من الملامح، أو المنشآت ذات الأشكال المختلفة	متعدد الأشكال	ok	متعدد
Polygonal	متعدد الأضلاع	An enclosed feature with 4+ straight sides, not arranged at right angles (e.g. trapezoid, pentagon, hexagon etc.)	ملمح ذو شكل هندسي مغلق له أربعة أضلاع مستقيمة أو أكثر، ولا ترتبط بزاويا قائمة (مثل الشكل شبه المنحرف، والخماسي الأضلاع، والسداسي الأضلاع، الخ)	متعدد الأضلاع	ok	كثير الأضلع
Rectangular/Square	مستطيل/ مربع	An enclosed feature with 4 straight sides arranged at right angles	ملمح ذو شكل هندسي مغلق له أربعة أضلاع مستقيمة بينها بزوايا قائمة			
Rectilinear	مستقيم الجوانب	An enclosed or unenclosed feature which is formed of straight sides sitting at more or less right angles	ملمح ذو شكل هندسي مغلق أو مفتوح، يتكون من جوانب إلى حد ما مستقيمة بينها زوايا قائمة	مستقيم الجوانب	ok	مستقيم الخطوط
Semi-circular	شبه دائري	An enclosed feature with one straight side and one curved/rounded side (e.g. D-shaped)	ملمح ذو شكل مغلق أحد أضلاعه مستقيم، والضلع الآخر منحني أو شبه دائري (مثل حرف D الإنجليزي)	نصف دائري	no	
Straight	على استقامة واحدة	A linear feature which does not curve or bend	ملمح طولي مستقيم بدون منحنيات			
Sub-circular	شبه دائري	An enclosed feature which is rounded in shape, but not necessarily circular	ملمح ذو شكل دائري مغلق، ولكن ليس بالضرورة أن يكون دائرة	شبه دائري	ok 	جزء من دائرة
Sub-rectangular	شبه مستطيل	An enclosed feature which is rectangular in overall shape but with rounded corners or edges	ملمح على شكل مستطيل مغلق بصورة عامة، ولكن أركانه أو بعض جوانبه بها انحناءات	شبه مستطيل	ok 	جزء من مستطيل
Triangular	مثلث	An enclosed feature of 3 straight sides.	ملمح على شكل مثلث مغلق يتكون من ثلاثة أضلاع مستقيمة			
Winding	ملتوي	A linear feature which does not follow a regular/straight, and may incorporate bends and/or curves	ملميح طولي ليس له شكل منتظم أو مستقيم، وقد يشمل منحنيات			
Zigzag	متعرج	A linear feature which bends in alternating directions at intervals	ملمح طولي ينحني في إتجاهات متعاكسة في بعض أجزائه			
Unknown	مجهول	Unknown	غير معلوم			
