Archaeological Assessment	التقييم الأثري	Unnamed: 2	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
Bank/Earthwork	ضفة/بناء طيني	A built feature, often linear, constructed primarily of earth and normally with sloping, rather than vertical sides. This term should be used as the resource type for  Ramparts/Fortification/Defensive Earthwork when the feature can be identified as a bank or earthwork and when the feature has no visible complexity i.e. is composed of a single defensive wall/enclosure/linear fortification. If bastions etc., are associated with feature then Structure should be used as the resource type.	"ملمح مبني، وعادة ما يكون طولياً، مبني من الطين بشكل أساسي وعادة ما يكون له جوانب مائلة وليست رأسية. يجب استخدام هذا المصطلح على أنه نوع المورد بخصوص الحصون والأعمال الإنشائية الدفاعية بالطين، عندما يمكن تعريف الملمح على أنه ضفة أو أعمال إنشائية طينية، وعندما لا يكون للملمح تعقيدات مرئية، كأن يكون مكوناً من جدار دفاعي منفرد، أو فراغ، أو خط دفاعي طولي. ولكن إذا ارتبط بالملمح أبراج دفاعية وغير ذلك فيجب استخدام ""منشأ"" على أنه نوع المصدر"			
Bank/Wall	ضفة/جدار	A vertical/linear construction where it is unclear whether sloping or vertical sides are present. Generally, we will also have no information regarding the materials used for construction. This term should be used as the resource type for  Ramparts/Fortification/Defensive Earthwork when the feature cannot be identified as either a bank OR wall and when the feature has no visible complexity i.e. is composed of a single defensive wall/enclosure/linear fortification. If bastions etc., are associated with feature then Structure should be used as the resource type.	"منشأ رأسي/طولي غير معلوم ما إذا كانت جوانبه رأسية أم منحدرة. على العموم، لا يكون لدينا معلومات عن المواد المستخدمة في الإنشاء. ويجب استخدام هذا المصطلح كنوع المصدر بخصوص الحصون والأعمال الإنشائية الدفاعية بالطين، عندما لايمكن تعريف الملمح على أنه ضفة أو أعمال إنشائية طينية، وعندما لا يكون للملمح تعقيدات مرئية، كأن يكون مكوناً من جدار دفاعي منفرد، أو فراغ، أو خط دفاعي طولي. ولكن إذا ارتبط بالملمح أبراج دفاعية وغير ذلك فيجب استخدام ""منشأ"" على أنه نوع المصدر"			
Cave	كهف	An underground hollow, usually but not exclusively with a horizontal opening; naturally or anthropogenically formed and/or modified	فراغ تحت الأرض، وعادة ولكن ليس دائماً يكون له فتحة أفقية: سواء بشكل طبيعي أو من صنع الإنسان (أو عدلها الإنسان)			
Cleared Area	منطقة تم مسحها وتنظيفها	An open area of land that has been cleared of stones/debris/vegetation, usually for a specific purpose	مساحة مفتوحة من الأرض قد تم أخلاؤها من الأحجار، والمخلفات، والنباتات، وعادة ما يكون ذلك لغرض محدد	منطقة تم مسحها وتنظيفها	ok	منطقة تم إخلاؤها
Colour/Texture Difference	اختلاف في لون سطح الأرض/قوام التربة	Variation in ground-surface colour or texture distinct from surrounding area associated with a site. In many cases using satellite imagery it will not be clear whether this is a cropmark or a soilmark. 	اختلاف في لون سطح الأرض، أو ملمسه بالمقارنة بالمنطقة المحيطة والمرتبطة بموقع. في حالات كثيرة يؤدي استخدام الصور الملتقطة بالأقمار الصناعية لن يوضح ما إذا كان هذا علامة زراعية، أم علامة في التربة	اختلاف في لون سطح الأرض/قوام التربة	ok	اختلاف في اللون/ اختلاف في الملمس
Craft/Vessel/Vehicle	عربة/سفينة/مركبة	A man-made thing used for transportation including of people or goods. Definition here covers land (e.g. wheeled/tracked vehicles), air (i.e. aircraft) and sea (i.e. ships/boats) transportation				
Depression/Hollow	منخفض/ فجوة	A concave area in the surface of the ground, usually wider than it is deep; naturally or anthropogenically formed and/or modified. 	منطقة بها تحدب لسطح الأرض، وعادة ما يكون عرضه أكبر من عمقه. وقد يكون طبيعياً أو من صنع أو تعديل الإنسان			
Ditch/Trench	خندق/حفرة	A deliberately excavated linear feature with no definitive evidence for a covering	ملمح طولي تم حفره عمداً، ولا يوجد دليل محدد على أنه كان مغطى	خندق/حفرة	ok	خندق
Large Mound	تل كبير	An anthropogenically-formed (or significantly modified) 'hill' (over 0.5ha in size), including very large tumuli and 'settlement mounds', i.e. tells.	"تل تم عمله كلياً أو جزئياً بواسطة الإنسان (بمساحة أكبر من نصف هكتار)، ويشمل على هضبة كبير جداً، أو مرتفع استطياني، أي ""تل"""			
Modified Rock Surface	صخر تم تعديله	An area of exposed rock whose surface has been modified in some way, e.g. rock art, inscriptions, relief sculpture etc.. This category should NOT be used for rock-cut pits or shafts, etc., which are defined here as modifying more than just the surface.	منطقة بها صخر مكشوف ، وقد تم تعديل سطح الصخر بشكل أو آخر، مثل الفن الصخري، والنقوش، والنحت البارز، الخ. لا يجب أن يشمل هذا المصطلح الحفر الرأسية المحفورة في الصخر، والتي يجب إدخالها على أنها تعديل لأكثر من السطح.			
Multi-Component	متعدد المكونات	A number of different types of structures or features - to be used only for very complex sites which someone can return to later to separate individual features, buildings, etc. out.	عدد من الأنواع المختلفة للمنشآت والملامح، ويستخدم فقط للمواقع الشديدة التعقيد والتي يمكن أن يعود إليها شخص لاحقاً لفصل الملامح والمباني المختلفة وتحديدها			
Object	 قطعة اثرية	A discrete material item which can (theoretically) be moved/displaced without damaging or affecting the integrity or interpretation of the item itself	مادة منفصلة يمكن (من الناحية النظرية) فصلها/ نقلها بدون ضرر أو تأثير على تكاملية أو تفسير المادة نفسها	لُقية	I would say: قطعة اثرية	قطعة
Paved/Laid Surface	ممهد/ سطح تم تمهيده	A man-made surface or floor formed through the deliberate laying of materials such as flat stones, tesserae, tiles etc.	سطح أو أرضية من صنع الإنسان تكون عن طريق فرش مواد معينة مثل الأحجار المسطحة أو البلاط الخ	رصف/سطح مرصوف	no	
Pit/Shaft/Tunnel	حفرة/جوانب بئر/نفق	A deliberately excavated hole or channel in the ground. These features may be left open at their entrance and in the case of long subsurface shafts and tunnels can be often roofed/covered.	حفرة أو خندق تم حفره عمداً في الأرض. قد يتم ترك مدخل مثل هذا الملمح مفتوحاً فإن كان خندقاً طويلاً تحت الأرض يكون غالباً مغطى بسقف	حفرة/جوانب بئر/نفق	ok	حفرة/ جحر
Plant/Tree	زرع/ شجر	Living organism which absorbs water etc through its roots and synthesizes nurtrients in its leaves through photosynthesis	كائنات حية تمتص الماء عن طريق جذورها وتنتج التغذية لأوراقها عن طريق التمثيل الضوئي			
Platform/Terrace	منصة/مصطبة	Man-made, raised surface designed to create a level area for a particular purpose, e.g. agriculture or the construction of a building	سطح مرتفع من صنع الإنسان، مصمم لخلق مساحة مسطحة لغرض محدد، مثلاً: الزراعة أو بناء مبنى	منصة/مصطبة	ok	سطح/ مصطبة
Pyramid/Ziggurat	هرم/ زقورة	A structure with triangular or rectangular base and flat or stepped sloping sides that meet at a point	منشأ بقاعدة مثلثة أو مستطيلة وله جوانب مسطحة أو مدرجة بحيث تلتقي عند نقطة محددة			
Rubble Spread/Architectural Fragments	ركام متناثر/ أجزاء من عناصر معمارية	A collection on the surface of rubble, construction materials and/or architectural fragments where there is no discernable individual structure visible. This includes architectural fragments which have been re-used.	تجمع على السطح لأحجار، أو مواد بناء، أو عناصر معمارية، حيث لا يوجد منشأ محدد بالبصر. ويشمل ذلك الأجزاء المعمارية التي أعيد استخدامها			
Scatter	مبعثر/ متناثر	A more or less dense collection of archaeological material or artefacts spread on the surface, e.g. pottery, lithics, slag etc.	مجموعة مركزة من البقايا الأثرية أو المواد أو القطع مبعثرة على السطح، مثال الفخار، شظايا الأحجار والمعادن الخ			
Small Mound/Cairn	تل صغير/ كومة أحجار	A small (below 0.5ha in size) discrete heap of soil and/or stones, including small stone burial cairns, clearance piles and earthern mounds such as 'barrows'/'kurgans'.	هضبة صغيرة من التربة أو الحجر (أقل من نصف هكتار) وقد تشمل كومات حجرية جنائزية، أكوام مخلفات وتلال طينية 			
Structure	 مبنى	A built unit, roofed or unroofed, constructed from/comprising multiple parts, including walls and/or enclosed/covered areas, which forms a coherent whole; see also 'Pyramid/Ziggurat' and 'Tower' for two specific structures. This resource type should be used when the feature interpretation Ramparts/Fortification/Defensive Earthwork is being used and the identified feature is complex i.e. comprised of MORE than a single fortification wall and associated with elements such as butresses, bastions, watchtowers etc. If only a single fortification line/enclosure etc., is present-wall/bank OR wall OR bank/earthwork should be used as the resource type.	"وحدة مبنية، سواء لها سقف أو بدون سقف. مبنية من عدة أجزاء تشمل الجدران و/أو مساحات مغلقة مسقوفة أو غير مسقوفة، لتكون جميعاً كل متكامل. أنظر أيضاً ""هرم-زقورة""، و""برج"" كمثالين لنوعين من المنشآت. يجب استخدام هذه المصطلح عندما يكون تفسير المورد تحصين/ مبنى دفاعي/ ترتيبات دفاعية للأرض، ويكون المورد معقداً أي يحتوي على أكثر من جدار دفاعي ومرتبط بعناصر أخرى كالأبراج الدفاعية، وأبراج الحراسة الخ. أما إذا كان المورد خط دفاعي واحد، أو فراغ دفاعي واحد يتم تحديد نوعه على إنه ضفة/ جدار/ بناء طيني."	تركيب معماري	No... مبنى	منشأ
Tower	برج	A structure which is normally, but not exclusively, taller than it is wide and is often, but not always, multi-storeyed	منشأ يكون عادة ارتفاعه أكبر من عرضه، وإن كان ليس في كل الأحوال، وعادة ما يكون متعدد الطوابق، ولكن ليس بالضرورة			
Unknown	غير محدد	The feature form is unknown. For example, a site is interpreted as a settlement in a source, but there is no reference to whether this settlement has built structures, scatters of material etc.	شكل الملمح غير معلوم، فعلى سبيل المثال موقع تم تفسيره في أحد المصادر على أنه مستوطنة، ولكن لا يوجد ما يدل على ما إذا كانت المستوطنة بها مباني قائمة أم مواد مبعثرة، الخ.	غير محدد	ok	مجهول
Upright Stone	حجر قائم	A monolithic stone feature which stands vertically	ملمح صخري مونوليثي قائم رأسياً			
Wall	جدار	A vertical, linear construction with roughly vertical, rather than sloping, sides. If multiple wall(s) are present this term should be used if they DO NOT form a coherent 'structure' as defined above.  This term should be used as the resource type for  Ramparts/Fortification/Defensive Earthwork when the feature identified can be specifically classified as a wall, but has no visible complexity i.e. is composed of a single defensive wall/enclosure/linear fortification.If bastions etc., are associated with feature then Structure should be used as the resource type.	"منشأ رأسي طولي له جوانب أقرب إلى الرأسية منها إلى الانحدار. إذا كان هناك عدد من الجدران يستخدم هذا المصطلح فقط في حالة ما إذا لم تشكل هذه الجدران منشأ واضحاً فوقها. يجب استخدام هذه المصطلح على أن نوع المورد للتحصينات، والأعمال الدفاعية الأرضية عندما يمكن تصنيف المورد كجدار بشكل محدد ودون أية تعقيدات مرئية. كأن يكون مكوناً من جدار دفاعي منفرد، أو فراغ، أو خط دفاعي طولي. ولكن إذا ارتبط بالملمح أبراج دفاعية وغير ذلك فيجب استخدام ""منشأ"" على أنه نوع المصدر"			
Waterfront	واجهة مائية/ضفة/شط					
