Built Component Observation	الملاحظات على المكون البنائي	Unnamed: 2	Unnamed: 3	Unnamed: 4	Alternative suggested translation	mk comments	Old Term replaced by AB or MK
North	شمال						
South	جنوب						
East	شرق						
West	غرب						
North-East	شمال شرق						
North-West	شمالي غرب						
South-East	جنوبي شرق						
South-West	جنوب غرب						
North-South	شمال-جنوب						
East-West	شرق-غرب						
Northeast-Southwest	شمال شرق-جنوب غرب						
Northwest-Southeast	شمال غرب-جنوب شرق						
Not Applicable	لا يمكن تحديد				لا يمكن تحديد	ok	لا يمكن تحديده
