Geoarchaeology Assessment	تقييم جيوأركيولوجي	Unnamed: 2	Unnamed: 3	Alternative suggested translation	mk comments	Old Term replaced by AB or MK
Glacial	جليدي	Feature produced by glacial processes.  Use this term where distinct landforms (e.g. see  other definitions) cannot be identified, only the general process by which the feature/evidence was created 				
Fluvial/Alluvial	راسب فيضي/راسب غريني	Feature produced by river processes. Use this term where distinct landforms (e.g. see  other definitions) cannot be identified, only the general process by which the feature/evidence was created 				
River channel/wadi/khor	قناة نهرية/وادي/خور	A linear cut in the ground surface, varying between straight and sinuous. Cut by water flowing permanently (e.g. river channel) or intermittently (e.g. wadi/khor)				
River bar	حاجز نهري	Sediment deposited in a river by water and elevated above the riverbed as a distinct feature. Definition here includes bars within the channel (e.g. braid bar) and attached to the bank (e.g. point bar)				
Floodplain	سهل فيضي	Flat low-lying plain adjacent to a river or stream and onto which alluvial sediment is deposited during floods				
Alluvial Fan	مروحة غرينية	Sediment deposited where a steep stream exits a mountain catchment. Generally forms conical to sub-conical landform				
River Terrace	مصطبة نهرية	Step-like feature landform or close to, but elevated above a river/stream channel. Represents the former floodplain surface into which the river has subsequently incised				
Lacustrine	بحيري	Feature produced by lake processes.  Use this term where distinct landforms (e.g. see  other definitions) cannot be identified, only the general process by which the feature/evidence was created 				
Lake	بحيرة	Large body of water, located inland and surrouded by land. Generally freshwater, but can sometimes hold saltwater				
Lake Shoreline	شاطئ بحيرة	The line where water in a lake and the surrounding land meet. 				
Aeolian	راسب ريحي	Feature produced by wind processes.  Use this term where distinct landforms (e.g. see  other definitions) cannot be identified, only the general process by which the feature/evidence was created 				
Dunes/Aeolianite	كثبان رملية/كثبان متحجرة	A mound of sand piled up by wind action and elevated above its surrounds. Definition here includes aeolianite: dunes cemented into sandstone by carbonates. Local names include kurkar and ramleh.				
Sand sheet	حصيرة رملية	Low relief to undulating area covered by windblown sand. Formed where wind speed is too low and/or grain size too large for dune formation. May contain small bedforms like ripples				
Slope	منحدر	Feature produced by slope processes.  Use this term where distinct landforms (e.g. see  other definitions) cannot be identified, only the general process by which the feature/evidence was created 				
Landslide	إنزلاق أرضي	Mass movement of material (inc. rock, sediment and other debris) down a slope. Can be triggered by multiple causes inc. rainfall, earthquakes, undercutting, human action				
Scree/Talus	ركام سفحي	Deposit of broken rock fragments and sediment at the base of cliffs accumulated though rockfall. Forms a slope at an angle to the backing cliff				
Organic	عضوي	Feature produced by organic processes.  Use this term where distinct landforms (e.g. see  other definitions) cannot be identified, only the general process by which the feature/evidence was created 				
Freshwater Wetland	أراض رطبة - مياه عذبة	Area permanently or seasonally flooded by freshwater and characterised by distinct aquatic plants. Definition here includes marshes, swamps, bogs, fens and peatlands				
Saltmarsh	مستنقع	Intertidal area (i.e. periodically inundated by the sea), generally muddy, colonized by salt tolerant grasses, shrubs and herbs. Found worldwide				
