Geoarchaeology Assessment	تقييم جيوأركيولوجي	Unnamed: 2	Unnamed: 3	Alternative suggested translation	mk comments	Old Term replaced by AB or MK
MIS1	MIS1	0 to 11.7 ka				
MIS2	MIS2	11.7 to 29ka				
MIS3	MIS3	29 to 54 ka				
MIS4	MIS4	54 to 71 ka				
MIS5	MIS5	71 to 130 ka				
MIS6	MIS6	130 to 191 ka				
MIS7	MIS7	191 to 243 ka				
MIS8	MIS8	243 to 300 ka				
MIS9	MIS9	300 to 337 ka				
MIS10	MIS10	337 to 374 ka				
MIS11	MIS11	374 to 424 ka				
MIS12	MIS12	424 to 478 ka				
MIS13	MIS13	478 to 533 ka				
MIS14	MIS14	533 to 563 ka				
MIS15	MIS15	563 to 621 ka				
MIS16	MIS16	621 to 676 ka				
MIS17	MIS17	676 to 712 ka				
MIS18	MIS18	712 to 761 ka				
MIS19	MIS19	761 to 790 ka				
MIS20-63	MIS20-63	790 ka to 1782 ka				
MIS64-103	MIS64-103	1782 to 2575 ka				
