Quaternary Divisions	تقسيمات الدهر الرباعي	Definitions (note here years are measured to b2k - i.e. before the year 2000)	التعريف			
Holocene	الهولوسين	Most recent major stratigraphic division of the Quaternary Period: present day to 11,700 years ago				
Upper & Late Holocene / Meghalayan	الهولوسين العلوي & المتأخر/الميغالي	Youngest sub-division of the Holocene: present day to 4250 years ago				
Middle Holocene / Northgrippian	الهولوسين الوسيط/نورث غريبيان Northgrippian	Middle sub-division of the Holocene: 8236 to 4250 years ago				
Lower & Early Holocene / Greenlandian	الهولولسين الأدنى والمبكر /غرين لاندي Greenlandian	Oldest sub-division of the Holocene: 11,700 to 8236 years ago				
Pleistocene	البليستوسين	Penultimate major stratigraphic division of the Quaternary Period: 11,700 years ago to 2.58 million years ago				
Upper & Late Pleistocene	البلستوسين العلويى & المتأخر	Youngest sub-division of the Pleistocene: ~126,000 to 11,700 years ago				
Middle Pleistocene	البليستوسن الوسيط	One of 2 middle sub-divisions of the Pleistocene: ~773,000 to 126,000 years ago				
Lower & Early Pleistocene / Calabrian	البليستوسن الأدنى & المبكر /الكالابري Calabrian	One of 2 middle sub-divisions of the Pleistocene: 1.8 million to ~773,000 years ago				
Lower & Early Pleistocene / Gelasian	البليستوسن الأدنى & المبكر /الجيلاسي Gelasian	Oldest sub-division of the Pleistocene: 2.58 to 1.8 million years ago				
