Measurement Unit	وحدة القياس					
Metric	القياس المتري					
millimetres (mm)	ملليمتر (مم)					
centimetres (cm)	سنتيمتر (سم)					
metres (m)	متر (م)					
kilometres (km)	كيلومتر (كم)					
hectares (ha)	هكتار					
square metres (m2)	متر مربع (م2)					
square kilometres (km2)	كيلو متر مربع (كم2)					
Imperial	القياس الإمبراطوري					
inches (in)	بوصة					
feet (ft)	قدم					
yard (yd)	ياردة					
miles (mi)	ميل					
acres (ac)	فدان					
square feet (ft2)	قدم مربع					
square mile (mi2)	ميل مربع					
Other	آخر					
dunam	دونم					
