Modification and Construction	التعديل والبناء	Unnamed: 2	Unnamed: 3	Unnamed: 4	Alternative suggested translation	Unnamed: 6	Unnamed: 7
Worked and/or Man-made Material	مُصنع و/أو مادة مُصنعة	Materials processed and created by humans					
Baked brick	 آجر	Standard rectangular block or tablet bonded on mortar joints in a regular arrangement or pattern for strength or decoration, baked. Made from clay or brick earth which may contain varying quantities of chalk, lime or iron oxide which effect colour or density.					
Concrete (Breeze-block)	آجر اسمنتي مجوف	A block made of cement and coal cinders/ashes					
Concrete (Reinforced)	خرسانة حديد	Aggregate, cement and mortar combined with structural elements of iron or steel mesh or rod reinforcement to form stonelike masses for load bearing, structural building work					
Concrete (Unspecified)	خرسانة (غير محددة)	Composed of sand, stones or other aggregate and cement mixed with water which sets in a hard mass. The material is usually associated with modern building but was developed by Romans where cement was obtained from quicklime			خرسانة (غير محددة)	ok	خرسانة
Corrugated Metal	صفيح مموج	A thin sheet made of metal, formed with alternating ridges and troughs					
Glass	زجاج	A hard, lustrous, transparent and brittle susbstance produced by fusing sand with soda and one or more ingredient (lime, alumina or others) 					
Iron / Steel	حديد/فولاذ	A strong and hard silvery-grey metal 					
Metal	معدن	Generally hard and strong material characterized by its high density, malleability, ductility and good conduction of heat and electricity					
Mud / Adobe (Blocks/Bricks)	طابوق/لبن/طوب (قالب)	Soil, sand or other earthy matter, can bonded with straw or other binding material. Sundried in shaped or moulded blocks, forming mud bricks.					
Mud / Adobe (unshaped)	طين/طوب	Soil, sand or other earthy matter, can bonded with straw or other binding material.					
Stone (Cut)	حجر (مشذب)	A piece of rock or hard mineral hewn or chiseled to shape			حجر (مشذب)	ok	حجر
Stone (Roughly cut)	حجر (مشذب بعض الشيء)	A piece of rock or hard mineral roughly shaped/worked					
Terracotta	طين نضج (تيراكوتا)	"Hard, unglazed, brown, versatile earthenware which can be used as a tile or moulded into statuary. Used in a structural or semi-structural context as a moulded hollow block.
"					
Tile (Glazed)	قرميد (مصقول - مزجج)	Ceramic tile with glaze					
Tile (Hollow)	قرميد (مجوف)						
Tile (Unclassified)	قرميد (غير مصنف)	Ceramic tile					
Tile (Unglazed)	(قرميد (غير مصقول - غير مزجج	Ceramic tile without glaze					
Render	تكسية - تمليط	"A general term for the weatherproof coat on the external and internal walls of a building. It can be used both as protective and decorative layer.
"					
Cement-based Render	تمليط أو تكسية بمادة صلبة	Render constituted by a mixture of sand and cement. It can be fine or coarse, textured or smooth, natural or colored.					
Plaster	جبس/جص						
Roughcast/Pebbledash	ملاط تكسية خشن/ حصوي	Use of rubble stones					
Stucco	ملاط الجبس	FISH: Smooth rendering applied to the exterior of buildings which may be incised to suggest coursed masonry. Made of lime and sand or brick dust, and more recently, cement.					
Binding and Bonding Materials	مواد الربط						
Bitumen	زفت - قار	A black mineral pitch.					
Brickearth	تراب رسوبي	Earth or clay suitable for making bricks.					
Gypsum	جص - جبس	A colourless or white mineral (sometimes coloured by impurities) used in the manufacture od cement, plaster, paint and others.					
Mortar (Concrete)	ملاط - مونة - خرسانة	A mixture of cement with sand and water used for bonding stones or bricks.					
Mortar (Unspecified)	(ملاط - مونة (غير محدد	A mixture of unspecified materials and water used for bonding stones or bricks.					
Rubble stone	كسر حجارة مبني	Uneven stones set in mortar in an irregular way (not according regular courses).			كُسارة حجارة	no: كسر حجارة مبني	أنقاض وحجارة
Other	شيء أخر	Other materials not listed above					
Unknown	غير محدد	Unknown			غير محدد	ok	غير معلوم
x							
