Resource Summary	ملخص المورد	Unnamed: 2	Unnamed: 3	Ahmed Buzaian suggested translation	MK Comments	Old Term replaced by AB or MK
Managed Site	موقع تتم إدارته	Under governmental/state management, not further specified.				
Enhanced Protection List of the Hague Convention	قائمة حماية محسنة لإتفاقية لاهاي	Cultural property specifically designated for enhanced protection during armed conflicts under the Hague Convention. http://www.unesco.org/new/en/culture/themes/armed-conflict-and-heritage/lists/enhanced-protection/				
UNESCO World Heritage List	قائمة اليونسكو للتراث العالمي	Sites designated by UNESCO as having cultural, historical, scientific or other significance and considered to be of outstanding value to humanity.  https://whc.unesco.org/en/list/				
UNESCO World Heritage Tentative List	قائمة اليونسكو المبدئية للتراث العالمي	Sites under consideration by UNESCO to be added to the World Heritage List. https://whc.unesco.org/en/tentativelists/				
UNESCO World Heritage in Danger List	قائمة اليونسكو للتراث العالمي المعرض للخطر	UNESCO World Heritage Sites which are considered to be experiencing conditions which threaten the very characteristics for which a property was inscribe on the list.  https://whc.unesco.org/en/danger/				
National Register	السجلّ الوطني	On an official national register/inventory not specifically listed below				
Local Register	السجلّ المحلّي	On an official local register/inventory, i.e. below the national level, not specifically listed below				
JADIS (Jordan Antiquities Database and Information System)	جاديس (قاعدة بيانات ونظام معلومات دائرة الآثار الأردنية)	Previous national archaeological inventory for Jordan used before adoption of MEGA-Jordan		جاديس (قاعدة بيانات ونظام معلومات دائرة الآثار الأردنية)	yes	جاديس
MEGA-Jordan (Middle Eastern Geodatabase for Antiquities)	ميجا - الأردن (قاعدة البيانات الجغرافية لآثار الشرق الأوسط)	National archaeological inventory for Jordan		ميجا - الأردن (قاعدة البيانات الجغرافية لآثار الشرق الأوسط)	yes	ميجا - الأردن
Saudi Commission for Tourism and National Heritage (SCTH)	الهيئة العامة للسياحة والتراث الوطني السعودية	National Register of the Kingdom of Saudi Arabia				
Carte Nationale des Sites Archéologiques et des Monuments Historiques (Tunisia)	الخريطة الوطنية للمواقع الأثرية والمعالم التاريخية (تونس)	National mapping project for archaeological sites and historic monuments in Tunisia				
Iran's National Heritage List	قائمة التراث الوطني - إيران	National Heritage List of Iran				
PADIS (Palestine Archaeological Databank and Information System)	باديس (بنك البيانات الأثرية ونظام المعلومات الفلسطيني)	National archaeological inventory for Palestine		باديس (بنك البيانات الأثرية ونظام المعلومات الفلسطيني)	yes	باديس
Other	آخر	Designated on another official list or register not included above. Note it in the free-text Comments below and/or contact a member of the EAMENA team to have it added				
x						
