id	language	text
		
d21f917c-8478-387e-a8ba-06c13bd71426	en	8600 BC
d21f917c-8478-387e-a8ba-06c13bd71426	fr	8600 avant JC
		
1b5f0c7e-3d27-4f25-8a89-aabc9fb8c946	ar	????
1b5f0c7e-3d27-4f25-8a89-aabc9fb8c946	en	Palm
1b5f0c7e-3d27-4f25-8a89-aabc9fb8c946	fr	Palmier
		
7f42f5a2-7e6d-37f6-b0ad-fa7062890537	en	Colonnaded Street
7f42f5a2-7e6d-37f6-b0ad-fa7062890537	fr	Rue à colonnades
		
9ebd2f87-06bc-3db1-a92a-f3f96244707f	en	4150 BC
9ebd2f87-06bc-3db1-a92a-f3f96244707f	fr	4150 avant JC
		
0917b020-d5dc-3d10-8c0f-4b15e4ed6700	en	Theodolite/Dumpy Level
0917b020-d5dc-3d10-8c0f-4b15e4ed6700	ar	???? ???????? ????/ ???? ???? ??????????
0917b020-d5dc-3d10-8c0f-4b15e4ed6700	fr	Théodolite/Niveau Dumpy
		
272f56ea-a778-391e-9a2c-1b154a69d75e	en	Landscaping
272f56ea-a778-391e-9a2c-1b154a69d75e	ar	?????/????? ????? ??????
272f56ea-a778-391e-9a2c-1b154a69d75e	fr	Aménagement paysager
		
fafbbb8f-5a33-48c4-84b2-ecb6d307f7df	ar	?????
fafbbb8f-5a33-48c4-84b2-ecb6d307f7df	en	Lacustrine
fafbbb8f-5a33-48c4-84b2-ecb6d307f7df	fr	Lacustre
		
0165cec6-64dd-3265-952a-eaf2ab354b09	en	Modern Country Territory
0165cec6-64dd-3265-952a-eaf2ab354b09	fr	Territoire de pays moderne
		
a6435004-665b-3fa1-8228-ca222308cefe	ar	????
a6435004-665b-3fa1-8228-ca222308cefe	en	Low
a6435004-665b-3fa1-8228-ca222308cefe	fr	Faible
		
12d30765-2e17-34f9-a4b1-ec9be6abef2e	en	Medium
12d30765-2e17-34f9-a4b1-ec9be6abef2e	ar	?????
12d30765-2e17-34f9-a4b1-ec9be6abef2e	fr	Moyen
		
6f1924cb-4235-306f-9c14-5896e0f694fa	ar	????
6f1924cb-4235-306f-9c14-5896e0f694fa	en	High
6f1924cb-4235-306f-9c14-5896e0f694fa	fr	Haut
		
e6c39c9f-92eb-3f31-8672-3d5b48f5b512	en	Not Applicable
e6c39c9f-92eb-3f31-8672-3d5b48f5b512	ar	?? ???? ??????
e6c39c9f-92eb-3f31-8672-3d5b48f5b512	fr	N'est pas applicable
		
4002e009-309c-386f-8f82-0a4eaed5d8fb	en	Definite
4002e009-309c-386f-8f82-0a4eaed5d8fb	ar	????
4002e009-309c-386f-8f82-0a4eaed5d8fb	fr	Précis
		
0d82f968-9ada-385f-97f9-fd77ef7155b2	ar	??????
0d82f968-9ada-385f-97f9-fd77ef7155b2	en	Kuwait
0d82f968-9ada-385f-97f9-fd77ef7155b2	fr	Koweit
		
b371d37e-cbbc-42c3-86de-f80e4753a892	en	Djibouti
b371d37e-cbbc-42c3-86de-f80e4753a892	ar	??????
b371d37e-cbbc-42c3-86de-f80e4753a892	fr	Djibouti
		
f0bbdbf7-3db5-3c79-8f12-4e246a18d940	en	Algeria
f0bbdbf7-3db5-3c79-8f12-4e246a18d940	ar	???????
f0bbdbf7-3db5-3c79-8f12-4e246a18d940	fr	Algérie
		
4a31aa72-d96d-3238-a153-3298f12548c0	en	United Arab Emirates
