"datatype","iconclass","modulename","classname","configcomponent","defaultconfig","configname","isgeometric","defaultwidget","issearchable"
"semantic","fa fa-link","datatypes.py","BaseDataType",NULL,NULL,NULL,False,NULL,False
"string","fa fa-file-code-o","datatypes.py","StringDataType","views/components/datatypes/string",NULL,"string-datatype-config",False,"10000000-0000-0000-0000-000000000001",True
"number","fa fa-hashtag","datatypes.py","NumberDataType","views/components/datatypes/number",NULL,"number-datatype-config",False,"10000000-0000-0000-0000-000000000008",True
"file-list","fa fa-file-image-o","datatypes.py","FileListDataType","views/components/datatypes/file-list","{""maxFiles"": 1, ""activateMax"": false, ""maxFileSize"": null}","file-list-datatype-config",False,"10000000-0000-0000-0000-000000000019",False
"concept","fa fa-list-ul","concept_types.py","ConceptDataType","views/components/datatypes/concept","{""rdmCollection"": null}","concept-datatype-config",False,"10000000-0000-0000-0000-000000000002",True
"concept-list","fa fa-list-ul","concept_types.py","ConceptListDataType","views/components/datatypes/concept","{""rdmCollection"": null}","concept-datatype-config",False,"10000000-0000-0000-0000-000000000012",True
"geojson-feature-collection","fa fa-globe","datatypes.py","GeojsonFeatureCollectionDataType","views/components/datatypes/geojson-feature-collection","{""radius"": 2, ""weight"": 2, ""addToMap"": false, ""fillColor"": ""rgba(130, 130, 130, 0.5)"", ""layerIcon"": """", ""layerName"": """", ""lineColor"": ""rgba(130, 130, 130, 0.7)"", ""haloRadius"": 4, ""haloWeight"": 4, ""pointColor"": ""rgba(130, 130, 130, 0.7)"", ""layerLegend"": """", ""outlineColor"": ""rgba(200, 200, 200, 0.7)"", ""advancedStyle"": """", ""lineHaloColor"": ""rgba(200, 200, 200, 0.5)"", ""outlineWeight"": 2, ""clusterMaxZoom"": 5, ""layerActivated"": true, ""pointHaloColor"": ""rgba(200, 200, 200, 0.5)"", ""simplification"": 0.3, ""advancedStyling"": false, ""clusterDistance"": 20, ""clusterMinPoints"": 3}","geojson-feature-collection-datatype-config",True,"10000000-0000-0000-0000-000000000007",False
"date","fa fa-calendar","datatypes.py","DateDataType","views/components/datatypes/date","{""dateFormat"": ""YYYY-MM-DD""}","date-datatype-config",False,"10000000-0000-0000-0000-000000000004",True
"node-value","fa fa-external-link-square","datatypes.py","NodeValueDataType","views/components/datatypes/node-value","{""nodeid"": null, ""property"": null}","node-value-datatype-config",False,"f5d6b190-bbf0-4dc9-b991-1debab8cb4a9",False
"edtf","fa fa-file-code-o","datatypes.py","EDTFDataType","views/components/datatypes/edtf","{""fuzzy_day_padding"": 1, ""fuzzy_year_padding"": 1, ""multiplier_if_both"": 1, ""fuzzy_month_padding"": 1, ""fuzzy_season_padding"": 12, ""multiplier_if_uncertain"": 1, ""multiplier_if_approximate"": 1}","edtf-datatype-config",False,"adfd15ce-dbab-11e7-86d1-0fcf08612b27",True
"annotation","fa fa-image","datatypes.py","AnnotationDataType",NULL,NULL,NULL,False,"aae743b8-4c48-11ea-988b-2bc775672c81",False
"url","fa fa-location-arrow","url.py","URLDataType","views/components/datatypes/url",NULL,"url-datatype-config",False,"ca0c43ff-af73-4349-bafd-53ff9f22eebd",True
"resource-instance","fa fa-external-link-o","datatypes.py","ResourceInstanceDataType","views/components/datatypes/resource-instance","{""graphs"": [], ""searchDsl"": """", ""searchString"": """"}","resource-instance-datatype-config",False,"31f3728c-7613-11e7-a139-784f435179ea",True
"resource-instance-list","fa fa-external-link-square","datatypes.py","ResourceInstanceListDataType","views/components/datatypes/resource-instance","{""graphs"": [], ""searchDsl"": """", ""searchString"": """"}","resource-instance-datatype-config",False,"ff3c400a-76ec-11e7-a793-784f435179ea",True
"boolean","fa fa-toggle-on","datatypes.py","BooleanDataType","views/components/datatypes/boolean","{""trueLabel"": {""en"": ""Yes""}, ""falseLabel"": {""en"": ""No""}, ""i18n_properties"": [""trueLabel"", ""falseLabel""]}","boolean-datatype-config",False,"10000000-0000-0000-0000-000000000006",True
"domain-value","fa fa-list-ul","datatypes.py","DomainDataType","views/components/datatypes/domain-value","{""options"": [], ""i18n_config"": {""fn"": ""arches.app.datatypes.datatypes.DomainDataType""}}","domain-value-datatype-config",False,"10000000-0000-0000-0000-000000000015",True
"domain-value-list","fa fa-list-ul","datatypes.py","DomainListDataType","views/components/datatypes/domain-value","{""options"": [], ""i18n_config"": {""fn"": ""arches.app.datatypes.datatypes.DomainDataType""}}","domain-value-datatype-config",False,"10000000-0000-0000-0000-000000000016",True
"sample-datatype","fa fa-file-code-o","sample_datatype.py","SampleDataType",NULL,"{""en"": """"}",NULL,False,"8030bf29-c8a2-437f-bb6e-4532462fdb7b",True
