rm;fieldname;uuid;table
hp;"geometry";"3080eebe-c2c5-11ea-9026-02e7594ce0a0";
hp;"Geometric Place Expression";"5348cf67-c2c5-11ea-9026-02e7594ce0a0";
hp;"Activity Date";"34cfea81-c2c0-11ea-9026-02e7594ce0a0";
hp;"Heritage Place";"34cfea3b-c2c0-11ea-9026-02e7594ce0a0";
hp;"Threat Category";"34cfea76-c2c0-11ea-9026-02e7594ce0a0";
hp;"Threat Category";"ea8af49e-b15a-11ea-9b1f-02e7594ce0a0";nodes
hp;"Cultural Period Type";"38cff73b-c77b-11ea-a292-02e7594ce0a0";
hp;"Cultural Period Certainity";": 38cff738-c77b-11ea-a292-02e7594ce0a0";
hp;"Cultural Subperiod Type";"38cff73c-c77b-11ea-a292-02e7594ce0a0";
hp;"Cultural Subperiod Certainity";"38cff73a-c77b-11ea-a292-02e7594ce0a0";
bc;"geometry";"6bde253d-cb7e-11ea-a292-02e7594ce0a0";
bc;"Geometric Place Expression";"6bde2541-cb7e-11ea-a292-02e7594ce0a0";
