"Resource ID(s)","Resource type","Status","Contributed by","Document extract","Title","Caption","Keywords - Subject","Keywords - Emotion","Keywords - Event","Keywords - Other","Named person(s)","Country","Date","Original filename","Extracted text","Credit","Notes","Keywords - Recognised","Keywords - Landmark","Accessibility - Alt Text","Accessibility - Extended Description","Camera make / model","Source"
8682,"Document","Active","Thomas Huet","","Khirbet as-Sur","""Khirbet as-Sur"" lat=31.9053913225, lon=35.7120843404","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0110.tif","","KHIRBET AS-SUR: 570329 (217.5/145.9)","","","","","","",""
8681,"Document","Active","Thomas Huet","","Khirbet as-Sur","""Khirbet as-Sur"" lat=31.9053913225, lon=35.7120843404","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0108.tif","","KHIRBET AS-SUR: 570329 (217.5/145.9)","","","","","","",""
8680,"Document","Active","Thomas Huet","","Khirbet as-Sur","""Khirbet as-Sur"" lat=31.9053913225, lon=35.7120843404","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0107.tif","","KHIRBET AS-SUR: 570329 (217.5/145.9)","","","","","","",""
8679,"Document","Active","Thomas Huet","","Khirbet as-Sur","""Khirbet as-Sur"" lat=31.9053913225, lon=35.7120843404","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0106.tif","","KHIRBET AS-SUR: 570329 (217.5/145.9)","","","","","","",""
8678,"Document","Active","Thomas Huet","","Khirbet as-Sur","""Khirbet as-Sur"" lat=31.9053913225, lon=35.7120843404","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0105.tif","","KHIRBET AS-SUR: 570329 (217.5/145.9)","","","","","","",""
8677,"Document","Active","Thomas Huet","","Khirbet as-Sur","""Khirbet as-Sur"" lat=31.9053913225, lon=35.7120843404","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0104.tif","","KHIRBET AS-SUR: 570329 (217.5/145.9)","","","","","","",""
8676,"Document","Active","Thomas Huet","","Khirbet as-Sur","""Khirbet as-Sur"" lat=31.9053913225, lon=35.7120843404","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0103.tif","","KHIRBET AS-SUR: 570329 (217.5/145.9)","","","","","","",""
8675,"Document","Active","Thomas Huet","","Iraq el-Amir","""Iraq el-Amir"" lat=31.9127814429, lon=35.7519241346","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0102.tif","","IRAQ AL AMIR","","","","","","",""
8674,"Document","Active","Thomas Huet","","Iraq el-Amir","""Iraq el-Amir"" lat=31.9127814429, lon=35.7519241346","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0100.tif","","IRAQ AL AMIR","","","","","","",""
8673,"Document","Active","Thomas Huet","","Iraq el-Amir","""Iraq el-Amir"" lat=31.9127814429, lon=35.7519241346","","","","","","","2002-10-02 00:00:00","APAAME_20021002_DLK-0101.tif","","IRAQ AL AMIR","","","","","","",""
