"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0182033";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.97481 29.88018, 59.9752 29.88073, 59.9761 29.88025, 59.9756 29.87959, 59.97479 29.88009, 59.97481 29.88018))"
"EAMENA-0164904";"crvn";1;"caravanserail";"-";0;"POLYGON ((52.16268 34.74634, 52.16328 34.74622, 52.16307 34.74558, 52.16247 34.74575, 52.16268 34.74634))"
"EAMENA-0164906";"crvn";1;"caravanserail";"-";0;"POLYGON ((52.17928 34.75959, 52.17978 34.75943, 52.17959 34.75884, 52.17903 34.75905, 52.17928 34.75959))"
"EAMENA-0164905";"crvn";1;"caravanserail";"-";0;"POLYGON ((52.17654 34.76554, 52.17735 34.76569, 52.17757 34.76502, 52.17673 34.76487, 52.17654 34.76554))"
"EAMENA-0192281";"crvn";1;"caravanserail";"-";0;"POLYGON ((61.4023 30.77373, 61.4019 30.77371, 61.40194 30.77344, 61.40235 30.77345, 61.4023 30.77373))"
"EAMENA-0182054";"crvn";1;"caravanserail";"-";0;"POLYGON ((51.47564 33.09129, 51.47509 33.09166, 51.47466 33.09122, 51.47518 33.09126, 51.47564 33.09129))"
"EAMENA-0182056";"crvn";1;"caravanserail";"-";0;"POLYGON ((51.08336 35.4725, 51.08374 35.47208, 51.08422 35.47236, 51.08387 35.47277, 51.08336 35.4725))"
"EAMENA-0182058";"crvn";1;"caravanserail";"-";0;"POLYGON ((52.7309 35.25559, 52.73066 35.25505, 52.73129 35.25485, 52.73154 35.25539, 52.7309 35.25559))"
"EAMENA-0164899";"crvn";1;"caravanserail";"-";0;"POLYGON ((45.57927 34.51348, 45.57913 34.51289, 45.57983 34.51278, 45.58 34.51337, 45.57927 34.51348))"
"EAMENA-0164943";"crvn";1;"caravanserail";"-";0;"POLYGON ((51.81203 34.29898, 51.81259 34.29879, 51.81283 34.29925, 51.81226 34.29945, 51.81203 34.29898))"
"EAMENA-0164999";"crvn";1;"caravanserail";"-";0;"POLYGON ((47.43454 34.38407, 47.43536 34.38407, 47.43536 34.38482, 47.43453 34.38481, 47.43454 34.38407))"
"EAMENA-0207124";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.94736 30.26107, 60.94741 30.26081, 60.94792 30.26089, 60.94787 30.26114, 60.94736 30.26107))"
"EAMENA-0207205";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.76144 36.28172, 54.76178 36.28121, 54.7623 36.28145, 54.76197 36.28195, 54.76144 36.28172))"
"EAMENA-0207206";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.08309 35.39992, 53.08372 35.3998, 53.08388 35.40035, 53.08325 35.40047, 53.08309 35.39992))"
