ResourceID,Catalogue ID,Geometric Place Expression,Country Type,Information Resource Type
e0565634-bf50-469f-a19e-326412ce60e6,COD-004,POINT (31.27381 30.04115),Egypt,Photograph
b4005bb2-776b-46c6-8106-d12ee65fd506,COD-005,POINT (31.27337 30.0456),Egypt,Photograph
37acd9ea-a42c-48db-801a-40f682d0d579,COD-006,POINT (31.27401 30.04512),Egypt,Photograph
8ce939ee-3794-4c66-ad70-d8655ceef813,COD-007,POINT (31.27338 30.04541),Egypt,Photograph
8b88052c-0983-486d-adf0-63ec9e6e210a,COD-008,POINT (31.27392 30.04474),Egypt,Photograph
0e3ecb7b-6a97-401c-9ecd-7ebd0add9c2a,COD-009,POINT (31.2727 30.04546),Egypt,Photograph
0c2f8267-dbf3-4b6b-86ed-7962fd08be99,COD-010,POINT (31.27299 30.0449),Egypt,Photograph
8f2b5cf5-daf8-4a89-a1be-fec4277cad14,COD-011,POINT (31.27265 30.04496),Egypt,Photograph
d4ad1951-22ff-4a4c-9826-97f894757710,COD-012,POINT (31.273 30.04474),Egypt,Photograph
e104cb5e-c592-4033-abc1-837213d57d2b,COD-013,POINT (31.2734 30.04454),Egypt,Photograph
60961638-8e87-4286-bdc4-a5809829cea4,COD-014,POINT (31.27322 30.04446),Egypt,Photograph
ae082f28-442f-4ffc-91a6-53390c9fd042,COD-015,POINT (31.27372 30.04405),Egypt,Photograph
f69247db-70b3-4e2d-911c-cae8b946e4d3,COD-016,POINT (31.27485 30.04284),Egypt,Photograph
72cf7d5e-4049-49c5-bfe8-c6d450391399,COD-017,POINT (31.27262 30.04465),Egypt,Photograph
ba07007a-8aba-45e8-bc85-735ad9292c25,COD-018,POINT (31.27235 30.04395),Egypt,Photograph
283821db-f84a-493e-b4f5-ec1c0a5e9630,COD-019,POINT (31.27458 30.04256),Egypt,Photograph
3ffed3ef-002e-43da-99ab-1e2fce62b348,COD-020,POINT (31.2724 30.04388),Egypt,Photograph
faea2a09-8b5b-4f53-b13e-0ca4f1735c45,COD-021,POINT (31.27248 30.04349),Egypt,Photograph
2d91524f-b810-4e98-9972-603d660d3f7f,COD-022,POINT (31.27199 30.04335),Egypt,Photograph
22080be4-8ad9-4465-ade0-ea4603cd7226,COD-023,POINT (31.27196 30.04287),Egypt,Photograph
5445f243-3874-4fa3-aa2f-5348ca3fb700,COD-024,POINT (31.27208 30.04241),Egypt,Photograph
1ad2db56-08cb-4aed-9804-4586fb15fb1f,COD-025,POINT (31.26994 30.04343),Egypt,Photograph
fbca1d3d-b487-49bb-bc56-a7b788914187,COD-026,POINT (31.26983 30.0433),Egypt,Photograph
814804cc-6dcc-416b-9d18-bc4a7c7ca746,COD-027,POINT (31.27299 30.0414),Egypt,Photograph
802b2da1-d149-42c7-87de-915674a43b48,COD-028,POINT (31.27302 30.04113),Egypt,Photograph
226ce9a0-3a45-4efa-979b-71c8cd63ce4a,COD-029,POINT (31.27355 30.04074),Egypt,Photograph
233b2a8b-9ed6-48e6-b37d-f2756a2d96a8,COD-030,POINT (31.27105 30.0418),Egypt,Photograph
10bd6cd7-7f91-4a6f-b2da-823b3c253330,COD-031,POINT (31.27256 30.04044),Egypt,Photograph
7509b79a-db5d-469c-a067-48a0103a7268,COD-032,POINT (31.26903 30.04236),Egypt,Photograph
bf16a990-02ae-428a-b2a9-eebb01b91956,COD-033,POINT (31.26896 30.04237),Egypt,Photograph
8bf2803b-6958-4a39-a68f-219137fc70b0,COD-034,POINT (31.26938 30.04203),Egypt,Photograph
259121e9-96af-48a7-af16-d8e1c06d3f9e,COD-035,POINT (31.26961 30.0418),Egypt,Photograph
270388c0-bb78-43d5-bd06-3fa39f841692,COD-036,POINT (31.27065 30.04118),Egypt,Photograph
2455eb61-f4bc-47ce-b26d-a947b8d7cfe5,COD-037,POINT (31.2707 30.04115),Egypt,Photograph
1de97b18-70a0-44d3-90b0-07d22646e0c9,COD-038,POINT (31.27338 30.04109),Egypt,Photograph
052b0f80-cb6e-46e4-96b9-9de8afe46631,COD-039,POINT (31.27103 30.04091),Egypt,Photograph
b132255e-c346-47d7-b8b8-610bfe790df6,COD-040,POINT (31.26896 30.04178),Egypt,Photograph
a50d81df-bd29-466e-b04a-be05bfd85797,COD-041,POINT (31.26978 30.0412),Egypt,Photograph
fe434f54-9627-4846-88a4-dd37a2eff3e6,COD-042,POINT (31.26972 30.04101),Egypt,Photograph
03bdaf87-27e5-4256-8f20-0dae4d31c9e8,COD-043,POINT (31.27022 30.04095),Egypt,Photograph
035e3a89-189b-432f-86b3-94e93f851f4a,COD-044,POINT (31.27052 30.04069),Egypt,Photograph
a9947c63-7b33-4887-aa75-d06eca6dee40,COD-045,POINT (31.2706 30.04041),Egypt,Photograph
82030433-daf5-4105-86ff-c92d4b4fe749,COD-046,POINT (31.26973 30.04042),Egypt,Photograph
e61f558d-ef61-47ef-bf19-0c88f87c7c67,COD-047,POINT (31.2684 30.04145),Egypt,Photograph
113091c2-97c7-4ea6-80f7-307820808449,COD-048,POINT (31.26814 30.04095),Egypt,Photograph
1d494dcc-8a85-437a-ac85-25a6789ee4cc,COD-049,POINT (31.26778 30.04065),Egypt,Photograph
42679bb2-4cff-4d33-a9e4-622d96286925,COD-050,POINT (31.26928 30.03988),Egypt,Photograph
a88c46c0-9d7b-4777-b2e5-059d97babf3e,COD-051,POINT (31.26928 30.03988),Egypt,Photograph
6fb6a54d-6a24-431f-9853-014686d32df7,COD-052,POINT (31.27348 30.04391),Egypt,Photograph
bb3e607c-2b2d-45a7-addb-1d38104ed349,COD-053,POINT (31.27649 30.0497),Egypt,Photograph
1f9a2cb1-dd0d-43bb-983b-215a26b55b7a,COD-054,POINT (31.2754 30.04805),Egypt,Photograph
6164cb71-8d0b-431f-abc9-a4e006e76881,COD-055,POINT (31.27515 30.04808),Egypt,Photograph
18f5dac0-88ec-4969-8d0d-49e2c533e4a4,COD-056,POINT (31.27426 30.04497),Egypt,Photograph
fcd23e61-0a2a-45eb-aed8-2390ec3ba865,COD-057,POINT (31.27509 30.04778),Egypt,Photograph
467856c5-eb26-46ce-952a-5c9f8f7d6114,COD-058,POINT (31.27498 30.04744),Egypt,Photograph
da2d0f55-3b6f-49af-b9b7-a3392f2ce2fa,COD-059,POINT (31.27477 30.04706),Egypt,Photograph
3281de7f-d342-492e-87e7-df8258befb66,COD-060,POINT (31.27459 30.0471),Egypt,Photograph
be8e1d5d-8201-42d0-885c-68199ccfbda0,COD-061,POINT (31.27498 30.04639),Egypt,Photograph
c8eb9ed5-457d-499d-94c7-a9cb998c2528,COD-062,POINT (31.27453 30.04676),Egypt,Photograph
0883620d-fd05-4c14-83d8-e0d00f2851eb,COD-063,POINT (31.27436 30.04679),Egypt,Photograph
60a43370-cd00-4908-a536-0e7e1dbaaad8,COD-064,POINT (31.27433 30.04652),Egypt,Photograph
f10357ba-a8eb-467c-94e1-8636702a391d,COD-065,POINT (31.27414 30.04649),Egypt,Photograph
d871b5e7-e4ca-4674-b891-438544249e41,COD-066,POINT (31.27701 30.04979),Egypt,Photograph
2e35f149-5118-4b53-b09b-e130297ce8d2,COD-067,POINT (31.27433 30.04505),Egypt,Photograph
206300b1-bd2f-4a98-8d57-e4fdeb646221,COD-068,POINT (31.27426 30.04497),Egypt,Photograph
c97518fd-9c89-422c-8ecf-c1840411ad67,COD-069,POINT (31.27306 30.04431),Egypt,Photograph
6fcd45fd-f25b-42ca-9030-a45321bff03f,COD-070,POINT (31.27458 30.04294),Egypt,Photograph
8da099e9-6798-49e2-8af7-24e805493ae1,COD-071,POINT (31.27114 30.04494),Egypt,Photograph
e083b178-ffd9-4f90-aaa6-945fd0b9d454,COD-072,POINT (31.27184 30.04326),Egypt,Photograph
e69752bf-972a-4ef4-91be-33af9851166c,COD-073,POINT (31.27305 30.04109),Egypt,Photograph
18abbca8-1065-41b0-98ea-112391198567,COD-074,POINT (31.27153 30.04199),Egypt,Photograph
9c4f94a6-e8b7-4403-a337-ffe67ecc55e3,COD-075,POINT (31.27134 30.04213),Egypt,Photograph
cc193049-0818-44f5-b78f-4c4d3b31182d,COD-076,POINT (31.27021 30.04104),Egypt,Photograph
539240c9-7a11-4066-a418-26c8e8efa280,COD-077,POINT (31.27866 30.04195),Egypt,Photograph
f24616db-f3a0-45a6-a73c-f2c4f62d7fe8,COD-078,POINT (31.27197 30.03951),Egypt,Photograph
fbd127f1-97b7-4f0a-9ac8-1aac1e48a9b0,COD-079,POINT (31.27169 30.03934),Egypt,Photograph
308f7cb6-8f22-412f-9cff-5b91a7097ce9,COD-080,POINT (31.2715 30.03889),Egypt,Photograph
f1fe702c-e4ee-41ce-8ef3-145e9c1e3a01,COD-081,POINT (31.27119 30.03867),Egypt,Photograph
4773f02d-254e-4283-b680-2038687ee079,COD-082,POINT (31.27069 30.03899),Egypt,Photograph
a8840186-0aaa-4184-9127-44b285be2010,COD-083,POINT (31.26993 30.04064),Egypt,Photograph
075db162-b3b7-458f-9749-6c81268985d9,COD-084,POINT (31.26825 30.04137),Egypt,Photograph
a26b558f-da19-448a-8ab3-ddfebd0de724,COD-085,POINT (31.2682 30.04132),Egypt,Photograph
a5f71fd3-eb91-4294-85e1-26d5c3647de6,COD-086,POINT (31.26811 30.04111),Egypt,Photograph
1cc7d525-01d3-4468-9489-88c927f1da83,COD-087,POINT (31.26797 30.04104),Egypt,Photograph
73362985-6d7c-407c-a2f4-0746b42cfe0c,COD-088,POINT (31.26791 30.04077),Egypt,Photograph
b7bcd32a-16e8-47df-95ee-6c366674bb4f,COD-089,POINT (31.26897 30.03946),Egypt,Photograph
b076d8ce-9642-4e5f-9547-e846ac12a5ab,COD-090,POINT (31.27095 30.04102),Egypt,Photograph
d1b489b7-8886-47d2-9490-9f584a1d0e7b,COD-091,POINT (31.27362 30.04388),Egypt,Photograph
eae2d112-b9ef-467b-9f99-db2c94abeff2,COD-001,POINT (31.27614 30.0492),Egypt,Photograph
bb0edde2-9b8e-436b-b209-1ea6198a6f73,COD-002,POINT (31.27589 30.04909),Egypt,Photograph
5a3ac344-17fa-4bb7-b119-501f3cada0d9,COD-003,POINT (31.27518 30.04774),Egypt,Photograph
