ID,unitnumber,picture,filename,datetaken,takenby,description
160,7,DSC_2428s.JPG,DSC_2428s.JPG,19 May 2022,Amr Abotawila,Street corner view of the N and E elevations
161,7,DSC_2429s.JPG,DSC_2429s.JPG,19 May 2022,Amr Abotawila,"Street corner view featuring a sabil, looking NE."
162,7,DSC_2430s.JPG,DSC_2430s.JPG,19 May 2022,Amr Abotawila,Window in the main (E) façade
163,7,DSC_2431s.JPG,DSC_2431s.JPG,19 May 2022,Amr Abotawila,"Central entrance gate, E side"
164,7,DSC_2432s.JPG,DSC_2432s.JPG,19 May 2022,Amr Abotawila,Inscription plaque mounted right of the E. gateway
165,7,DSC_2433s.JPG,DSC_2433s.JPG,19 May 2022,Amr Abotawila,"View of the courtyard , looking E."
166,7,DSC_2434s.JPG,DSC_2434s.JPG,19 May 2022,Amr Abotawila,"View of the courtyard, looking S towards cenotaphs"
167,7,DSC_2435s.JPG,DSC_2435s.JPG,19 May 2022,Amr Abotawila,Marble inscription plaque mounted on side wall
168,7,DSC_2436s.JPG,DSC_2436s.JPG,19 May 2022,Amr Abotawila,"View of the elevated burial space, Looking SE."
169,7,DSC_2437s.JPG,DSC_2437s.JPG,19 May 2022,Amr Abotawila,"View of the courtyard, looking NE"
170,7,DSC_2438s.JPG,DSC_2438s.JPG,19 May 2022,Amr Abotawila,"Western marble cenotaph, looking S"
171,7,DSC_2439s.JPG,DSC_2439s.JPG,19 May 2022,Amr Abotawila,"Central marble cenotaph, looking S"
172,7,DSC_2440s.JPG,DSC_2440s.JPG,19 May 2022,Amr Abotawila,"Eastern marble cenotaph, looking S"
173,7,DSC_2441s.JPG,DSC_2441s.JPG,19 May 2022,Amr Abotawila,View of the canopy located in the SW. quarter
174,7,DSC_2442s.JPG,DSC_2442s.JPG,19 May 2022,Amr Abotawila,"View of the canopy's wooden supports, looking N."
175,7,DSC_2443s.JPG,DSC_2443s.JPG,19 May 2022,Amr Abotawila,"Central marble cenotaph, looking NE"
176,7,DSC_2444s.JPG,DSC_2444s.JPG,19 May 2022,Amr Abotawila,Calligraphic panel on central cenotaph
177,7,DSC_2445s.JPG,DSC_2445s.JPG,19 May 2022,Amr Abotawila,"Central cenotaph, W side"
178,7,DSC_2446s.JPG,DSC_2446s.JPG,19 May 2022,Amr Abotawila,Column by the S. wall
179,7,DSC_2447s.JPG,DSC_2447s.JPG,19 May 2022,Amr Abotawila,"View of the three marble cenotaphs, looking E."
180,7,DSC_2448s.JPG,DSC_2448s.JPG,19 May 2022,Amr Abotawila,"View of the three marble cenotaphs, looking SE."
181,7,DSC_2449s.JPG,DSC_2449s.JPG,19 May 2022,Amr Abotawila,Marble inscription panels mounted on W wall
182,7,DSC_2450s.JPG,DSC_2450s.JPG,19 May 2022,Amr Abotawila,Calligraphic stela (shahid) on E cenotaph
183,7,DSC_2451s.JPG,DSC_2451s.JPG,19 May 2022,Amr Abotawila,Calligraphic inscriptionon E cenotaph
184,7,DSC_2452s.JPG,DSC_2452s.JPG,19 May 2022,Amr Abotawila,Calligraphic stela (shahid) on central cenotaph
185,7,DSC_2456s.JPG,DSC_2456s.JPG,19 May 2022,Amr Abotawila,"View of the shaded burial zone, looking E."
186,7,DSC_2457s.JPG,DSC_2457s.JPG,19 May 2022,Amr Abotawila,"View of the shaded burial zone, looking E."
187,7,DSC_2458s.JPG,DSC_2458s.JPG,19 May 2022,Amr Abotawila,Calligraphic stela (shahid) on W cenotaph
188,7,DSC_2460s.JPG,DSC_2460s.JPG,19 May 2022,Amr Abotawila,"View of the gateway to the courtyard, looking E."
189,7,DSC_2462s.JPG,DSC_2462s.JPG,19 May 2022,Amr Abotawila,"Doorway in the courtyard, looking N."
190,7,DSC_2463s.JPG,DSC_2463s.JPG,19 May 2022,Amr Abotawila,"Doorway in the courtyard, looking E."
191,7,DSC_2464s.JPG,DSC_2464s.JPG,19 May 2022,Amr Abotawila,"View of a window, looking N."
192,7,DSC_2465s.JPG,DSC_2465s.JPG,19 May 2022,Amr Abotawila,"View of the open elevated burial space, looking N."
