period,label,spatial_coverage,start,stop,authority,source,publication_year,broader_periods,narrower_periods
http://n2t.net/ark:/99152/p08m57hj2rx,La Tène C,,-0274,-0119,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h3gcw,La Tène D,,-0119,-0019,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hz3f7,La Tène D1,,-0119,-0079,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h2w97,La Tène D2,,-0079,-0019,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h9dkh,Silla Kingdom,,-0056,0668,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hxw49,Koguryo Kingdom,,-0036,0668,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h222w,Paekche Kingdom,,-0017,0663,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hbqpx,Sasanian,,0201,0700,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hktmp,Unified Silla Dynasty,,0668,0935,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h36r4,Kushano-Sasanian,Afghanistan,0233,0370,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hst9c,Western Turks,Afghanistan,0501,0700,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57h9m9p,Alchon,Afghanistan and Pakistan | Pakistan | Afghanistan,0301,0500,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hppss,Indo-Greek,Afghanistan and north-western Pakistan | Pakistan | Afghanistan,-0179,0010,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hfwdj,Hun,Afghanistan and northern India | Pakistan | Afghanistan | India,0301,0700,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
http://n2t.net/ark:/99152/p08m57hr5kk,Greco-Bactrian,"Afghanistan north of the Hindu Kush, Central Asian Amu Darya region of Uzbekistan and Tajikistan | Turkmenistan | Uzbekistan | Afghanistan | Tajikistan",-0249,-0144,http://n2t.net/ark:/99152/p08m57h,British Museum,,,
