"id"	"hp.1"
"1"	"1"	"EAMENA-0231510"
"2"	"2"	"EAMENA-0231535"
"3"	"3"	"EAMENA-0231536"
"4"	"4"	"EAMENA-0194697"
"5"	"5"	"EAMENA-0194695"
"6"	"6"	"EAMENA-0194764"
"7"	"7"	"EAMENA-0194707"
"8"	"8"	"EAMENA-0194767"
"9"	"9"	"EAMENA-0194772"
"10"	"10"	"EAMENA-0194778"
"11"	"11"	"EAMENA-0192686"
"12"	"12"	"EAMENA-0192622"
"13"	"13"	"EAMENA-0192616"
"14"	"14"	"EAMENA-0192668"
"15"	"15"	"EAMENA-0194759"
"16"	"16"	"EAMENA-0192599"
"17"	"17"	"EAMENA-0192603"
"18"	"18"	"EAMENA-0192604"
"19"	"19"	"EAMENA-0192610"
"20"	"20"	"EAMENA-0192623"
"21"	"21"	"EAMENA-0192620"
"22"	"22"	"EAMENA-0192629"
"23"	"23"	"EAMENA-0192637"
"24"	"24"	"EAMENA-0192639"
"25"	"25"	"EAMENA-0192641"
"26"	"26"	"EAMENA-0192644"
"27"	"27"	"EAMENA-0192647"
"28"	"28"	"EAMENA-0192660"
"29"	"29"	"EAMENA-0192688"
"30"	"30"	"EAMENA-0192682"
"31"	"31"	"EAMENA-0192697"
"32"	"32"	"EAMENA-0192700"
"33"	"33"	"EAMENA-0182057"
"34"	"34"	"EAMENA-0192698"
"35"	"35"	"EAMENA-0192675"
"36"	"36"	"EAMENA-0192695"
"37"	"37"	"EAMENA-0194757"
"38"	"38"	"EAMENA-0192600"
"39"	"39"	"EAMENA-0192605"
"40"	"40"	"EAMENA-0192608"
"41"	"41"	"EAMENA-0192612"
"42"	"42"	"EAMENA-0192609"
"43"	"43"	"EAMENA-0192613"
"44"	"44"	"EAMENA-0192621"
"45"	"45"	"EAMENA-0192624"
"46"	"46"	"EAMENA-0192625"
"47"	"47"	"EAMENA-0192628"
"48"	"48"	"EAMENA-0192634"
"49"	"49"	"EAMENA-0192632"
"50"	"50"	"EAMENA-0192633"
"51"	"51"	"EAMENA-0192635"
"52"	"52"	"EAMENA-0192638"
"53"	"53"	"EAMENA-0192661"
"54"	"54"	"EAMENA-0192643"
"55"	"55"	"EAMENA-0192646"
"56"	"56"	"EAMENA-0192652"
"57"	"57"	"EAMENA-0192650"
"58"	"58"	"EAMENA-0192653"
"59"	"59"	"EAMENA-0192657"
"60"	"60"	"EAMENA-0192645"
"61"	"61"	"EAMENA-0192665"
"62"	"62"	"EAMENA-0192666"
"63"	"63"	"EAMENA-0192669"
"64"	"64"	"EAMENA-0192672"
"65"	"65"	"EAMENA-0192677"
"66"	"66"	"EAMENA-0192679"
"67"	"67"	"EAMENA-0192680"
"68"	"68"	"EAMENA-0192683"
"69"	"69"	"EAMENA-0192684"
"70"	"70"	"EAMENA-0192663"
"71"	"71"	"EAMENA-0192693"
"72"	"72"	"EAMENA-0192696"
"73"	"73"	"EAMENA-0192692"
"74"	"74"	"EAMENA-0194706"
"75"	"75"	"EAMENA-0194775"
"76"	"76"	"EAMENA-0194777"
"77"	"77"	"EAMENA-0182058"
"78"	"78"	"EAMENA-0207258"
"79"	"79"	"EAMENA-0207207"
"80"	"80"	"EAMENA-0207213"
"81"	"81"	"EAMENA-0207495"
"82"	"82"	"EAMENA-0192673"
"83"	"83"	"EAMENA-0192626"
"84"	"84"	"EAMENA-0192611"
"85"	"85"	"EAMENA-0192614"
"86"	"86"	"EAMENA-0192619"
"87"	"87"	"EAMENA-0192627"
"88"	"88"	"EAMENA-0192630"
"89"	"89"	"EAMENA-0192649"
"90"	"90"	"EAMENA-0192648"
"91"	"91"	"EAMENA-0192606"
"92"	"92"	"EAMENA-0192676"
"93"	"93"	"EAMENA-0192690"
"94"	"94"	"EAMENA-0192685"
"95"	"95"	"EAMENA-0192691"
"96"	"96"	"EAMENA-0192670"
"97"	"97"	"EAMENA-0194693"
"98"	"98"	"EAMENA-0194717"
"99"	"99"	"EAMENA-0194755"
"100"	"100"	"EAMENA-0194760"
"101"	"101"	"EAMENA-0194774"
"102"	"102"	"EAMENA-0194694"
"103"	"103"	"EAMENA-0194758"
"104"	"104"	"EAMENA-0194703"
"105"	"105"	"EAMENA-0231506"
"106"	"106"	"EAMENA-0231507"
"107"	"107"	"EAMENA-0231508"
"108"	"108"	"EAMENA-0231509"
"109"	"109"	"EAMENA-0231512"
"110"	"110"	"EAMENA-0231513"
"111"	"111"	"EAMENA-0231514"
"112"	"112"	"EAMENA-0231515"
"113"	"113"	"EAMENA-0231516"
"114"	"114"	"EAMENA-0207209"
"115"	"115"	"EAMENA-0192602"
"116"	"116"	"EAMENA-0207212"
"117"	"117"	"EAMENA-0207257"
"118"	"118"	"EAMENA-0207244"
"119"	"119"	"EAMENA-0207204"
"120"	"120"	"EAMENA-0207208"
"121"	"121"	"EAMENA-0207217"
"122"	"122"	"EAMENA-0207221"
"123"	"123"	"EAMENA-0207256"
"124"	"124"	"EAMENA-0207259"
"125"	"125"	"EAMENA-0207254"
"126"	"126"	"EAMENA-0207480"
"127"	"127"	"EAMENA-0207490"
"128"	"128"	"EAMENA-0207493"
"129"	"129"	"EAMENA-0207496"
"130"	"130"	"EAMENA-0194773"
"131"	"131"	"EAMENA-0207220"
"132"	"132"	"EAMENA-0192598"
"133"	"133"	"EAMENA-0192658"
"134"	"134"	"EAMENA-0192671"
"135"	"135"	"EAMENA-0192601"
"136"	"136"	"EAMENA-0192636"
"137"	"137"	"EAMENA-0192642"
"138"	"138"	"EAMENA-0192651"
"139"	"139"	"EAMENA-0192655"
"140"	"140"	"EAMENA-0192664"
"141"	"141"	"EAMENA-0192674"
"142"	"142"	"EAMENA-0192687"
"143"	"143"	"EAMENA-0207211"
"144"	"144"	"EAMENA-0194704"
"145"	"145"	"EAMENA-0194770"
"146"	"146"	"EAMENA-0192615"
"147"	"147"	"EAMENA-0192659"
"148"	"148"	"EAMENA-0192689"
"149"	"149"	"EAMENA-0207205"
"150"	"150"	"EAMENA-0207497"
"151"	"151"	"EAMENA-0207206"
