Grid ID,Grid Square Geometric Place Expression,resourceid
E34N31-12,"GEOMETRYCOLLECTION (POLYGON ((34.25 31, 34.25 31.25, 34.5 31.25, 34.5 31, 34.25 31)))",09107442-c267-44cb-806f-d66ea5d2d70b
E34N31-32,"GEOMETRYCOLLECTION (POLYGON ((34.25 31.5, 34.25 31.75, 34.5 31.75, 34.5 31.5, 34.25 31.5)))",c4e8738c-c3a5-4aba-a3f5-31f3890150e0
E34N31-44,"GEOMETRYCOLLECTION (POLYGON ((34.75 31.75, 34.75 32, 35 32, 35 31.75, 34.75 31.75)))",6357c777-0c75-4b13-b17c-86e1dcad4b11
E34N32-22,"GEOMETRYCOLLECTION (POLYGON ((34.75 32, 34.75 32.25, 35 32.25, 35 32, 34.75 32)))",c077f029-3185-4177-bac5-81f14846595f
E35N31-34,"GEOMETRYCOLLECTION (POLYGON ((35.25 31.75, 35.25 32, 35.5 32, 35.5 31.75, 35.25 31.75)))",ab1ffdfe-2e6e-4502-8080-ba2d705af546
E35N32-12,"GEOMETRYCOLLECTION (POLYGON ((35.25 32, 35.25 32.25, 35.5 32.25, 35.5 32, 35.25 32)))",5274cb77-b93b-465c-9323-7e5deda2d01c
E35N31-23,"GEOMETRYCOLLECTION (POLYGON ((35.5 31.25, 35.5 31.5, 35.75 31.5, 35.75 31.25, 35.5 31.25)))",8795376c-f554-453e-a16a-7fe1824a6213
E35N31-41,"GEOMETRYCOLLECTION (POLYGON ((35.5 31.5, 35.5 31.75, 35.75 31.75, 35.75 31.5, 35.5 31.5)))",4e68523c-7d0b-41aa-8ea8-a9fcca3f0c95
E34N31-24,"GEOMETRYCOLLECTION (POLYGON ((34.75 31.25, 34.75 31.5, 35 31.5, 35 31.25, 34.75 31.25)))",db704a72-ddf0-4139-963c-2eb5cccb3b0e
E34N31-13,"GEOMETRYCOLLECTION (POLYGON ((34 31.25, 34 31.5, 34.25 31.5, 34.25 31.25, 34 31.25)))",36997a90-8e1c-4693-9738-1af1b428a07c
E34N31-14,"GEOMETRYCOLLECTION (POLYGON ((34.25 31.25, 34.25 31.5, 34.5 31.5, 34.5 31.25, 34.25 31.25)))",9786a8b2-4f69-46c9-a0b0-656c26e5f908
E34N31-42,"GEOMETRYCOLLECTION (POLYGON ((34.75 31.5, 34.75 31.75, 35 31.75, 35 31.5, 34.75 31.5)))",8b54b4d1-2077-4594-b3e6-59b5c9bbf3ae
E35N32-32,"GEOMETRYCOLLECTION (POLYGON ((35.25 32.5, 35.25 32.75, 35.5 32.75, 35.5 32.5, 35.25 32.5)))",e83562bb-a0ae-49fa-a3bb-e98c50de0d25
E35N31-43,"GEOMETRYCOLLECTION (POLYGON ((35.5 31.75, 35.5 32, 35.75 32, 35.75 31.75, 35.5 31.75)))",cda7a627-9803-453e-a663-d71096abab19
E34N31-31,"GEOMETRYCOLLECTION (POLYGON ((34 31.5, 34 31.75, 34.25 31.75, 34.25 31.5, 34 31.5)))",da50e636-18e2-49be-9c5d-eee4c54d9cfc
E34N31-23,"GEOMETRYCOLLECTION (POLYGON ((34.5 31.25, 34.5 31.5, 34.75 31.5, 34.75 31.25, 34.5 31.25)))",440f8bd3-9602-4d19-b290-370a79ef39e9
E35N32-31,"GEOMETRYCOLLECTION (POLYGON ((35 32.5, 35 32.75, 35.25 32.75, 35.25 32.5, 35 32.5)))",b7f62b9a-b435-4d72-b910-3cf4442ba3bb
E35N31-13,"GEOMETRYCOLLECTION (POLYGON ((35 31.25, 35 31.5, 35.25 31.5, 35.25 31.25, 35 31.25)))",b795a0d2-5da9-469e-9eb0-737b2571c85f
E35N31-33,"GEOMETRYCOLLECTION (POLYGON ((35 31.75, 35 32, 35.25 32, 35.25 31.75, 35 31.75)))",6f0807ce-b01f-4039-b750-0f5a8aa2573e
E35N32-11,"GEOMETRYCOLLECTION (POLYGON ((35 32, 35 32.25, 35.25 32.25, 35.25 32, 35 32)))",ff3172e4-fb3a-4037-8bd2-4099cf07d442
