Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
"GEOMETRYCOLLECTION (POLYGON ((34.99929 29.533862, 34.9989 29.533863, 34.998853 29.533772, 34.999037 29.533556, 34.99932 29.533563, 34.99929 29.533862)))","2018-04-11, 2018-04-11",2018-04-11,None,Archaeological/Heritage Activity,"EAMENA-0179830, EAMENA-0185785",,Possible,"Definite, Possible",,,,"Maher Alamreen, Maher Alamreen",,None,None,,,None,None,None,,,,,Water and/or Wind Action,,None,None,Negative/Cut/Dug Feature,Semi-circular,,Poor,"Archaeological Assessment/Ground Survey, Condition Assessment (Image Interpretation)",High,,,Building and Development,,"Government Authority/Staff, Government Authority/Staff",,"Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), ",Religious,"Erosion/Deterioration, Earth Displacement, Structural Alteration, Water Damage, Loss/Removal of Archaeological Material",", Buffer Polygon",Definite,Definite,,,,,,Cob/Wet Applied Mud,Baked Brick,Clay,,,,,,Jordan,,,,"None, None","High, High, High, High, High",,,Archaeological Site,,"62ba81b7-169a-424e-9a6a-1ef7dc2f48a0, CPF Jordan Training","Definite, Definite",,,,"None, Maher Alamreen",Maher Alamreen,,"Definite, Definite",Road/Track,Definite,E35N29-31,"Roman Imperial, Early (Levant/Mesopotamia)",Natural,,,,Immediate Action (Emergency),,,Early roman church,Plain/Plateau,31-60%,,,"Old ArchesID, Comments",Designation,,None,2018-04-11,"Conservation, Restoration, and Maintenance Activities",,,,,d6e909f6-38d3-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((34.980895 29.547407, 34.980116 29.547706, 34.979959 29.547148, 34.97993 29.546497, 34.980542 29.546469, 34.980746 29.546919, 34.980895 29.547407)))","2018-04-11, 2018-04-11",2018-04-11,None,"Management Planning and Preventative Activity, Management Planning and Preventative Activity","EAMENA-0179831, EAMENA-0184752",,Possible,Definite,"Adjoining, Adjoining, Adjoining","11 to 20, 11 to 20, 11 to 20",,"Maher Alamreen, Maher Alamreen",,None,None,,2020-11-20,None,None,None,2017-05-17,,"Mesotidal (2-4m), Mesotidal (2-4m)",,Water Action,,None,None,Negative/Cut/Dug Feature,Rectangular/Square,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment/Ground Survey",High,,Field Survey/Excavation,Natural,"11 to 20, 1, 6 to 10","Government Authority/Staff, Government Authority/Staff",,Chalcolithic (Levant),"Industrial/Productive, Trade/Commercial","Erosion/Deterioration, Water Damage","Buffer Polygon, ",Definite,"High, High",,,,None,Governorate,Cob/Wet Applied Mud,Mud/Adobe (Unshaped),Clay,kilometres (km),5,"Building, Boundary/Barrier, Boundary/Barrier","High, High, Medium","Rectangular/Square, Rectangular/Square, Rectangular/Square",Jordan,,"High, High, High","Bank/Wall, Structure, Waterfront","None, None","High, High",,"Protected, Protected",Archaeological Site,Built-up,"c98491b6-bf3d-4788-9042-2a0164ce5abd, CPF Jordan Training","Definite, Definite",,,Area,None,,,"Definite, Definite",Water Action,Definite,E35N29-31,"Chalcolithic, Late (Levant)",Natural,"Protected (<10km), Protected (<10km)",,,Within 1 to 2 years (High),,Managed Site,"None, Tell khalefh","Bay/Inlet, Ocean/Sea Shore, Coast (linear/straight shore)",11-30%,,2020-11-20,"Old ArchesID, Comments",", Designation",,None,2018-04-11,"Preventative and Mitigation Activities, Conservation, Restoration, and Maintenance Activities",,,,,ec123e56-38d3-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((34.980895 29.547407, 34.980116 29.547706, 34.979959 29.547148, 34.97993 29.546497, 34.980542 29.546469, 34.980746 29.546919, 34.980895 29.547407)))","2018-04-11, 2018-04-11",2018-04-11,None,"Management Planning and Preventative Activity, Management Planning and Preventative Activity","EAMENA-0184752, EAMENA-0179835",,Possible,Definite,"Adjoining, Adjoining, Adjoining","11 to 20, 11 to 20, 11 to 20",,"Maher Alamreen, Maher Alamreen",,None,None,,2020-11-20,None,None,None,2017-05-17,,"Mesotidal (2-4m), Mesotidal (2-4m)",,Water Action,,None,None,Negative/Cut/Dug Feature,Rectangular/Square,,Poor,"Archaeological Assessment/Ground Survey, Condition Assessment (Image Interpretation)",High,,Field Survey/Excavation,Natural,"6 to 10, 11 to 20, 1","Government Authority/Staff, Government Authority/Staff",,Chalcolithic (Levant),"Industrial/Productive, Trade/Commercial","Erosion/Deterioration, Water Damage","Buffer Polygon, ",Definite,"High, High",,,,None,Governorate,Cob/Wet Applied Mud,Mud/Adobe (Unshaped),Clay,kilometres (km),5,"Boundary/Barrier, Building, Boundary/Barrier","High, High, Medium","Rectangular/Square, Rectangular/Square, Rectangular/Square",Jordan,,"High, High, High","Bank/Wall, Structure, Waterfront","None, None","High, High",,"Protected, Protected",Archaeological Site,Built-up,"c98491b6-bf3d-4788-9042-2a0164ce5abd, CPF Jordan Training","Definite, Definite",,,Area,None,,,"Definite, Definite",Water Action,Definite,E35N29-31,"Chalcolithic, Late (Levant)",Natural,"Protected (<10km), Protected (<10km)",,,Within 1 to 2 years (High),,Managed Site,"None, Tell khalefh","Coast (linear/straight shore), Bay/Inlet, Ocean/Sea Shore",11-30%,,2020-11-20,"Old ArchesID, Comments",", Designation",,None,2018-04-11,"Preventative and Mitigation Activities, Conservation, Restoration, and Maintenance Activities",,,,,b7c8a362-38db-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((34.997607 29.530905, 34.997258 29.530685, 34.997385 29.530058, 34.998151 29.529588, 34.998623 29.529956, 34.9982 29.530443, 34.997607 29.530905)))","2017-09-01, 2018-04-10",2018-04-10,None,Renewal of Protective Coating,"EAMENA-0179836, EAMENA-0184445",Biological Mean Sea Level,"Planned, Possible, Possible","Definite, Probable","Dispersed, Dispersed","11 to 20, 11 to 20",,"Maher Alamreen, Maher Alamreen",,None,None,,2017-10-01,None,None,None,2017-09-13,10,Mesotidal (2-4m),,"Clearance (Bulldozing/Levelling), Coastal Erosion/Retreat, Seismic Activity",,,None,"Negative/Cut/Dug Feature, Negative/Cut/Dug Feature",Polygonal,650 AD,Poor,"Archaeological Assessment/Ground Survey, Archaeological Assessment/Ground Survey",High,None,Field Survey/Excavation,"Natural, Building and Development, Trade/Commercial Use","1, 2 to 5","Government Authority/Staff, Government Authority/Staff",1150 AD,"Islamic (Levant/Arabia), Islamic (Levant/Arabia)",Trade/Commercial,"Earth Displacement, Collapse/Structural Damage, Artefact Displacement",,"Definite, Probable",High,None,Jordan - Aqaba city ,Primary,Jordan - Aqaba city ,Governorate,Cob/Wet Applied Mud,Rubble Stone,Clay,kilometres (km),4,"Maritime Transport Container, Anchorage","High, ","Rectangular/Square, Rectangular/Square",Jordan,,"High, High","Multi-Component, ","None, None","High, High, High",10,Swell,Archaeological Site,Open Water,"<p>it&#39;s an old islamic port ( Umayyad and Abbasid period )</p>
, a436192d-fe66-44b9-b60f-f96396f2a926, CPF Jordan Training",High,None,,Area,"None, None","Maher Alamreen, Maher Alamreen",,High,Water Action,"Definite, Definite",E35N29-31,"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)","Building and Development, Natural, Natural",Protected (<10km),,,Within 1 to 2 years (High),,Managed Site,Ayla Port,"Beach, Coastal Cliff, Beach, Ocean/Sea Shore",31-60%,None,2017-09-01,"General Description, Old ArchesID, Comments",Designation,,None,2018-04-10,Preventative and Mitigation Activities,None,None,None,,cd73e96a-38db-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((35.001711 29.52175, 35.001733 29.521573, 35.001223 29.521461, 35.00118 29.521634, 35.001711 29.52175)))",2018-04-10,2020-11-20,2015-02-11,Archaeological/Heritage Activity,"EAMENA-0179837, EAMENA-0186082",,Possible,Definite,,,,Maher Alamreen,,2015-02-11,2020-11-20,,None,2015-02-11,2015-02-11,2020-11-20,,,,,Water and/or Wind Action,,None,Maher Alamreen,Positive/Built Feature,Rectangular/Square,1916 ad,Good,Archaeological Assessment/Ground Survey,Medium,None,,"Management and Institutional Factors, Building and Development",1,Government Authority/Staff,2020,Contemporary Islamic (MENA),"Domestic, Status/Display/Monumental",Water Damage,Buffer Polygon,Definite,"Definite, Definite",,,,,,Cob/Wet Applied Mud,Stone (Roughly Cut),Clay,,,Government/Administrative Building,High,,Jordan,,High,Multi-Component,None,High,,,Archaeological Site,,"CPF Jordan Training, 88978483-44b2-472c-8f23-fba0dea7668e, None",Definite,None,,,None,None,,Definite,Water and/or Wind Action,"Definite, Definite",E35N29-31,First World War (MENA),Natural,,,,Within 6 months to 1 year (Urgent),,Managed Site,Alshuref hussen house,Ocean/Sea Shore,1-10%,None,1990-01-01,"Comments, Old ArchesID, Primary",Designation,,None,2020-11-20,"Conservation, Restoration, and Maintenance Activities",2020,None,1916,,f854ba4c-38db-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((34.980895 29.547407, 34.980116 29.547706, 34.979959 29.547148, 34.97993 29.546497, 34.980542 29.546469, 34.980746 29.546919, 34.980895 29.547407)))","2018-04-11, 2018-04-11",2018-04-11,None,"Management Planning and Preventative Activity, Management Planning and Preventative Activity","EAMENA-0179841, EAMENA-0184752",,Possible,Definite,"Adjoining, Adjoining, Adjoining","11 to 20, 11 to 20, 11 to 20",,"Maher Alamreen, Maher Alamreen",,None,None,,2020-11-20,None,None,None,2017-05-17,,"Mesotidal (2-4m), Mesotidal (2-4m)",,Water Action,,None,None,Negative/Cut/Dug Feature,Rectangular/Square,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment/Ground Survey",High,,Field Survey/Excavation,Natural,"6 to 10, 11 to 20, 1","Government Authority/Staff, Government Authority/Staff",,Chalcolithic (Levant),"Industrial/Productive, Trade/Commercial","Erosion/Deterioration, Water Damage","Buffer Polygon, ",Definite,"High, High",,,,None,Governorate,Cob/Wet Applied Mud,Mud/Adobe (Unshaped),Clay,kilometres (km),5,"Boundary/Barrier, Building, Boundary/Barrier","High, High, Medium","Rectangular/Square, Rectangular/Square, Rectangular/Square",Jordan,,"High, High, High","Bank/Wall, Structure, Waterfront","None, None","High, High",,"Protected, Protected",Archaeological Site,Built-up,"c98491b6-bf3d-4788-9042-2a0164ce5abd, CPF Jordan Training","Definite, Definite",,,Area,None,,,"Definite, Definite",Water Action,Definite,E35N29-31,"Chalcolithic, Late (Levant)",Natural,"Protected (<10km), Protected (<10km)",,,Within 1 to 2 years (High),,Managed Site,"None, Tell khalefh","Coast (linear/straight shore), Bay/Inlet, Ocean/Sea Shore",11-30%,,2020-11-20,"Old ArchesID, Comments",", Designation",,None,2018-04-11,"Preventative and Mitigation Activities, Conservation, Restoration, and Maintenance Activities",,,,,0a6528da-3985-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((35.002478 29.521668, 35.002486 29.521754, 35.002421 29.521841, 35.001775 29.521833, 35.001735 29.521212, 35.002435 29.521186, 35.002478 29.521668)))","2018-04-10, 2018-04-10","None, None, None, None, 2018-04-10","None, None, None, None, None","Development of Conservation and Management Plan, Conservation Activity","EAMENA-0179842, EAMENA-0185697",,"Possible, Possible",Definite,,,,"Maher Alamreen, Maher Alamreen",,"None, None, None, None, None","None, None, None, None, None",,,"None, None, None, None, None","None, None, None, None, None","None, None, None, None, None",,,,,"Clearance (Unclassified), Temperature/Humidity Change",,,"None, None, None, None, None",Positive/Built Feature,Rectangular/Square,,Good,"Condition Assessment (Image Interpretation), Archaeological Assessment/Ground Survey","High, High, High, High, Definite",,,", Natural",,"Government Authority/Staff, Government Authority/Staff",,Islamic (Levant/Arabia),"Defensive/Fortification, Domestic","Erosion/Deterioration, Earth Displacement, Collapse/Structural Damage, Water Damage",,Definite,"Definite, Definite",,Aqaba Governate ,Primary,Aqaba governate ,Governorate,,,,,,,,,Jordan,,,,"None, None","High, Definite, Definite, Definite",,,Archaeological Site,,"587bba55-cdf2-423e-bcd4-bc9bf9978fd2, CPF Jordan Training",Definite,,,,None,None,,Definite,"Lack of Maintenance/Management/Legal Measures and Activities, Water Action, Coastal Erosion/Retreat, Temperature/Humidity Change, Temperature/Humidity Change",Definite,E35N29-31,"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)","Building and Development, Natural",,,,Within 1 to 2 years (High),,,Aqaba castel,Ocean/Sea Shore,1-10%,,,"Old ArchesID, Comments",Designation,,None,"None, None, None, None, 2018-04-10","Conservation, Restoration, and Maintenance Activities, Preventative and Mitigation Activities",,,,,1851870e-3985-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((34.99929 29.533862, 34.9989 29.533863, 34.998853 29.533772, 34.999037 29.533556, 34.99932 29.533563, 34.99929 29.533862)))","2018-04-11, 2018-04-11",2018-04-11,None,Archaeological/Heritage Activity,"EAMENA-0179843, EAMENA-0185785",,Possible,"Possible, Definite",,,,"Maher Alamreen, Maher Alamreen",,None,None,,,None,None,None,,,,,Water and/or Wind Action,,None,None,Negative/Cut/Dug Feature,Semi-circular,,Poor,"Archaeological Assessment/Ground Survey, Condition Assessment (Image Interpretation)",High,,,Building and Development,,"Government Authority/Staff, Government Authority/Staff",,", Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Religious,"Erosion/Deterioration, Earth Displacement, Structural Alteration, Water Damage, Loss/Removal of Archaeological Material","Buffer Polygon, ",Definite,Definite,,,,,,Cob/Wet Applied Mud,Baked Brick,Clay,,,,,,Jordan,,,,"None, None","High, High, High, High, High",,,Archaeological Site,,"62ba81b7-169a-424e-9a6a-1ef7dc2f48a0, CPF Jordan Training","Definite, Definite",,,,"Maher Alamreen, None",Maher Alamreen,,"Definite, Definite",Road/Track,Definite,E35N29-31,"Roman Imperial, Early (Levant/Mesopotamia)",Natural,,,,Immediate Action (Emergency),,,Early roman church,Plain/Plateau,31-60%,,,"Old ArchesID, Comments",Designation,,None,2018-04-11,"Conservation, Restoration, and Maintenance Activities",,,,,2423a85a-3985-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((34.997607 29.530905, 34.997258 29.530685, 34.997385 29.530058, 34.998151 29.529588, 34.998623 29.529956, 34.9982 29.530443, 34.997607 29.530905)))","2017-09-01, 2018-04-10",2018-04-10,None,Renewal of Protective Coating,"EAMENA-0184445, EAMENA-0179845",Biological Mean Sea Level,"Planned, Possible, Possible","Definite, Probable","Dispersed, Dispersed","11 to 20, 11 to 20",,"Maher Alamreen, Maher Alamreen",,None,None,,2017-10-01,None,None,None,2017-09-13,10,Mesotidal (2-4m),,"Clearance (Bulldozing/Levelling), Coastal Erosion/Retreat, Seismic Activity",,,None,"Negative/Cut/Dug Feature, Negative/Cut/Dug Feature",Polygonal,650 AD,Poor,"Archaeological Assessment/Ground Survey, Archaeological Assessment/Ground Survey",High,None,Field Survey/Excavation,"Natural, Building and Development, Trade/Commercial Use","1, 2 to 5","Government Authority/Staff, Government Authority/Staff",1150 AD,"Islamic (Levant/Arabia), Islamic (Levant/Arabia)",Trade/Commercial,"Earth Displacement, Collapse/Structural Damage, Artefact Displacement",,"Definite, Probable",High,None,Jordan - Aqaba city ,Primary,Jordan - Aqaba city ,Governorate,Cob/Wet Applied Mud,Rubble Stone,Clay,kilometres (km),4,"Maritime Transport Container, Anchorage","High, ","Rectangular/Square, Rectangular/Square",Jordan,,"High, High","Multi-Component, ","None, None","High, High, High",10,Swell,Archaeological Site,Open Water,"<p>it&#39;s an old islamic port ( Umayyad and Abbasid period )</p>
, a436192d-fe66-44b9-b60f-f96396f2a926, CPF Jordan Training",High,None,,Area,"None, None","Maher Alamreen, Maher Alamreen",,High,Water Action,"Definite, Definite",E35N29-31,"Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia), Islamic, Early (Umayyad/Abbasid/Fatimid) (Levant/Arabia)","Building and Development, Natural, Natural",Protected (<10km),,,Within 1 to 2 years (High),,Managed Site,Ayla Port,"Beach, Coastal Cliff, Beach, Ocean/Sea Shore",31-60%,None,2017-09-01,"General Description, Old ArchesID, Comments",Designation,,None,2018-04-10,Preventative and Mitigation Activities,None,None,None,,4c963c30-3985-11eb-9c61-02e7594ce0a0
"GEOMETRYCOLLECTION (POLYGON ((35.001711 29.52175, 35.001733 29.521573, 35.001223 29.521461, 35.00118 29.521634, 35.001711 29.52175)))","2020-12-08, 2018-04-10",2020-11-20,2015-02-11,Archaeological/Heritage Activity,"EAMENA-0179846, EAMENA-0186082",,Possible,Definite,,,,"Maher Alamreen, Maher Alamreen",,2015-02-11,2020-11-20,,None,2015-02-11,2015-02-11,2020-11-20,,,,,Water and/or Wind Action,,None,Maher Alamreen,Positive/Built Feature,Rectangular/Square,1916 ad,Good,"Desk-based Assessment, Archaeological Assessment/Ground Survey",Medium,None,,"Building and Development, Management and Institutional Factors",1,"Government Authority/Staff, Government Authority/Staff",2020,Contemporary Islamic (MENA),"Status/Display/Monumental, Domestic",Water Damage,Buffer Polygon,Definite,"Definite, Definite",,,,,,Cob/Wet Applied Mud,Stone (Roughly Cut),Clay,,,Government/Administrative Building,High,,Jordan,,High,Multi-Component,"True, None",High,,,Archaeological Site,,"88978483-44b2-472c-8f23-fba0dea7668e, CPF Jordan Training, None",Definite,None,,,None,None,,Definite,Water and/or Wind Action,"Definite, Definite",E35N29-31,First World War (MENA),Natural,,,,Within 6 months to 1 year (Urgent),,Managed Site,Alshuref hussen house,Ocean/Sea Shore,1-10%,None,1990-01-01,"Old ArchesID, Comments, Primary",Designation,,None,2020-11-20,"Conservation, Restoration, and Maintenance Activities",2020,None,1916,,c7730b0e-3985-11eb-9c61-02e7594ce0a0
