Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
GEOMETRYCOLLECTION (POINT (35.763653 33.618508)),27/02/2017,,,,EAMENA-0115888,,,"Definite, Definite, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Desk-based,,,,,,,,"Chalcolithic (Levant), Neolithic (Levant/Mesopotamia), Neolithic (Levant/Mesopotamia)",Unknown,,,"Definite, Definite, Definite",Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None",,,Negligible,,Definite,E35N33-42,"Chalcolithic, Early (Levant), Neolithic, Late/Ceramic/Pottery, Early (Levant/Mesopotamia), Neolithic, Late/Ceramic/Pottery, Late (Levant/Mesopotamia)",,,,,,,,"Li05046, al-Mufi, el Moufi, MAR000049, E35N33-42_000131",,,,,,"Alternative Reference, Toponym, Toponym, Alternative Reference, Designation",,None,,,,,,,24b348f8-f56e-465e-bfcd-6dcdb32c5b8e
GEOMETRYCOLLECTION (POINT (35.916078 33.5944)),27/02/2017,,,,EAMENA-0116001,,,"Definite, Definite",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,"Bronze Age (Levant), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)",Domestic,,,"Definite, Definite",Definite,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None",,,Medium,,,E35N33-42,"Middle Bronze Age (Levant), Roman Imperial (Levant/Mesopotamia)",,,,,,,,"E35N33-42_000244, Bonatz_2002_21",,,,,,"Designation, Alternative Reference",,None,,,,,,,2a50c512-077a-4caf-9e2a-4b21e74a933c
GEOMETRYCOLLECTION (POINT (35.987824 33.598722)),27/02/2017,,,,EAMENA-0115991,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Domestic,,,,Medium,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,E35N33-42_000234,,,,,,Designation,,None,,,,,,,3587a6af-2076-4104-85fc-c700a36bd843
GEOMETRYCOLLECTION (POINT (35.825856 33.702701)),27/02/2017,,,,EAMENA-0115809,,,"Possible, Definite, Possible, Probable, Possible",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,Unknown,Unknown,,,Desk-based,,,,,,,,"Bronze Age (Levant), Islamic (Levant/Arabia), Bronze Age (Levant), Chalcolithic (Levant), Bronze Age (Levant)",Unknown,,,"Possible, Definite, Possible, Probable, Possible",Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None, None, None",,,Medium,,Definite,E35N33-42,"Early Bronze Age 3 (Southern Levant), Islamic, Middle (Fatimid/Ayyubid/Crusader) (Levant/Arabia), Early Bronze Age 2 (Southern Levant), Chalcolithic, Late (Levant), Early Bronze Age 1 (Southern Levant)",,,,,,,,"Schabarqiyat Amiq, Schabarqiyat 'Amiq, Cherberqiyet Aamiq, MAR000108, Li05107, E35N33-42_000052",,,,,,"Toponym, Toponym, Toponym, Alternative Reference, Alternative Reference, Designation",,None,,,,,,,2fe6b4e9-bb2c-4382-a4ce-6c9d767cf090
GEOMETRYCOLLECTION (POINT (35.833941 33.710578)),27/02/2017,,,,EAMENA-0115935,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,E35N33-42_000178,,,,,,Designation,,None,,,,,,,3454bfe4-5b81-4653-be91-20e5a163209e
GEOMETRYCOLLECTION (POINT (35.804107 33.659975)),27/02/2017,,,,EAMENA-0115952,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Domestic,,,,Low,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,E35N33-42_000195,,,,,,Designation,,None,,,,,,,45e9a86a-6de7-4999-ba7c-3eddd0fb1c95
GEOMETRYCOLLECTION (POINT (35.895999 33.609495)),27/02/2017,,,,EAMENA-0115973,,,Definite,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000216, Bonatz_2002_43",,,,,,"Designation, Alternative Reference",,None,,,,,,,78774dd7-883b-4f19-bd74-b6fac44459bf
GEOMETRYCOLLECTION (POINT (35.90826 33.602067)),27/02/2017,,,,EAMENA-0115998,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Agricultural/Pastoral,,,,Medium,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,Negligible,,,E35N33-42,,,,,,,,,"E35N33-42_000241, Bonatz_2002_41?",,,,,,"Designation, Alternative Reference",,None,,,,,,,4fd4cb19-ed9c-4289-9ce1-13092476a925
GEOMETRYCOLLECTION (POINT (35.797434 33.678736)),27/02/2017,,,,EAMENA-0115824,,,"Not Applicable, Definite, Possible",,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,"Unknown, Palaeolithic (Levant/Mesopotamia/Arabia), Neolithic (Levant/Mesopotamia)",Unknown,,,Definite,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,"None, None, None",,,Negligible,,,E35N33-42,"Palaeolithic, Upper (Levant/Arabia/Mesopotamia)",,,,,,,,"E35N33-42_000067, as-S'una, Es Saoune, MAR000127, Li05065",,,,,,"Designation, Toponym, Toponym, Alternative Reference, Alternative Reference",,None,,,,,,,7eecbaee-ad30-4de3-96e3-373cbaaf14c4
GEOMETRYCOLLECTION (POINT (35.764533 33.701282)),27/02/2017,,,,EAMENA-0115937,,,Not Applicable,,,,Letty ten Harkel,,,,,,,,,,,,,,,,,,,,,Desk-based,,,,,,,,Unknown,Unknown,,,,Not Applicable,,,,,,,,,,,,,,Lebanon,,,,None,,,,,,,,,,,None,,,High,,,E35N33-42,,,,,,,,,E35N33-42_000180,,,,,,Designation,,None,,,,,,,82be8579-1960-4632-8b3e-ae82a6f74e4c
