Geometric Place Expression,Assessment Activity Date,Disturbance Date Occurred Before,Disturbance Date Occurred On ,Recommendation Type,EAMENA ID,Datum Type,Threat Probability ,Cultural Period Certainty,Site Feature Arrangement Type,Site Feature Number Type,Heritage Place Resource Instance,Assessment Investigator - Actor,GE Imagery Acquisition Date,Disturbance Date From,Disturbance Date To ,Imagery Acquisition Date,Designation To Date,Disturbance Date Occurred On ,Disturbance Date From,Disturbance Date To ,Land Cover Assessment Date,Maximum Depth/Min Elevation,Tidal Range,Detailed Condition Assessments,Threat Cause Type,Depositional Process,Spatial Coordinates Ref System,Disturbance Cause Assignment Assessor Name - Actor,Overall Site Morphology Type,Overall Site Shape Type,Archaeological From Date,Overall Condition State Type,Assessment Activity Type,Disturbance Cause Certainty ,SH Date to,Measurement Source Type ,Disturbance Cause Category Type,Site Feature Interpretation Number Type,Investigator Role Type,Archaeological To Date,Cultural Period Type,Heritage Place Function,Effect Type,Geometry Qualifier,Cultural Sub-period Certainty,Heritage Place Function Certainty ,Datum Description/EPSG code,Address,Address Type,Administrative Division ,Administrative Division Type,Construction Technique,Material Type,Material Class,Measurement Unit,Measurement Number,Site Feature Interpretation Type,Site Feature Form Type Certainty,Site Feature Shape Type,Country Type,Information Resource,Site Feature Interpretation Certainty,Site Feature Form Type,Google Earth Assessment,Effect Certainty,Minimum Depth/Max Elevation,Wave Climate,Heritage Place Type,Land Cover Type,General Description,Geometry Extent Certainty,SH Date From,Related Geoarchaeology/Palaeolandscape,Dimension Type,Date Inference Making Actor Name,Threat Inference Making Assessor Name - Actor,Built Component,Location Certainty,Disturbance Cause Type ,Overall Archaeological Certainty Value ,Grid ID,Cultural Sub-period Type,Threat Category,Fetch Type,Bedrock Geology Type,Surficial Geology Type,Priority Type,Information Resource Acquisition Date,Designation,Resource Name,Topography Type,Damage Extent Type,AH Date To,Designation From Date,General Description Type,Name Type,Resource Orientation,Cadastral Reference,Disturbance Date Occurred Before,Intervention Activity Type,BP Date To,AH Date From,BP Date From,Restricted Access Record Designation,resourceid
"GEOMETRYCOLLECTION (POLYGON ((35.187562 31.716053, 35.187381 31.716871, 35.185944 31.716758, 35.185708 31.716155, 35.187302 31.715783, 35.187562 31.716053)))","2020-01-26, 2018-05-22",2020-11-27,2015-08-12,Archaeological/Heritage Activity,"EAMENA-0179798, EAMENA-0187402",,"Possible, Possible","Definite, Definite",,,,"Eman Titi, Eman Titi",2020-02-11,2014-01-08,2016-08-29,,None,2015-08-12,2014-01-08,2016-08-29,2020-11-04,,,,"Clearance (Bulldozing/Levelling), Clearance (Bulldozing/Levelling)",Aeolian,,Eman Titi,"Positive/Built Feature, Surface Feature",Straight,,Good,"Archaeological Assessment/Ground Survey, Archaeological Assessment (Image Interpretation)",High,,Field Survey/Excavation,Building and Development,"2 to 5, 1, 100 to 500, 2 to 5","Government Authority/Staff, Government Authority/Staff",,"Islamic (Levant/Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)","Public/Institutional, Domestic, Religious",Unknown,,"Definite, Possible","High, High, High",,,,,,Unknown,Stone (Cut),Mixed Raw Materials,kilometres (km),4,"Altar, Basilica (Roman), Building, Church/Chapel","High, High, High, High",,"Palestine, State of",,"High, High, High, High","Cave, Multi-Component, Structure, Wall","None, None",Medium,,,Archaeological Site,Trees,"728db0f1-65b8-4308-b9fb-95bea39e9457, CPF Palestine Training",Medium,,,Area,"None, Eman Titi","None, Eman Titi",,High,Clearance (Bulldozing/Levelling),Definite,E35 N 31,"Islamic, Late (Ottoman) (Levant/Arabia), Byzantine (Levant/Mesopotamia)","Building and Development, Building and Development",,"Limestone/Chalk/Dolomite, Marble",Coarse Sediment,Within 1 to 2 years (High),,National Register,"Beit Jala Old City, بيت جالا البلده القديمه","Plain/Plateau, Slopes",11-30%,,2019-01-01,"General Description, Comments","Toponym, Toponym",,None,2020-11-27,"Conservation, Restoration, and Maintenance Activities",,,,,1ba5be68-310e-11eb-b6c1-02e7594ce0a0
GEOMETRYCOLLECTION (POINT (34.496193 31.510044)),"2018-08-30, 2018-08-30","None, None","None, None",,EAMENA-0186213,,Probable,Not Applicable,Discrete,1,,"Mohammad Jaradat, Mohammad Jaradat",,"2011-01-01, 2004-01-01","2018-01-01, 2010-01-01",,,"None, None","2011-01-01, 2004-01-01","2018-01-01, 2010-01-01",,,,,Construction,,,"None, None",Positive/Built Feature,Rectangular/Square,,Destroyed,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","High, High",,,"Industrial/Productive, Agricultural/Pastoral","1, 1","Government Authority/Staff, Government Authority/Staff",,Unknown,Agricultural/Pastoral,"Covered, Loss/Removal of Archaeological Material, Relocation of Archaeological Features, Structural Alteration, Collapse/Structural Damage, Covered",,,High,,,,,,,,,,,"Watchtower/Observation Post, Farm Building",High,Rectangular/Square,"Palestine, State of",,"High, High",Structure,"None, None","High, High, High, High, High, High",,,Archaeological Site,,"CPF Palestine Training, a9b0e522-e959-433e-ad9d-c90c62f61b5b",High,,,,None,,,Definite,"Construction, Vegetation/Crops/Trees",High,E34N31-32,,Industrial/Productive,,,,,,,"Zeita, زيتا",Plain/Plateau,91-100%,,,"Comments, Old ArchesID","Toponym, Toponym",,None,"None, None",,,,,,4d5d7f35-fcc0-49c1-b134-6d70c6f98a1a
"GEOMETRYCOLLECTION (POLYGON ((35.335136 31.756771, 35.335069 31.756746, 35.335044 31.756719, 35.335054 31.756671, 35.335112 31.756598, 35.335175 31.756569, 35.335245 31.756565, 35.335381 31.75656, 35.335451 31.756582, 35.335458 31.756656, 35.335462 31.756742, 35.335297 31.756775, 35.335228 31.756786, 35.335168 31.756779, 35.335136 31.756771)))","2018-06-01, 2018-06-01","None, None, None","None, None, None",,EAMENA-0186214,,Probable,Not Applicable,"Discrete, Discrete","1, 1",,"Mohammad Jaradat, Mohammad Jaradat",,"2004-01-01, 2004-01-01, 2004-01-01","2018-01-01, 2018-01-01, 2018-01-01",,,"None, None, None","2004-01-01, 2004-01-01, 2004-01-01","2018-01-01, 2018-01-01, 2018-01-01",,,,,Demolition/Destruction,,,"None, None, None",Positive/Built Feature,Sub-circular,,Poor,"Condition Assessment (Image Interpretation), Archaeological Assessment (Image Interpretation)","High, High, High",,,"Natural, Military/Armed Conflict, Military/Armed Conflict",2 to 5,"Government Authority/Staff, Government Authority/Staff",,Unknown,Agricultural/Pastoral,"Erosion/Deterioration, Water Damage, Compacting, Structural Alteration, Alteration of Terrain",,,High,,,,,,,,,,,Clearance Pile,"Definite, Definite","Rectangular/Square, Sub-circular","Palestine, State of",,High,"Small Mound/Cairn, Small Mound/Cairn","None, None","Medium, Medium, Medium, Medium, Medium",,,Archaeological Site,,"aa00f3a0-a3b5-41d9-aa46-136d8da646b2, CPF Palestine Training",High,,,,None,,,Definite,"Water Action, Road/Track, Gunfire/Light Weaponry",High,E35N31-34,,Military/Armed Conflict,,,,,,,"Arqub el-Jimal, Spot Height 369, عرقوب الجمال",Slopes,31-60%,,,"Old ArchesID, Comments","Alternative Reference, Toponym, Toponym",,None,"None, None, None",,,,,,93ce097d-e86c-4c17-af93-495e5fd75548
GEOMETRYCOLLECTION (POINT (35.285729 32.492462)),2018-10-03,,,,EAMENA-0186217,,,Possible,,,,Mohamad Al Atari,,,,,,,,,,,,,,,,,Positive/Built Feature,Circular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Domestic,,,,High,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"1057b876-e70f-4934-8b4c-a812cacc4e57, CPF Palestine Training",Definite,,,,None,,,Definite,,Definite,E35N32-14,,,,,,,,,خربة بسمة',Plain/Plateau,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,a0e90bcc-0b2b-40fb-9f06-327e728cd506
"GEOMETRYCOLLECTION (POLYGON ((35.33182 31.70535, 35.330762 31.705514, 35.330581 31.704577, 35.331445 31.704326, 35.331772 31.704284, 35.33182 31.70535)))",2019-02-11,,,,EAMENA-0186218,,,Definite,,,,Mais Sartawi,,,,,,,,,,,,,,,,,Positive/Built Feature,Polygonal,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Religious,,,Definite,Definite,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"aa3bf33d-7b3e-495d-8594-163444893cc3, CPF Palestine Training",Definite,,,,None,,,Definite,,Definite,E35N31-32,Byzantine (Levant/Mesopotamia),,,,,,,,دير مار سأبا',Slopes,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,c76c13c4-25a8-4533-99bc-fa5881e3b3b3
GEOMETRYCOLLECTION (POINT (35.448194 32.359136)),,,,,EAMENA-0186216,,,,,,,,,,,,,,,,,,,,,,,,Positive/Built Feature,Irregular,,Poor,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Palestine, State of",,,,,,,,Archaeological Site,,"aa3155ec-0b58-43ee-9c16-31fe996caf1e, CPF Palestine Training",Definite,,,,,,,Definite,,Definite,E35N32-14,,,,,,,,,"Kh. Jabaris, خربة جباريس",Plain/Plateau,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,,,,,,,fd214143-2948-4bd8-9441-1d7d0e9e5657
GEOMETRYCOLLECTION (POINT (34.482006 31.527946)),"2018-08-30, 2018-08-30",None,None,,EAMENA-0186219,,Probable,"Definite, Probable","Discrete, Adjoining","1, 1",,"Mohammad Jaradat, Mohammad Jaradat",,2004-01-01,2018-01-01,,,None,2004-01-01,2018-01-01,,,,,Construction,,,None,Positive/Built Feature,Rectangular/Square,,Poor,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",High,,,Domestic Use,"1, 1","Government Authority/Staff, Government Authority/Staff",,"Islamic (Levant/Arabia), Islamic (Levant/Arabia)",Funerary/Memorial,"Covered, Relocation of Archaeological Features, Structural Alteration, Compacting",,"Definite, Probable",High,,,,,,,,,,,"Tomb/Grave/Burial, Temple/Sanctuary/Shrine","High, High","Rectangular/Square, Sub-rectangular","Palestine, State of",,"High, High","Structure, Pit/Shaft/Tunnel","None, None","High, High, High, High",,,Archaeological Site,,"ab04294f-e316-4b2f-b8ac-4779eb4dc0bc, CPF Palestine Training",High,,,,"None, None",,,Definite,Construction,High,E34N31-32,"Islamic, Late (Ottoman) (Levant/Arabia), Islamic, Late (Mamluk/Rasulid) (Levant/Arabia)",Domestic Use,,,,,,,"Abu Shehab, أبو شهاب",Plain/Plateau,31-60%,,,"Old ArchesID, Comments","Toponym, Toponym",,None,None,,,,,,afa55e3b-6f39-4f44-a2b6-e3a5e5610b2f
GEOMETRYCOLLECTION (POINT (35.208719 31.703367)),2018-10-30,,,,EAMENA-0186221,,,Possible,,,,Abed Assaf,,,,,,,,,,,,,,,,,Surface Feature,Irregular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia),Religious,,,Possible,Definite,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"ab5139e9-78dd-4ad6-9cbf-8bc2a22285cd, CPF Palestine Training",Definite,,,,None,,,Definite,,Definite,E35N31-31,Byzantine (Levant/Mesopotamia),,,,,,,,نفارة الحليب',Valley Terrace,,,,"Old ArchesID, Comments",,,None,,,,,,,6af39bc7-364a-45f5-bee0-16634618b23b
"GEOMETRYCOLLECTION (POLYGON ((35.229093 32.095772, 35.229602 32.095815, 35.229562 32.096231, 35.228886 32.096206, 35.229009 32.095788, 35.229093 32.095772)))",2018-12-15,,,,EAMENA-0186225,,,Possible,,,,Ayob Hesen,,,,,,,,,,,,,,,,,"Negative/Cut/Dug Feature, Positive/Built Feature",Sub-circular,,,Archaeological Assessment (Image Interpretation),,,,,,Government Authority/Staff,,Unknown,Agricultural/Pastoral,,,,Medium,,,,,,,,,,,,,,"Palestine, State of",,,,None,,,,Archaeological Site,,"ab9d1128-a236-4970-bc38-5378f5f39c55, CPF Palestine Training",Low,,,,None,,,Low,,Low,E35N32-11,,,,,,,,,خربة البطة',Plain/Plateau,,,,"Old ArchesID, Comments",Toponym,,None,,,,,,,44f255c4-aaca-46f6-a37e-89f3c3c025e7
"GEOMETRYCOLLECTION (POLYGON ((35.27556 31.783002, 35.275401 31.782825, 35.275362 31.782707, 35.275377 31.782539, 35.275425 31.782404, 35.275491 31.782327, 35.275605 31.782276, 35.275837 31.782324, 35.275983 31.782402, 35.276013 31.782524, 35.275987 31.782696, 35.275963 31.782822, 35.275873 31.782924, 35.275777 31.783001, 35.27565 31.783017, 35.27556 31.783002)))","2018-05-08, 2018-05-08",None,None,,EAMENA-0186220,,"Probable, Possible","Definite, Definite, Definite",Adjoining,6 to 10,,"Mohammad Jaradat, Mohammad Jaradat",,1964-01-01,2018-05-08,,,None,1964-01-01,2018-05-08,,,,,"Vegetation/Crops/Trees, Occupation/Continued Use",,,None,Positive/Built Feature,Irregular,,Poor,"Archaeological Assessment (Image Interpretation), Condition Assessment (Image Interpretation)",Definite,,,Agricultural/Pastoral,2 to 5,"Government Authority/Staff, Government Authority/Staff",,"Iron Age (Levant/Mesopotamia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia), Classical/Pre-Islamic (Levant/Mesopotamia/Iran/Northern Arabia)","Agricultural/Pastoral, Domestic",Covered,,"Definite, Definite, Definite","High, High",,,,,,,,,,,Building,Definite,Rectangular/Square,"Palestine, State of",,Definite,Structure,"None, None",Definite,,,Archaeological Site,,"ab3efbe6-feae-476c-854e-9e4e30bb4285, CPF Palestine Training",High,,,,"None, None, None",,,Definite,Vegetation/Crops/Trees,High,E35N31-34,"Byzantine (Levant/Mesopotamia), Roman Imperial (Levant/Mesopotamia), Iron Age 2 (Southern Levant)","Agricultural/Pastoral, Tourism/Visitor Activities",,,,,,,"Mashru' el-'Aizariya, مشروع العيزرية",Slopes,31-60%,,,"Old ArchesID, Comments","Designation, Designation",,None,None,,,,,,c9392ec4-ad91-4a1c-a8d8-78bb21d47a1f
